 Date Time CO NO2 NO
 19.01.13 12:00 0.35 0.22 0.75
 -------- 13:00 0.35 0.21 0.69
 -------- 14:00 0.27 0.18 0.51
 -------- 15:00 0.23 0.17 0.41
 -------- 16:00 0.19 0.14 0.36
 19.01.13 17:00 0.18 0.14 0.30
 -------- 18:00 0.32 0.19 0.65
 -------- 19:00 0.38 0.19 0.76
 -------- 20:00 0.43 0.24 1.08
 -------- 21:00 0.38 0.22 0.83
 19.01.13 22:00 0.50 0.27 1.16
 -------- 23:00 0.36 0.21 0.75
 -------- 00:00 0.22 0.16 0.35
 -------- 01:00 0.21 0.18 0.41
 -------- 02:00 0.20 0.17 0.36
 20.01.13 03:00 0.21 0.19 0.49
 -------- 04:00 0.39 0.27 1.17
 -------- 05:00 0.29 0.20 0.57
 -------- 06:00 0.24 0.16 0.30
 -------- 07:00 0.19 0.16 0.25
 20.01.13 08:00 0.21 0.16 0.24
 -------- 09:00 0.21 0.16 0.29
 -------- 10:00 0.31 0.17 0.33
 -------- 11:00 0.33 0.17 0.35
 -------- 12:00 0.27 0.17 0.35
 20.01.13 13:00 0.31 0.16 0.32
 -------- 14:00 0.27 0.16 0.30
 -------- 15:00 0.29 0.17 0.30
 -------- 16:00 0.28 0.18 0.29
 -------- 17:00 0.27 0.18 0.26
 20.01.13 18:00 0.29 0.19 0.34
 -------- 19:00 0.19 0.16 0.27
 -------- 20:00 0.26 0.16 0.29
 -------- 21:00 0.16 0.13 0.19
 -------- 22:00 0.13 0.11 0.14
 20.01.13 23:00 0.09 0.10 0.12
 -------- 00:00 0.11 0.09 0.11
 -------- 01:00 0.08 0.09 0.12
 -------- 02:00 0.06 0.08 0.08
 -------- 03:00 0.06 0.08 0.09
 21.01.13 04:00 0.07 0.07 0.09
 -------- 05:00 0.09 0.07 0.09
 -------- 06:00 0.23 0.13 0.43
 -------- 07:00 0.34 0.14 0.52
 -------- 08:00 0.24 0.14 0.41
 21.01.13 09:00 0.23 0.15 0.42
