 Date Time CO SO2 H2S NO2 CHX NO
 03.04.13 00:00 ---- 0.00 ---- 0.22 1.50 0.01
 -------- 01:00 0.02 0.00 ---- 0.19 1.50 0.01
 -------- 02:00 0.03 0.00 ---- 0.15 1.50 0.01
 -------- 03:00 0.04 0.00 ---- 0.14 1.49 0.01
 -------- 04:00 0.04 0.00 ---- 0.18 1.52 0.02
 03.04.13 05:00 0.07 0.00 ---- 0.24 1.53 0.05
 -------- 06:00 0.10 0.00 ---- 0.35 1.65 0.11
 -------- 07:00 0.02 0.00 ---- 0.37 1.60 0.17
 -------- 08:00 0.05 0.01 0.12 0.39 1.77 0.27
 -------- 09:00 0.07 0.00 0.12 0.39 1.88 0.27
 03.04.13 10:00 0.05 0.00 ---- 0.34 1.69 0.18
 -------- 11:00 0.17 0.00 ---- 0.30 1.70 0.13
 -------- 12:00 0.06 0.01 0.12 0.29 1.66 0.15
 -------- 13:00 0.02 0.00 0.12 0.25 1.67 0.11
 -------- 14:00 0.21 0.00 0.12 0.25 1.46 0.10
 03.04.13 15:00 0.93 0.00 0.12 0.27 1.26 0.08
 -------- 16:00 0.29 0.00 0.12 0.25 1.25 0.07
 -------- 17:00 0.31 0.00 0.12 0.26 1.26 0.16
 -------- 18:00 0.24 0.00 0.12 0.22 1.27 0.03
 -------- 19:00 ---- 0.00 0.12 0.22 1.27 0.03
 03.04.13 20:00 ---- 0.00 0.12 0.24 1.27 0.02
 -------- 21:00 ---- 0.00 0.12 0.20 1.33 0.01
 -------- 22:00 ---- ---- 0.12 0.21 1.40 0.03
 -------- 23:00 ---- ---- 0.12 0.21 1.34 0.01
 -------- 00:00 ---- 0.00 ---- 0.19 1.26 0.01
 04.04.13 01:00 ---- 0.00 0.12 0.18 1.28 0.00
 -------- 02:00 ---- 0.00 ---- 0.26 1.34 0.00
 -------- 03:00 ---- 0.00 ---- 0.23 1.34 0.00
 -------- 04:00 ---- 0.00 ---- 0.20 1.34 0.00
 -------- 05:00 ---- 0.01 ---- 0.17 1.33 0.00
 04.04.13 06:00 ---- 0.03 0.12 0.24 1.37 0.01
 -------- 07:00 ---- 0.06 0.17 0.32 1.44 0.05
 -------- 08:00 ---- 0.01 0.12 0.20 1.34 0.02
 -------- 09:00 ---- 0.01 ---- 0.15 1.39 0.02
 -------- 10:00 ---- 0.01 ---- 0.13 1.39 0.02
 04.04.13 11:00 ---- 0.00 ---- 0.11 1.30 0.01
 -------- 12:00 ---- 0.00 ---- 0.12 1.31 0.03
 -------- 13:00 ---- 0.00 0.12 0.09 1.32 0.01
 -------- 14:00 ---- 0.01 0.12 0.13 1.30 0.02
 -------- 15:00 ---- 0.01 0.12 0.15 1.32 0.03
 04.04.13 16:00 ---- 0.00 0.12 0.10 1.34 0.01
 -------- 17:00 ---- 0.00 0.12 0.10 1.34 0.01
 -------- 18:00 ---- 0.00 0.12 0.19 1.39 0.02
 -------- 19:00 ---- 0.00 0.12 0.21 1.42 0.02
 -------- 20:00 ---- 0.00 0.12 0.21 1.54 0.01
 04.04.13 21:00 ---- 0.00 0.17 0.18 1.55 0.01
 -------- 22:00 ---- 0.00 0.17 0.20 1.53 0.01
 -------- 23:00 ---- 0.00 0.17 0.22 1.38 0.01
