 Date Time CO NO2 NO
 30.11.12 12:00 0.10 0.23 0.15
 -------- 13:00 0.10 0.19 0.15
 -------- 14:00 0.10 0.21 0.16
 -------- 15:00 0.12 0.22 0.17
 -------- 16:00 0.09 0.21 0.15
 30.11.12 17:00 0.11 0.22 0.15
 -------- 18:00 0.10 0.20 0.14
 -------- 19:00 0.13 0.23 0.22
 -------- 20:00 0.24 0.26 0.26
 -------- 21:00 0.07 0.21 0.10
 30.11.12 22:00 0.06 0.20 0.10
 -------- 23:00 0.06 0.21 0.10
 -------- 00:00 0.04 0.20 0.08
 -------- 01:00 0.03 0.17 0.07
 -------- 02:00 0.03 0.19 0.07
 01.12.12 03:00 0.03 0.21 0.08
 -------- 04:00 0.02 0.17 0.07
 -------- 05:00 0.02 0.16 0.06
 -------- 06:00 0.05 0.19 0.07
 -------- 07:00 0.06 0.19 0.07
 01.12.12 08:00 0.06 0.17 0.07
 -------- 09:00 0.07 0.16 0.07
 -------- 10:00 0.09 0.18 0.10
 -------- 11:00 0.10 0.20 0.16
 -------- 12:00 0.10 0.17 0.12
 01.12.12 13:00 0.10 0.18 0.13
 -------- 14:00 0.10 0.19 0.12
 -------- 15:00 0.11 0.20 0.13
 -------- 16:00 0.15 0.22 0.19
 -------- 17:00 0.15 0.22 0.20
 01.12.12 18:00 0.15 0.21 0.23
 -------- 19:00 0.14 0.20 0.21
 -------- 20:00 0.13 0.18 0.18
 -------- 21:00 0.13 0.18 0.19
 -------- 22:00 0.11 0.17 0.17
 01.12.12 23:00 0.12 0.17 0.16
 -------- 00:00 0.12 0.16 0.17
 -------- 01:00 0.12 0.18 0.18
 -------- 02:00 0.11 0.18 0.15
 -------- 03:00 0.11 0.19 0.16
 02.12.12 04:00 0.09 0.18 0.10
 -------- 05:00 0.08 0.17 0.10
 -------- 06:00 0.08 0.18 0.10
 -------- 07:00 0.07 0.18 0.12
 -------- 08:00 0.07 0.18 0.11
 02.12.12 09:00 0.08 0.19 0.12
 -------- 10:00 0.09 0.22 0.14
 -------- 11:00 0.10 0.24 0.15
