 Date Time NO2 CHX NO
 05.10.12 00:00 0.17 1.37 0.01
 -------- 01:00 0.12 1.35 0.01
 -------- 02:00 0.15 1.39 0.01
 -------- 03:00 0.13 1.38 0.01
 -------- 04:00 0.13 1.40 0.01
 05.10.12 05:00 0.21 1.44 0.01
 -------- 06:00 0.28 1.46 0.02
 -------- 07:00 0.32 1.52 0.05
 -------- 08:00 0.34 1.67 0.16
 -------- 09:00 0.36 1.68 0.22
 05.10.12 10:00 0.36 1.68 0.17
 -------- 11:00 0.35 1.63 0.16
 -------- 12:00 0.30 1.55 0.10
 -------- 13:00 0.28 1.53 0.09
 -------- 14:00 0.30 1.57 0.10
 05.10.12 15:00 0.33 1.58 0.10
 -------- 16:00 0.35 1.60 0.10
 -------- 17:00 0.30 1.50 0.03
 -------- 18:00 0.25 1.47 0.01
 -------- 19:00 0.23 1.42 0.01
 05.10.12 20:00 0.27 1.50 0.02
 -------- 21:00 0.32 1.50 0.03
 -------- 22:00 0.30 1.50 0.03
 -------- 23:00 0.28 1.44 0.02
 -------- 00:00 0.25 1.45 0.02
 06.10.12 01:00 0.22 1.43 0.01
 -------- 02:00 0.16 1.35 0.01
 -------- 03:00 0.16 1.35 0.01
 -------- 04:00 0.14 1.36 0.01
 -------- 05:00 0.12 1.36 0.01
 06.10.12 06:00 0.12 1.36 0.01
 -------- 07:00 0.11 1.36 0.01
 -------- 08:00 0.19 1.40 0.01
 -------- 09:00 0.25 1.44 0.05
 -------- 10:00 0.23 1.48 0.04
 06.10.12 11:00 0.20 1.41 0.02
 -------- 12:00 0.17 1.41 0.02
 -------- 13:00 0.19 1.38 0.02
 -------- 14:00 0.20 1.41 0.02
 -------- 15:00 0.21 1.41 0.02
 06.10.12 16:00 0.19 1.40 0.02
 -------- 17:00 0.13 1.36 0.01
 -------- 18:00 0.10 1.36 0.01
 -------- 19:00 0.09 1.36 0.01
 -------- 20:00 0.09 1.36 0.01
 06.10.12 21:00 0.10 1.35 0.01
 -------- 22:00 0.11 1.37 0.01
 -------- 23:00 0.11 1.35 0.01
