 Date Time CO NO2 CHX NO
 15.01.13 12:00 0.07 0.27 1.41 0.03
 -------- 13:00 0.07 0.27 1.42 0.04
 -------- 14:00 0.07 0.28 1.43 0.04
 -------- 15:00 0.07 0.33 1.46 0.06
 -------- 16:00 0.06 0.31 1.43 0.03
 15.01.13 17:00 0.07 0.31 1.43 0.03
 -------- 18:00 0.06 0.28 1.43 0.02
 -------- 19:00 0.06 0.28 1.43 0.02
 -------- 20:00 0.06 0.29 1.46 0.02
 -------- 21:00 0.06 0.32 1.46 0.02
 15.01.13 22:00 0.09 0.39 1.50 0.07
 -------- 23:00 0.10 0.39 1.47 0.05
 -------- 00:00 0.06 0.38 1.45 0.03
 -------- 01:00 0.07 0.36 1.52 0.04
 -------- 02:00 0.08 0.41 1.44 0.09
 16.01.13 03:00 0.07 0.42 1.48 0.09
 -------- 04:00 0.08 0.38 1.45 0.05
 -------- 05:00 0.06 0.32 1.41 0.03
 -------- 06:00 0.04 0.38 1.49 0.05
 -------- 07:00 0.04 0.36 1.42 0.08
 16.01.13 08:00 0.06 0.38 1.45 0.08
 -------- 09:00 0.08 0.39 1.49 0.10
 -------- 10:00 0.15 0.40 1.56 0.12
 -------- 11:00 0.11 0.40 1.58 0.17
 -------- 12:00 0.12 0.40 1.62 0.17
 16.01.13 13:00 0.12 0.41 1.65 0.21
 -------- 14:00 0.14 0.42 1.68 0.22
 -------- 15:00 0.14 0.43 1.70 0.26
 -------- 16:00 0.15 0.44 1.72 0.27
 -------- 17:00 0.16 0.45 1.75 0.30
 16.01.13 18:00 0.15 0.44 1.85 0.26
 -------- 19:00 0.13 0.40 1.74 0.16
 -------- 20:00 0.09 0.35 1.69 0.07
 -------- 21:00 0.08 0.33 1.84 0.06
 -------- 22:00 0.08 0.33 1.59 0.08
 16.01.13 23:00 0.07 0.33 1.53 0.07
 -------- 00:00 0.06 0.32 1.49 0.06
 -------- 01:00 0.08 0.30 1.47 0.04
 -------- 02:00 0.07 0.28 1.45 0.02
 -------- 03:00 0.07 0.27 1.43 0.01
 17.01.13 04:00 0.07 0.23 1.42 0.01
 -------- 05:00 0.06 0.22 1.41 0.01
 -------- 06:00 0.07 0.23 1.42 0.01
 -------- 07:00 0.08 0.27 1.44 0.02
 -------- 08:00 0.08 0.27 1.45 0.03
 17.01.13 09:00 0.09 0.28 1.47 0.03
 -------- 10:00 0.08 0.27 1.45 0.02
 -------- 11:00 0.08 0.26 1.44 0.03
