 Date Time NO2 CHX NO PM2.5
 25.02.13 12:00 0.37 1.52 0.08 ----
 -------- 13:00 0.33 1.50 0.06 ----
 -------- 14:00 0.36 1.50 0.06 ----
 -------- 15:00 0.27 1.45 0.03 ----
 -------- 16:00 0.23 1.43 0.02 ----
 25.02.13 17:00 0.28 1.45 0.02 ----
 -------- 18:00 0.35 1.46 0.02 ----
 -------- 19:00 0.42 1.48 0.02 ----
 -------- 20:00 0.41 1.47 0.01 ----
 -------- 21:00 0.38 1.46 0.01 ----
 25.02.13 22:00 0.39 1.48 0.02 ----
 -------- 23:00 0.47 1.48 0.03 ----
 -------- 00:00 0.46 1.48 0.03 ----
 -------- 01:00 0.42 1.48 0.02 ----
 -------- 02:00 0.42 1.48 0.02 ----
 26.02.13 03:00 0.41 1.49 0.01 ----
 -------- 04:00 0.41 1.49 0.01 ----
 -------- 05:00 0.42 1.50 0.02 ----
 -------- 06:00 0.45 1.49 0.02 ----
 -------- 07:00 0.54 1.50 0.09 ----
 26.02.13 08:00 0.58 1.55 0.15 ----
 -------- 09:00 0.54 1.55 0.12 ----
 -------- 10:00 0.47 1.55 0.10 ----
 -------- 11:00 0.46 1.55 0.11 ----
 -------- 12:00 0.41 1.52 0.09 ----
 26.02.13 13:00 0.38 1.51 0.07 ----
 -------- 14:00 0.31 1.48 0.04 ----
 -------- 15:00 0.25 1.45 0.03 ----
 -------- 16:00 0.21 1.41 0.02 ----
 -------- 17:00 0.24 1.40 0.02 ----
 26.02.13 18:00 0.27 1.41 0.01 ----
 -------- 19:00 0.30 1.42 0.01 ----
 -------- 20:00 0.29 1.41 0.01 ----
 -------- 21:00 0.32 1.42 0.01 ----
 -------- 22:00 0.27 1.40 0.01 ----
 26.02.13 23:00 0.26 1.39 0.01 ----
 -------- 00:00 0.24 1.39 0.01 ----
 -------- 01:00 0.19 1.39 0.01 ----
 -------- 02:00 0.17 1.38 0.00 ----
 -------- 03:00 0.17 1.38 0.00 ----
 27.02.13 04:00 0.18 1.38 0.00 ----
 -------- 05:00 0.20 1.39 0.00 ----
 -------- 06:00 0.17 1.39 0.00 ----
 -------- 07:00 0.22 1.39 0.01 ----
 -------- 08:00 0.25 1.40 0.01 ----
 27.02.13 09:00 0.27 1.42 0.01 ----
 -------- 10:00 0.24 1.43 0.01 ----
 -------- 11:00 0.29 1.45 0.02 ----
