 Date Time CO SO2 CHX
 02.04.13 12:00 0.04 0.01 1.42
 -------- 13:00 0.04 0.01 1.44
 -------- 14:00 0.04 0.01 1.43
 -------- 15:00 0.04 0.01 1.42
 -------- 16:00 0.04 0.00 1.43
 02.04.13 17:00 0.04 0.00 1.43
 -------- 18:00 0.04 0.00 1.44
 -------- 19:00 0.09 0.01 1.46
 -------- 20:00 0.09 0.00 1.45
 -------- 21:00 0.08 0.00 1.45
 02.04.13 22:00 0.08 0.00 1.44
 -------- 23:00 0.08 0.00 1.44
 -------- 00:00 0.08 0.00 1.44
 -------- 01:00 0.08 0.00 1.46
 -------- 02:00 0.08 0.01 1.44
 03.04.13 03:00 0.10 0.01 1.46
 -------- 04:00 0.08 0.00 1.46
 -------- 05:00 0.08 0.00 1.47
 -------- 06:00 0.08 0.00 1.47
 -------- 07:00 0.09 0.00 1.50
 03.04.13 08:00 0.10 0.00 1.53
 -------- 09:00 0.12 0.00 1.55
 -------- 10:00 0.10 0.00 1.50
 -------- 11:00 0.10 0.00 1.52
 -------- 12:00 0.11 0.01 1.55
 03.04.13 13:00 0.10 0.00 1.52
 -------- 14:00 0.09 0.00 1.58
 -------- 15:00 0.07 0.00 1.55
 -------- 16:00 0.06 0.00 1.47
 -------- 17:00 0.06 0.01 1.47
 03.04.13 18:00 0.06 0.00 1.48
 -------- 19:00 0.09 0.00 1.48
 -------- 20:00 0.09 0.00 1.44
 -------- 21:00 0.09 0.00 1.42
 -------- 22:00 0.10 0.00 1.45
 03.04.13 23:00 0.10 0.00 1.46
 -------- 00:00 0.10 0.00 1.48
 -------- 01:00 0.10 0.00 1.49
 -------- 02:00 0.11 0.00 1.54
 -------- 03:00 0.10 0.00 1.52
 04.04.13 04:00 0.10 0.00 1.51
 -------- 05:00 0.09 0.00 1.51
 -------- 06:00 0.10 0.00 1.52
 -------- 07:00 0.03 0.01 1.49
 -------- 08:00 0.04 0.01 1.49
 04.04.13 09:00 0.02 0.01 1.47
 -------- 10:00 0.02 0.01 1.52
 -------- 11:00 0.02 0.00 1.50
