 Date Time CO NO2 CHX NO
 05.10.12 00:00 0.06 0.18 1.48 0.00
 -------- 01:00 0.06 0.14 1.29 0.00
 -------- 02:00 0.06 0.11 1.49 ----
 -------- 03:00 0.06 0.12 1.41 ----
 -------- 04:00 0.05 0.11 1.40 ----
 05.10.12 05:00 0.09 0.21 1.54 0.01
 -------- 06:00 0.25 0.26 1.85 0.14
 -------- 07:00 0.66 0.33 2.59 0.33
 -------- 08:00 0.31 0.36 1.85 0.36
 -------- 09:00 0.27 0.36 1.73 0.27
 05.10.12 10:00 0.20 0.35 1.66 0.18
 -------- 11:00 0.19 0.32 1.64 0.13
 -------- 12:00 0.18 0.30 1.65 0.15
 -------- 13:00 0.20 0.31 1.67 0.18
 -------- 14:00 0.19 0.33 1.65 0.16
 05.10.12 15:00 0.21 0.35 1.64 0.15
 -------- 16:00 0.15 0.36 1.57 0.07
 -------- 17:00 0.11 0.34 1.48 0.03
 -------- 18:00 0.10 0.25 1.44 0.01
 -------- 19:00 0.13 0.28 1.49 0.02
 05.10.12 20:00 0.13 0.29 1.47 0.02
 -------- 21:00 0.13 0.27 1.49 0.02
 -------- 22:00 0.12 0.27 1.46 0.02
 -------- 23:00 0.10 0.23 1.45 0.01
 -------- 00:00 0.09 0.18 1.45 0.01
 06.10.12 01:00 0.04 0.10 1.52 0.00
 -------- 02:00 0.04 0.11 1.97 ----
 -------- 03:00 0.05 0.08 1.60 0.00
 -------- 04:00 0.06 0.14 1.41 0.01
 -------- 05:00 0.07 0.16 1.36 0.01
 06.10.12 06:00 0.07 0.11 1.34 0.01
 -------- 07:00 0.09 0.18 1.43 0.01
 -------- 08:00 0.12 0.21 1.43 0.06
 -------- 09:00 0.16 0.26 1.52 0.11
 -------- 10:00 0.12 0.23 1.47 0.05
 06.10.12 11:00 0.10 0.20 1.41 0.03
 -------- 12:00 0.10 0.16 1.38 0.02
 -------- 13:00 0.09 0.14 1.37 0.02
 -------- 14:00 0.09 0.15 1.37 0.02
 -------- 15:00 0.08 0.15 1.36 0.02
 06.10.12 16:00 0.06 0.15 1.34 0.02
 -------- 17:00 0.06 0.13 1.34 0.01
 -------- 18:00 0.06 0.12 1.33 0.01
 -------- 19:00 0.06 0.15 1.33 0.02
 -------- 20:00 0.06 0.21 1.36 0.03
 06.10.12 21:00 0.06 0.18 1.38 0.02
 -------- 22:00 0.06 0.19 1.36 0.02
 -------- 23:00 ---- 0.18 ---- 0.01
