 Date Time SO2 NO2 NO
 16.12.12 00:00 0.03 0.34 0.11
 -------- 01:00 0.03 0.33 0.11
 -------- 02:00 0.03 0.32 0.10
 -------- 03:00 0.03 0.31 0.09
 -------- 04:00 0.03 0.31 0.10
 16.12.12 05:00 0.03 0.30 0.09
 -------- 06:00 0.03 0.30 0.10
 -------- 07:00 0.03 0.30 0.11
 -------- 08:00 0.03 0.30 0.13
 -------- 09:00 0.03 0.30 0.14
 16.12.12 10:00 0.03 0.32 0.19
 -------- 11:00 0.04 0.32 0.22
 -------- 12:00 0.04 0.33 0.23
 -------- 13:00 0.05 0.37 0.23
 -------- 14:00 0.06 0.38 0.21
 16.12.12 15:00 0.06 0.39 0.19
 -------- 16:00 0.05 0.40 0.17
 -------- 17:00 0.05 0.40 0.18
 -------- 18:00 0.04 0.40 0.15
 -------- 19:00 0.03 0.38 0.10
 16.12.12 20:00 0.02 0.37 0.11
 -------- 21:00 0.02 0.38 0.13
 -------- 22:00 0.03 0.38 0.17
 -------- 23:00 0.04 0.38 0.20
 -------- 00:00 0.04 0.39 0.23
 17.12.12 01:00 0.03 0.37 0.18
 -------- 02:00 0.03 0.37 0.19
 -------- 03:00 0.03 0.35 0.15
 -------- 04:00 0.02 0.35 0.26
 -------- 05:00 0.02 0.38 0.43
 17.12.12 06:00 0.02 0.39 0.38
 -------- 07:00 0.02 0.42 0.58
 -------- 08:00 0.03 0.45 0.78
 -------- 09:00 0.02 0.48 0.78
 -------- 10:00 0.02 0.48 0.72
 17.12.12 11:00 0.03 0.55 0.93
 -------- 12:00 0.02 0.49 0.55
 -------- 13:00 0.01 0.47 0.34
 -------- 14:00 0.01 0.47 0.32
 -------- 15:00 0.01 0.42 0.17
 17.12.12 16:00 0.01 0.43 0.15
 -------- 17:00 0.01 0.41 0.10
 -------- 18:00 0.01 0.42 0.14
 -------- 19:00 0.01 0.36 0.06
 -------- 20:00 0.01 0.30 0.03
 17.12.12 21:00 0.01 0.34 0.07
 -------- 22:00 0.01 0.33 0.06
 -------- 23:00 0.01 0.31 0.04
