 Date Time CO SO2 NO2 NO
 18.12.12 12:00 0.15 0.02 0.29 0.19
 -------- 13:00 0.17 0.02 0.30 0.21
 -------- 14:00 0.17 0.03 0.32 0.25
 -------- 15:00 0.17 0.03 0.33 0.24
 -------- 16:00 0.16 0.02 0.33 0.22
 18.12.12 17:00 0.14 0.01 0.31 0.17
 -------- 18:00 0.13 0.02 0.31 0.15
 -------- 19:00 0.11 0.01 0.30 0.09
 -------- 20:00 0.11 0.01 0.28 0.07
 -------- 21:00 0.12 0.02 0.28 0.06
 18.12.12 22:00 0.10 0.01 0.27 0.04
 -------- 23:00 0.10 0.01 0.26 0.04
 -------- 00:00 0.08 0.02 0.25 0.03
 -------- 01:00 0.07 0.01 0.25 0.02
 -------- 02:00 0.06 0.01 0.25 0.02
 19.12.12 03:00 0.06 0.01 0.25 0.02
 -------- 04:00 0.05 0.02 0.24 0.02
 -------- 05:00 0.04 0.01 0.24 0.02
 -------- 06:00 0.12 0.01 0.26 0.04
 -------- 07:00 0.15 0.02 0.29 0.08
 19.12.12 08:00 0.18 0.01 0.27 0.11
 -------- 09:00 0.21 0.02 0.30 0.18
 -------- 10:00 0.20 0.03 0.32 0.20
 -------- 11:00 0.19 0.03 0.32 0.23
 -------- 12:00 0.18 0.03 0.33 0.23
 19.12.12 13:00 0.18 0.05 0.34 0.25
 -------- 14:00 0.23 0.07 0.35 0.28
 -------- 15:00 0.17 0.04 0.35 0.23
 -------- 16:00 0.18 0.03 0.33 0.17
 -------- 17:00 0.19 0.03 0.35 0.15
 19.12.12 18:00 0.19 0.02 0.36 0.14
 -------- 19:00 0.19 0.03 0.36 0.16
 -------- 20:00 0.19 0.04 0.37 0.18
 -------- 21:00 0.18 0.06 0.37 0.16
 -------- 22:00 0.18 0.03 0.37 0.15
 19.12.12 23:00 0.18 0.03 0.36 0.14
 -------- 00:00 0.17 0.03 0.36 0.13
 -------- 01:00 0.15 0.03 0.35 0.12
 -------- 02:00 0.18 0.02 0.34 0.13
 -------- 03:00 0.17 0.02 0.34 0.12
 20.12.12 04:00 0.16 0.02 0.35 0.10
 -------- 05:00 0.16 0.01 0.34 0.11
 -------- 06:00 0.17 0.03 0.34 0.14
 -------- 07:00 0.21 0.02 0.36 0.20
 -------- 08:00 0.25 0.01 0.36 0.23
 20.12.12 09:00 0.27 0.02 0.38 0.26
 -------- 10:00 0.27 0.02 0.39 0.29
 -------- 11:00 0.25 0.02 0.37 0.28
