 Date Time CO SO2 NO2 CHX NO
 26.02.13 12:00 0.12 0.01 0.39 1.77 0.10
 -------- 13:00 0.09 0.01 0.32 1.57 0.07
 -------- 14:00 0.07 0.01 0.29 1.50 0.05
 -------- 15:00 0.08 0.00 0.26 1.51 0.04
 -------- 16:00 0.06 0.00 0.25 1.47 0.03
 26.02.13 17:00 0.08 0.00 0.24 1.44 0.02
 -------- 18:00 0.09 0.01 0.29 1.45 0.02
 -------- 19:00 0.08 0.01 0.30 1.45 0.01
 -------- 20:00 0.07 0.01 0.27 1.43 0.01
 -------- 21:00 0.07 0.01 0.26 1.43 0.01
 26.02.13 22:00 0.06 0.01 0.25 1.43 0.01
 -------- 23:00 0.06 0.01 0.31 1.45 0.01
 -------- 00:00 0.06 0.01 0.26 1.44 0.01
 -------- 01:00 0.05 0.01 0.15 1.43 0.00
 -------- 02:00 0.04 0.01 0.18 1.43 0.00
 27.02.13 03:00 0.04 0.01 0.27 1.46 0.01
 -------- 04:00 0.05 0.01 0.23 1.48 0.01
 -------- 05:00 0.05 0.01 0.16 1.51 0.00
 -------- 06:00 0.05 0.01 0.12 1.70 0.00
 -------- 07:00 0.07 0.01 0.16 1.58 0.00
 27.02.13 08:00 0.08 0.01 0.19 1.53 0.00
 -------- 09:00 0.08 0.00 0.20 1.65 0.01
 -------- 10:00 0.08 0.01 0.24 1.70 0.01
 -------- 11:00 0.09 0.01 0.27 1.61 0.02
 -------- 12:00 0.08 0.01 0.18 1.46 0.02
 27.02.13 13:00 0.08 0.00 0.18 1.45 0.01
 -------- 14:00 0.08 0.01 0.18 1.45 0.02
 -------- 15:00 0.08 0.00 0.16 1.48 0.01
 -------- 16:00 0.08 0.01 0.23 1.45 0.02
 -------- 17:00 0.07 0.00 0.21 1.45 0.02
 27.02.13 18:00 0.09 0.01 0.30 1.44 0.02
 -------- 19:00 0.11 0.01 0.43 1.47 0.07
 -------- 20:00 0.32 0.01 0.49 1.77 0.31
 -------- 21:00 0.39 0.01 0.54 2.19 0.60
 -------- 22:00 0.22 0.01 0.49 1.82 0.24
 27.02.13 23:00 0.15 0.00 0.42 1.67 0.09
 -------- 00:00 0.13 0.01 0.46 1.62 0.06
 -------- 01:00 0.11 0.01 0.44 1.54 0.03
 -------- 02:00 0.08 0.01 0.33 1.50 0.01
 -------- 03:00 0.06 0.01 0.23 1.48 0.00
 28.02.13 04:00 0.06 0.00 0.17 1.45 0.00
 -------- 05:00 0.04 0.01 0.12 1.42 0.00
 -------- 06:00 0.05 0.01 0.14 1.42 0.01
 -------- 07:00 0.07 0.01 0.25 1.45 0.01
 -------- 08:00 0.07 0.01 0.31 1.46 0.03
 28.02.13 09:00 0.08 0.01 0.31 1.47 0.03
 -------- 10:00 0.07 0.01 0.26 1.48 0.03
 -------- 11:00 0.06 0.00 0.18 1.46 0.01
