 Date Time SO2 Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 18.12.12 12:00 0.02 0.21 0.28 0.01 0.47 0.00 0.04 0.00
 -------- 13:00 0.02 0.14 0.29 0.01 0.48 0.00 0.04 0.01
 -------- 14:00 0.02 0.17 0.30 0.01 0.48 0.00 0.07 0.01
 -------- 15:00 0.02 0.17 0.31 0.01 0.48 0.00 0.06 0.01
 -------- 16:00 0.08 0.16 0.34 0.01 0.45 0.00 0.04 0.01
 18.12.12 17:00 0.04 0.10 0.35 0.01 0.47 0.00 0.05 0.01
 -------- 18:00 0.05 0.13 0.36 0.01 0.45 0.00 0.08 0.01
 -------- 19:00 0.03 0.08 0.32 0.01 0.49 0.00 0.03 0.01
 -------- 20:00 0.02 0.12 0.30 0.00 0.49 0.00 0.04 0.01
 -------- 21:00 0.02 0.10 0.29 0.01 0.51 0.00 0.04 0.01
 18.12.12 22:00 0.01 0.10 0.27 0.01 0.50 0.00 0.04 0.00
 -------- 23:00 0.01 0.13 0.27 0.01 0.51 0.00 0.05 0.00
 -------- 00:00 0.01 0.10 0.25 0.01 0.49 0.00 0.04 0.01
 -------- 01:00 0.02 0.13 0.24 0.01 0.48 0.00 0.04 0.00
 -------- 02:00 0.02 0.11 0.20 0.01 0.47 0.00 0.03 0.01
 19.12.12 03:00 0.02 0.07 0.21 0.01 0.48 0.00 0.04 0.01
 -------- 04:00 0.02 0.09 0.24 0.01 0.49 0.00 0.03 0.01
 -------- 05:00 0.02 0.08 0.24 0.01 0.49 0.00 0.05 0.01
 -------- 06:00 0.02 0.10 0.23 0.03 0.48 0.00 0.04 0.01
 -------- 07:00 0.02 0.15 0.27 0.01 0.51 0.00 0.06 0.01
 19.12.12 08:00 0.02 0.12 0.29 0.01 0.50 0.00 0.03 0.01
 -------- 09:00 0.02 0.16 0.29 0.01 0.49 0.00 0.03 0.00
 -------- 10:00 0.02 0.16 0.30 0.00 0.52 0.00 0.06 0.00
 -------- 11:00 0.02 0.13 0.27 0.01 0.47 0.00 0.05 0.01
 -------- 12:00 0.02 0.06 0.26 0.01 0.47 0.00 0.06 0.00
 19.12.12 13:00 0.02 0.12 0.29 0.01 0.48 0.00 0.04 0.00
 -------- 14:00 0.02 0.12 0.31 0.01 0.49 0.00 0.04 0.01
 -------- 15:00 0.02 0.09 0.31 0.01 0.49 0.00 0.05 0.01
 -------- 16:00 0.05 0.10 0.36 0.01 0.47 0.00 0.03 0.00
 -------- 17:00 0.02 0.17 0.39 0.02 0.49 0.00 0.06 0.01
 19.12.12 18:00 0.02 0.16 0.39 0.02 0.48 0.00 0.04 0.01
 -------- 19:00 0.05 0.13 0.38 0.02 0.48 0.00 0.03 0.01
 -------- 20:00 0.05 0.16 0.39 0.01 0.47 0.00 0.06 0.01
 -------- 21:00 0.03 0.13 0.38 0.01 0.48 0.00 0.03 0.01
 -------- 22:00 0.02 0.19 0.38 0.01 0.50 0.00 0.05 0.01
 19.12.12 23:00 0.02 0.11 0.37 0.01 0.50 0.00 0.05 0.01
 -------- 00:00 0.02 0.10 0.37 0.01 0.49 0.00 0.06 0.01
 -------- 01:00 0.02 0.05 0.36 0.01 0.49 0.00 0.05 0.00
 -------- 02:00 0.02 0.05 0.36 0.02 0.48 0.00 0.01 0.01
 -------- 03:00 0.02 0.03 0.35 0.02 0.49 0.00 0.04 0.00
 20.12.12 04:00 0.02 0.05 0.34 0.01 0.47 0.00 0.03 0.01
 -------- 05:00 0.02 0.08 0.35 0.03 0.47 0.00 0.06 0.01
 -------- 06:00 0.02 0.07 0.37 0.02 0.48 0.00 0.02 0.02
 -------- 07:00 0.02 0.11 0.37 0.01 0.48 0.00 0.03 0.01
 -------- 08:00 0.03 0.13 0.40 0.02 0.49 0.00 0.05 0.01
 20.12.12 09:00 0.08 0.21 0.44 0.02 0.45 0.00 0.06 0.01
 -------- 10:00 0.05 0.16 0.41 0.03 0.45 0.00 0.05 0.01
 -------- 11:00 0.03 0.02 0.36 0.02 0.47 0.00 0.06 0.01
