 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол Метаксилол
 12.02.13 12:00 0.01 0.14 0.05 0.20 0.02 0.52 0.00 0.04 0.01
 -------- 13:00 0.00 0.11 0.06 0.20 0.03 0.50 0.00 0.05 0.01
 -------- 14:00 0.00 0.11 0.04 0.23 0.02 0.49 0.00 0.05 0.00
 -------- 15:00 0.01 0.10 0.04 0.24 0.02 0.50 0.00 0.03 0.01
 -------- 16:00 0.01 0.11 0.01 0.20 0.02 0.50 0.00 0.03 0.01
 12.02.13 17:00 0.01 0.13 0.05 0.26 ---- 0.51 0.00 0.03 0.01
 -------- 18:00 0.01 0.13 0.05 0.23 0.02 0.51 0.00 0.05 0.01
 -------- 19:00 0.01 0.12 0.03 0.25 0.01 0.52 0.00 0.06 0.01
 -------- 20:00 0.01 0.15 0.08 0.32 0.01 0.52 0.00 0.04 0.01
 -------- 21:00 0.01 0.12 0.03 0.28 0.02 0.51 0.00 0.03 0.00
 12.02.13 22:00 0.00 0.12 0.05 0.24 0.03 0.52 0.00 0.05 0.02
 -------- 23:00 0.01 0.12 0.09 0.24 0.01 0.51 0.00 0.03 0.01
 -------- 00:00 0.01 0.12 0.03 0.24 0.02 0.51 0.00 0.02 0.01
 -------- 01:00 0.01 0.11 0.03 0.21 0.02 0.51 0.00 0.05 0.01
 -------- 02:00 0.01 0.17 0.05 0.29 0.01 0.53 0.00 0.10 0.01
 13.02.13 03:00 0.01 0.15 0.04 0.27 0.02 0.51 0.00 0.07 0.01
 -------- 04:00 0.01 0.15 0.04 0.26 0.01 0.50 0.00 0.06 0.00
 -------- 05:00 0.01 0.15 0.05 0.28 0.02 0.52 0.00 0.01 0.02
 -------- 06:00 0.01 0.14 0.04 0.26 0.02 0.51 0.00 0.07 0.01
 -------- 07:00 0.02 0.15 0.14 0.35 0.03 0.50 0.00 0.06 0.01
 13.02.13 08:00 0.08 0.15 0.14 0.38 0.02 0.49 0.00 0.05 0.02
 -------- 09:00 0.08 0.14 0.12 0.40 0.03 0.47 0.00 0.06 0.01
 -------- 10:00 0.03 0.16 0.16 0.42 0.02 0.51 0.00 0.06 0.01
 -------- 11:00 0.05 0.15 0.15 0.39 0.03 0.50 0.00 0.05 0.01
 -------- 12:00 0.08 0.12 0.10 0.37 0.01 0.46 0.00 0.05 0.00
 13.02.13 13:00 0.06 0.13 0.09 0.40 0.01 0.47 0.00 0.02 0.00
 -------- 14:00 0.05 0.13 0.18 0.37 0.02 0.48 0.00 0.04 0.01
 -------- 15:00 0.03 0.14 0.12 0.38 0.03 0.49 0.00 0.06 0.01
 -------- 16:00 0.03 0.14 0.18 0.38 0.00 0.49 0.00 0.03 0.01
 -------- 17:00 0.04 0.15 0.25 0.43 ---- 0.49 0.00 0.05 0.01
 13.02.13 18:00 0.03 0.16 0.31 0.48 0.03 0.50 0.00 0.06 0.01
 -------- 19:00 0.03 0.17 0.22 0.50 0.01 0.51 0.00 0.06 0.01
 -------- 20:00 0.02 0.17 0.27 0.49 0.03 0.51 0.00 0.04 0.00
 -------- 21:00 0.01 0.18 0.23 0.44 0.01 0.53 0.00 0.01 0.01
 -------- 22:00 0.01 0.18 0.20 0.40 0.02 0.52 0.00 0.06 0.01
 13.02.13 23:00 0.01 0.18 0.19 0.40 0.02 0.52 0.00 0.03 0.01
 -------- 00:00 0.01 0.16 0.17 0.40 0.01 0.52 0.00 0.04 0.01
 -------- 01:00 0.01 0.18 0.19 0.41 0.00 0.52 0.00 0.06 0.01
 -------- 02:00 0.01 0.18 0.15 0.41 ---- 0.52 0.00 0.07 0.01
 -------- 03:00 0.01 0.20 0.11 0.38 ---- 0.54 0.00 0.03 0.00
 14.02.13 04:00 0.01 0.20 0.15 0.36 0.03 0.55 0.00 0.03 0.01
 -------- 05:00 0.01 0.18 0.10 0.33 0.03 0.52 0.00 0.04 0.01
 -------- 06:00 0.02 0.19 0.06 0.34 0.01 0.50 0.00 0.04 0.01
 -------- 07:00 0.02 0.19 0.12 0.36 0.01 0.50 0.00 ---- 0.01
 -------- 08:00 0.02 0.18 0.08 0.36 0.01 0.52 0.00 0.05 0.00
 14.02.13 09:00 0.01 0.18 0.09 0.36 0.01 0.52 0.00 0.04 0.01
 -------- 10:00 0.01 0.15 0.10 0.35 0.02 0.51 0.00 0.04 0.01
 -------- 11:00 0.01 0.16 0.16 0.37 0.02 0.51 0.00 0.03 0.01
