 Date Time CO SO2 H2S NO2 NO
 04.10.12 00:00 0.09 0.00 0.25 0.10 0.25
 -------- 01:00 0.06 0.00 0.29 0.10 0.21
 -------- 02:00 0.04 0.01 0.33 0.10 0.19
 -------- 03:00 0.07 0.03 0.33 0.10 0.31
 -------- 04:00 0.04 0.01 0.31 0.07 0.24
 04.10.12 05:00 0.02 0.01 0.12 0.09 0.18
 -------- 06:00 0.03 0.01 0.44 0.08 0.20
 -------- 07:00 0.02 0.03 0.58 0.07 0.13
 -------- 08:00 0.11 0.02 0.38 0.08 0.10
 -------- 09:00 0.09 0.00 0.25 0.08 0.10
 04.10.12 10:00 0.05 0.01 0.25 0.07 0.06
 -------- 11:00 0.05 0.02 0.58 0.09 0.06
 -------- 12:00 0.07 0.01 0.58 0.14 0.08
 -------- 13:00 0.06 0.01 0.12 0.14 0.06
 -------- 14:00 0.08 0.02 0.29 0.17 0.07
 04.10.12 15:00 0.07 0.02 0.44 0.18 0.05
 -------- 16:00 0.09 0.02 0.12 0.17 0.05
 -------- 17:00 0.05 0.03 0.44 0.14 0.03
 -------- 18:00 0.05 0.01 0.21 0.19 0.04
 -------- 19:00 0.10 0.02 0.54 0.25 0.08
 04.10.12 20:00 0.15 0.02 0.58 0.25 0.12
 -------- 21:00 0.14 0.02 0.25 0.22 0.15
 -------- 22:00 0.12 0.02 0.62 0.20 0.14
 -------- 23:00 0.04 0.01 ---- 0.15 0.03
 -------- 00:00 0.02 0.00 0.29 0.10 0.01
 05.10.12 01:00 ---- 0.00 0.42 0.07 0.00
 -------- 02:00 ---- 0.01 0.33 0.10 0.01
 -------- 03:00 ---- 0.01 0.54 0.06 0.00
 -------- 04:00 0.03 0.01 0.29 0.17 0.09
 -------- 05:00 0.07 0.02 0.25 0.17 0.22
 05.10.12 06:00 0.14 0.02 0.12 0.19 0.34
 -------- 07:00 0.15 0.02 0.12 0.17 0.20
 -------- 08:00 0.15 0.02 0.58 0.13 0.22
 -------- 09:00 0.07 0.02 0.38 0.16 0.13
 -------- 10:00 0.05 0.02 0.56 0.14 0.13
 05.10.12 11:00 0.02 0.02 ---- 0.13 0.09
 -------- 12:00 ---- 0.01 0.17 0.12 0.06
 -------- 13:00 0.03 0.02 0.38 0.18 0.10
 -------- 14:00 0.02 0.02 0.17 0.19 0.08
 -------- 15:00 0.02 0.03 0.33 0.21 0.08
 05.10.12 16:00 ---- 0.04 0.46 0.19 0.04
 -------- 17:00 0.06 0.03 0.12 0.17 0.04
 -------- 18:00 0.06 0.02 0.33 0.16 0.03
 -------- 19:00 ---- 0.01 0.19 0.13 0.02
 -------- 20:00 0.09 0.01 0.17 0.16 0.04
 05.10.12 21:00 0.07 0.01 ---- 0.15 0.04
 -------- 22:00 0.04 0.01 0.12 0.12 0.03
 -------- 23:00 0.09 0.01 0.21 0.13 0.03
