 Date Time CO NO2 CHX NO
 02.12.12 00:00 0.12 0.08 1.64 0.16
 -------- 01:00 0.10 0.08 1.62 0.16
 -------- 02:00 0.13 0.08 1.66 0.21
 -------- 03:00 0.11 0.08 1.65 0.18
 -------- 04:00 0.12 0.08 1.72 0.25
 02.12.12 05:00 0.08 0.09 1.62 0.12
 -------- 06:00 0.03 0.07 1.52 0.06
 -------- 07:00 0.02 0.06 1.50 0.06
 -------- 08:00 0.02 0.04 1.55 0.06
 -------- 09:00 0.02 0.06 1.55 0.07
 02.12.12 10:00 0.02 0.08 1.55 0.08
 -------- 11:00 0.02 0.07 1.49 0.07
 -------- 12:00 0.02 0.08 1.52 0.07
 -------- 13:00 0.02 0.08 1.60 0.08
 -------- 14:00 0.02 0.08 1.52 0.06
 02.12.12 15:00 ---- 0.08 1.48 0.05
 -------- 16:00 0.02 0.10 1.49 0.06
 -------- 17:00 0.02 0.11 1.50 0.05
 -------- 18:00 0.02 0.12 1.49 0.04
 -------- 19:00 0.02 0.13 1.49 0.05
 02.12.12 20:00 0.11 0.13 1.52 0.07
 -------- 21:00 0.11 0.13 1.53 0.06
 -------- 22:00 0.08 0.14 1.53 0.05
 -------- 23:00 0.08 0.14 1.51 0.06
 -------- 00:00 0.06 0.14 1.50 0.06
 03.12.12 01:00 0.06 0.15 1.48 0.05
 -------- 02:00 0.06 0.16 1.46 0.05
 -------- 03:00 0.06 0.16 1.49 0.03
 -------- 04:00 0.06 0.16 1.53 0.04
 -------- 05:00 0.06 0.16 1.55 0.03
 03.12.12 06:00 0.07 0.15 1.62 0.06
 -------- 07:00 0.09 0.13 1.55 0.05
 -------- 08:00 0.07 0.11 1.47 0.04
 -------- 09:00 0.03 0.13 1.48 0.05
 -------- 10:00 0.03 0.16 1.49 0.10
 03.12.12 11:00 0.02 0.13 1.50 0.06
 -------- 12:00 0.02 0.13 1.49 0.06
 -------- 13:00 0.02 0.13 1.45 0.06
 -------- 14:00 ---- 0.13 1.44 0.05
 -------- 15:00 0.02 0.12 1.44 0.04
 03.12.12 16:00 0.02 0.13 1.42 0.04
 -------- 17:00 ---- 0.14 1.42 0.04
 -------- 18:00 ---- 0.13 1.41 0.04
 -------- 19:00 ---- 0.12 1.41 0.03
 -------- 20:00 0.02 0.12 1.40 0.03
 03.12.12 21:00 0.02 0.12 1.40 0.04
 -------- 22:00 ---- 0.10 1.41 0.02
 -------- 23:00 ---- 0.09 1.41 0.02
