 Date Time CO H2S NO2 CHX NO
 21.09.12 00:00 0.09 0.44 0.20 1.72 0.01
 -------- 01:00 0.11 1.83 0.23 1.91 0.01
 -------- 02:00 0.10 0.58 0.24 1.87 0.02
 -------- 03:00 0.12 0.71 0.24 1.90 0.02
 -------- 04:00 0.10 0.50 0.23 1.86 0.02
 21.09.12 05:00 0.09 ---- 0.20 1.77 0.02
 -------- 06:00 0.27 0.25 0.21 1.91 0.06
 -------- 07:00 0.12 0.25 0.19 1.90 0.05
 -------- 08:00 0.13 0.38 0.18 2.12 0.09
 -------- 09:00 0.13 1.71 0.19 2.16 0.09
 21.09.12 10:00 0.11 0.46 0.19 1.79 0.07
 -------- 11:00 0.13 0.25 0.23 1.78 0.09
 -------- 12:00 0.09 0.56 0.19 1.73 0.04
 -------- 13:00 0.06 0.38 0.09 1.58 0.01
 -------- 14:00 0.04 0.25 0.05 1.53 0.00
 21.09.12 15:00 0.03 0.25 0.04 1.51 ----
 -------- 16:00 0.05 0.25 0.08 1.53 ----
 -------- 17:00 0.05 0.33 0.10 1.55 0.00
 -------- 18:00 0.07 0.12 0.12 1.57 0.01
 -------- 19:00 0.11 0.21 0.26 1.64 0.05
 21.09.12 20:00 0.10 0.25 0.13 1.60 ----
 -------- 21:00 0.09 0.21 0.10 1.56 ----
 -------- 22:00 0.08 0.33 0.08 1.56 ----
 -------- 23:00 0.08 0.33 0.09 1.57 ----
 -------- 00:00 0.08 0.29 0.11 1.60 ----
 22.09.12 01:00 0.08 0.42 0.12 1.64 ----
 -------- 02:00 0.08 0.12 0.08 1.60 ----
 -------- 03:00 0.07 ---- 0.05 1.52 ----
 -------- 04:00 0.06 0.21 0.04 1.51 ----
 -------- 05:00 0.06 0.25 0.04 1.51 ----
 22.09.12 06:00 0.06 0.12 0.05 1.51 ----
 -------- 07:00 0.05 0.12 0.06 1.51 ----
 -------- 08:00 0.04 0.12 0.05 1.51 0.00
 -------- 09:00 0.04 0.25 0.05 1.51 0.00
 -------- 10:00 0.05 ---- 0.05 1.52 0.01
 22.09.12 11:00 0.04 ---- 0.05 1.64 0.01
 -------- 12:00 0.06 0.17 0.05 1.85 0.01
 -------- 13:00 0.06 0.25 0.05 1.69 0.01
 -------- 14:00 0.06 0.12 0.05 1.89 0.01
 -------- 15:00 0.06 0.12 0.06 1.76 0.00
 22.09.12 16:00 0.06 0.17 0.06 1.72 0.00
 -------- 17:00 0.07 0.21 0.06 1.77 0.00
 -------- 18:00 0.08 0.12 0.09 2.31 0.00
 -------- 19:00 0.09 0.12 0.10 1.67 0.00
 -------- 20:00 0.15 0.12 0.14 2.81 0.00
 22.09.12 21:00 0.17 0.17 0.16 2.07 ----
 -------- 22:00 0.17 0.12 0.18 2.22 0.01
 -------- 23:00 0.13 0.12 0.14 1.78 0.00
