 Date Time CO SO2 H2S OZ CHX PM10 PM2.5
 25.12.12 00:00 0.04 0.02 0.19 ---- 2.25 0.07 ----
 -------- 01:00 0.03 0.02 0.12 ---- 2.04 0.04 ----
 -------- 02:00 0.02 0.02 0.21 ---- 2.06 0.04 ----
 -------- 03:00 0.02 0.01 0.21 ---- 2.03 0.04 ----
 -------- 04:00 0.02 0.01 0.29 ---- 2.03 0.04 ----
 25.12.12 05:00 0.02 0.01 0.25 ---- 1.99 0.05 ----
 -------- 06:00 0.02 0.01 0.33 ---- 1.92 0.05 ----
 -------- 07:00 0.03 0.01 0.50 ---- 1.91 0.04 ----
 -------- 08:00 0.04 0.02 0.25 ---- 1.78 0.04 ----
 -------- 09:00 0.04 0.02 0.25 ---- 1.80 0.04 ----
 25.12.12 10:00 0.04 0.02 0.29 ---- 1.78 0.05 ----
 -------- 11:00 0.04 0.03 0.33 ---- 1.76 0.04 ----
 -------- 12:00 0.04 0.03 0.38 ---- 1.71 0.05 ----
 -------- 13:00 0.04 0.04 0.46 ---- 1.73 0.05 ----
 -------- 14:00 0.04 0.05 0.58 ---- 1.73 0.05 ----
 25.12.12 15:00 0.04 0.06 0.67 ---- 1.73 0.06 ----
 -------- 16:00 0.04 0.06 0.83 ---- 1.72 0.06 ----
 -------- 17:00 0.04 0.06 0.88 ---- 1.73 0.07 ----
 -------- 18:00 0.06 0.06 0.88 ---- 1.73 0.06 ----
 -------- 19:00 0.04 0.06 1.00 ---- 1.74 0.06 ----
 25.12.12 20:00 0.02 0.06 0.92 ---- 1.73 0.07 ----
 -------- 21:00 0.02 0.06 0.88 ---- 1.72 0.06 ----
 -------- 22:00 0.02 0.06 0.88 ---- 1.72 0.08 ----
 -------- 23:00 ---- 0.05 0.92 ---- 1.70 0.08 ----
 -------- 00:00 ---- 0.04 0.50 ---- 1.71 0.06 ----
 26.12.12 01:00 ---- 0.03 0.25 ---- 1.68 0.05 ----
 -------- 02:00 ---- 0.03 0.25 ---- 1.66 0.04 ----
 -------- 03:00 ---- 0.03 0.25 ---- 1.66 0.05 ----
 -------- 04:00 ---- 0.03 0.29 ---- 1.68 0.04 ----
 -------- 05:00 ---- 0.03 0.33 ---- 1.67 0.05 ----
 26.12.12 06:00 ---- 0.03 0.38 ---- 1.70 0.06 ----
 -------- 07:00 0.02 0.03 0.38 ---- 1.72 0.07 ----
 -------- 08:00 ---- 0.03 0.38 ---- 1.76 0.07 ----
 -------- 09:00 ---- 0.04 0.38 ---- 1.78 0.06 ----
 -------- 10:00 ---- 0.04 0.38 ---- 1.77 0.06 ----
 26.12.12 11:00 ---- 0.06 0.50 ---- 1.79 0.05 ----
 -------- 12:00 ---- 0.04 0.50 ---- 1.78 0.05 ----
 -------- 13:00 ---- 0.04 0.50 ---- 1.74 0.04 ----
 -------- 14:00 ---- 0.04 0.50 ---- 1.73 0.05 ----
 -------- 15:00 ---- 0.03 0.50 ---- 1.82 0.06 ----
 26.12.12 16:00 ---- 0.03 0.50 ---- 1.78 0.07 ----
 -------- 17:00 ---- 0.03 0.50 ---- 1.77 0.08 ----
 -------- 18:00 ---- 0.03 0.50 ---- 1.79 0.08 ----
 -------- 19:00 0.03 0.03 0.58 ---- 1.82 0.08 ----
 -------- 20:00 0.04 0.03 0.50 ---- 1.82 0.07 ----
 26.12.12 21:00 0.04 0.03 0.50 ---- 1.78 0.06 ----
 -------- 22:00 0.04 0.03 0.50 ---- 1.74 0.03 ----
 -------- 23:00 0.04 0.03 0.50 ---- 1.69 0.03 ----
