 Date Time CO SO2 H2S OZ NO2 CHX PM10 PM2.5
 14.04.13 00:00 0.10 0.01 0.12 ---- 0.38 ---- 0.11 ----
 -------- 01:00 0.09 0.02 0.71 ---- 0.36 ---- 0.09 ----
 -------- 02:00 0.08 0.02 0.75 ---- 0.33 ---- 0.07 ----
 -------- 03:00 0.08 0.01 0.33 ---- 0.39 ---- 0.08 ----
 -------- 04:00 0.08 0.01 0.33 ---- 0.33 ---- 0.07 ----
 14.04.13 05:00 0.08 0.01 0.38 ---- 0.35 ---- 0.08 ----
 -------- 06:00 0.07 0.02 0.50 ---- 0.33 ---- 0.07 ----
 -------- 07:00 0.08 0.01 0.25 ---- 0.31 1.54 0.09 ----
 -------- 08:00 0.10 0.02 0.17 ---- 0.30 1.58 0.10 ----
 -------- 09:00 0.08 0.02 0.29 ---- 0.19 1.62 0.08 ----
 14.04.13 10:00 0.08 0.02 0.25 ---- 0.17 1.54 0.09 ----
 -------- 11:00 0.08 0.01 0.25 ---- 0.16 1.49 0.10 ----
 -------- 12:00 0.07 0.02 0.29 ---- 0.14 1.47 0.11 ----
 -------- 13:00 0.06 0.01 0.21 ---- 0.12 1.42 0.08 ----
 -------- 14:00 0.06 0.01 0.12 ---- 0.11 1.42 0.07 ----
 14.04.13 15:00 0.07 0.01 0.12 ---- 0.11 1.40 0.07 ----
 -------- 16:00 0.06 0.01 0.12 ---- 0.11 1.45 0.07 ----
 -------- 17:00 0.06 0.03 0.17 ---- 0.12 1.43 0.08 ----
 -------- 18:00 0.08 0.05 0.25 ---- 0.13 1.48 0.09 ----
 -------- 19:00 0.07 0.04 0.25 ---- 0.18 1.45 0.11 ----
 14.04.13 20:00 0.08 0.04 0.21 ---- 0.31 1.43 0.13 ----
 -------- 21:00 0.09 0.03 0.25 ---- 0.31 1.48 0.15 ----
 -------- 22:00 0.10 0.05 0.33 ---- 0.22 1.76 0.12 ----
 -------- 23:00 0.10 0.05 0.29 ---- 0.21 1.99 0.12 ----
 -------- 00:00 0.08 0.03 0.25 ---- 0.24 1.96 0.12 ----
 15.04.13 01:00 0.09 0.03 0.12 ---- 0.26 1.99 0.12 ----
 -------- 02:00 0.10 0.02 0.12 ---- 0.24 1.96 0.13 ----
 -------- 03:00 0.10 0.02 0.12 ---- 0.24 2.13 0.14 ----
 -------- 04:00 0.10 0.01 0.12 ---- 0.24 2.39 0.13 ----
 -------- 05:00 0.10 0.01 0.12 ---- 0.27 2.38 0.15 ----
 15.04.13 06:00 0.11 0.01 0.17 ---- 0.39 3.51 0.11 ----
 -------- 07:00 0.13 0.01 0.25 ---- 0.46 5.91 0.14 ----
 -------- 08:00 0.15 0.04 0.46 ---- 0.46 5.03 0.18 ----
 -------- 09:00 0.14 0.06 0.83 ---- 0.52 2.48 0.25 ----
 -------- 10:00 0.15 0.06 0.75 ---- 0.52 2.00 0.22 ----
 15.04.13 11:00 0.13 0.08 0.62 ---- 0.56 1.84 0.24 ----
 -------- 12:00 0.12 0.09 0.50 ---- 0.54 1.76 0.23 ----
 -------- 13:00 0.09 0.05 0.29 ---- 0.32 1.57 0.13 ----
 -------- 14:00 0.06 0.02 0.12 ---- 0.21 1.49 0.12 ----
 -------- 15:00 0.06 0.03 0.12 ---- 0.33 1.47 0.12 ----
 15.04.13 16:00 0.06 0.05 0.12 ---- 0.46 1.47 0.12 ----
 -------- 17:00 0.06 0.04 0.12 ---- 0.42 1.55 0.12 ----
 -------- 18:00 0.06 0.02 0.17 ---- 0.25 1.54 0.11 ----
 -------- 19:00 0.06 0.01 0.21 ---- 0.24 1.53 0.11 ----
 -------- 20:00 0.07 0.01 0.33 ---- 0.31 1.51 0.13 ----
 15.04.13 21:00 0.09 0.02 0.62 ---- 0.47 1.72 0.16 ----
 -------- 22:00 0.15 0.02 0.54 ---- 0.69 1.86 0.19 ----
 -------- 23:00 0.15 0.01 0.33 ---- 0.55 1.93 0.19 ----
