 Date Time CO NO2 CHX NO PM10
 24.09.12 00:00 0.08 0.27 1.45 0.01 0.02
 -------- 01:00 0.07 0.26 1.46 0.02 0.03
 -------- 02:00 0.05 0.26 1.49 0.04 0.04
 -------- 03:00 0.04 0.24 1.51 0.03 0.04
 -------- 04:00 0.02 0.17 1.45 0.01 0.02
 24.09.12 05:00 0.02 0.17 1.43 0.01 0.02
 -------- 06:00 0.02 0.19 1.41 0.01 0.02
 -------- 07:00 0.05 0.25 1.42 0.02 0.04
 -------- 08:00 0.05 0.27 1.45 0.04 0.03
 -------- 09:00 0.06 0.25 1.48 0.08 0.04
 24.09.12 10:00 0.05 0.22 1.46 0.06 0.03
 -------- 11:00 0.04 0.18 1.41 0.04 0.02
 -------- 12:00 0.05 0.21 1.39 0.04 0.03
 -------- 13:00 0.07 0.19 1.38 0.04 0.02
 -------- 14:00 0.06 0.16 1.38 0.03 0.02
 24.09.12 15:00 0.06 0.17 1.38 0.03 0.03
 -------- 16:00 0.06 0.19 1.39 0.02 0.12
 -------- 17:00 0.06 0.18 1.39 0.03 0.08
 -------- 18:00 0.06 0.19 1.37 0.02 0.06
 -------- 19:00 0.06 0.20 1.40 0.02 0.06
 24.09.12 20:00 0.06 0.22 1.40 0.03 0.06
 -------- 21:00 0.06 0.20 1.39 0.02 0.05
 -------- 22:00 0.06 0.21 1.39 0.02 0.05
 -------- 23:00 0.06 0.21 1.40 0.03 0.05
 -------- 00:00 0.06 0.21 1.43 0.04 0.05
 25.09.12 01:00 0.05 0.17 1.41 0.02 0.04
 -------- 02:00 0.04 0.15 1.40 0.01 0.04
 -------- 03:00 0.04 0.13 1.39 0.01 0.04
 -------- 04:00 0.04 0.13 1.40 0.01 0.03
 -------- 05:00 0.04 0.13 1.41 0.01 0.04
 25.09.12 06:00 0.05 0.17 1.42 0.02 0.05
 -------- 07:00 0.05 0.17 1.41 0.02 0.04
 -------- 08:00 0.06 0.19 1.41 0.03 0.05
 -------- 09:00 0.06 0.19 1.41 0.04 0.06
 -------- 10:00 0.06 0.16 1.40 0.04 0.06
 25.09.12 11:00 0.06 0.16 1.45 0.04 0.07
 -------- 12:00 0.06 0.15 1.40 0.04 0.07
 -------- 13:00 0.06 0.16 1.41 0.05 0.08
 -------- 14:00 0.05 0.16 1.44 0.03 0.08
 -------- 15:00 0.08 0.20 1.48 0.05 0.08
 25.09.12 16:00 0.08 0.22 1.44 0.03 0.09
 -------- 17:00 0.07 0.23 1.42 0.04 0.09
 -------- 18:00 0.06 0.20 1.41 0.03 0.08
 -------- 19:00 0.07 0.21 1.44 0.03 0.08
 -------- 20:00 0.09 0.23 1.46 0.04 0.11
 25.09.12 21:00 0.11 0.21 1.46 0.03 0.11
 -------- 22:00 0.07 0.18 1.41 0.04 0.06
 -------- 23:00 0.07 0.17 1.40 0.03 0.05
