 Date Time CO OZ NO2 CHX NO
 13.10.12 00:00 0.07 0.09 0.16 1.46 0.03
 -------- 01:00 0.05 0.12 0.12 1.45 0.02
 -------- 02:00 0.05 0.14 0.09 1.42 0.01
 -------- 03:00 0.04 0.15 0.09 1.37 0.01
 -------- 04:00 0.03 0.16 0.09 1.36 0.01
 13.10.12 05:00 0.03 0.13 0.14 1.36 0.01
 -------- 06:00 0.04 0.07 0.19 1.39 0.02
 -------- 07:00 0.04 0.05 0.21 1.40 0.04
 -------- 08:00 0.07 0.03 0.24 1.42 0.09
 -------- 09:00 0.08 0.03 0.21 1.44 0.13
 13.10.12 10:00 0.07 0.05 0.22 1.41 0.11
 -------- 11:00 0.08 0.09 0.20 1.41 0.08
 -------- 12:00 0.08 0.10 0.22 1.42 0.10
 -------- 13:00 0.09 0.11 0.20 1.41 0.09
 -------- 14:00 0.07 0.11 0.19 1.41 0.09
 13.10.12 15:00 0.09 0.13 0.24 1.45 0.10
 -------- 16:00 0.07 0.12 0.20 1.51 0.07
 -------- 17:00 0.11 0.12 0.24 1.63 0.08
 -------- 18:00 0.15 0.05 0.39 1.73 0.19
 -------- 19:00 0.15 0.02 0.38 1.74 0.22
 13.10.12 20:00 0.16 0.01 0.31 1.61 0.17
 -------- 21:00 0.23 0.01 0.31 1.67 0.36
 -------- 22:00 0.15 0.01 0.27 1.60 0.20
 -------- 23:00 0.18 0.01 0.25 1.64 0.23
