 Date Time CO OZ NO2 CHX NO PM10
 24.10.12 23:00 0.08 0.01 0.32 1.56 0.07 0.05
 -------- 00:00 0.07 0.02 0.30 1.51 0.06 0.04
 -------- 01:00 0.07 0.03 0.26 1.50 0.04 0.03
 -------- 02:00 0.06 0.07 0.21 1.48 0.03 0.03
 -------- 03:00 0.06 0.07 0.23 1.49 0.03 0.03
 25.10.12 04:00 0.06 0.09 0.22 1.51 0.03 0.03
 -------- 05:00 0.06 0.05 0.25 1.55 0.03 0.03
 -------- 06:00 0.06 0.04 0.26 1.51 0.04 0.03
 -------- 07:00 0.07 0.02 0.29 1.49 0.06 0.04
 -------- 08:00 0.07 0.03 0.29 1.53 0.05 0.04
 25.10.12 09:00 0.08 0.03 0.31 1.51 0.07 0.05
 -------- 10:00 0.07 0.07 0.27 1.52 0.05 0.05
 -------- 11:00 0.08 0.12 0.26 1.50 0.06 0.06
 -------- 12:00 0.08 0.12 0.26 1.44 0.06 0.06
 -------- 13:00 0.08 0.12 0.27 1.41 0.06 0.05
 25.10.12 14:00 0.07 0.12 0.26 1.41 0.05 0.05
 -------- 15:00 0.07 0.16 0.23 1.41 0.04 0.05
 -------- 16:00 0.07 0.13 0.26 1.43 0.05 0.06
 -------- 17:00 0.07 0.10 0.29 1.46 0.04 0.06
 -------- 18:00 0.08 0.09 0.30 1.49 0.04 0.07
 25.10.12 19:00 0.07 0.08 0.28 1.51 0.03 0.07
 -------- 20:00 0.07 0.09 0.27 1.50 0.03 0.06
 -------- 21:00 0.07 0.12 0.27 1.47 0.03 0.05
 -------- 22:00 0.06 0.17 0.24 1.45 0.02 0.05
 -------- 23:00 0.06 0.11 0.28 1.46 0.02 0.04
 26.10.12 00:00 0.04 0.14 0.24 1.46 0.01 0.04
 -------- 01:00 0.05 0.25 0.15 1.46 0.01 0.03
 -------- 02:00 0.07 0.21 0.15 1.46 0.01 0.03
 -------- 03:00 0.04 0.31 0.07 1.44 0.00 0.03
 -------- 04:00 0.04 0.31 0.07 1.45 0.00 0.03
 26.10.12 05:00 0.04 0.25 0.08 1.46 0.00 0.03
 -------- 06:00 0.05 0.19 0.11 1.48 0.01 0.02
 -------- 07:00 0.07 0.10 0.20 1.48 0.02 0.02
 -------- 08:00 0.08 0.04 0.27 1.50 0.06 0.03
 -------- 09:00 0.08 0.07 0.24 1.57 0.04 0.03
 26.10.12 10:00 0.09 0.07 0.25 1.46 0.05 0.03
 -------- 11:00 0.11 0.05 0.26 1.44 0.08 0.03
 -------- 12:00 0.10 0.06 0.26 1.45 0.07 0.03
 -------- 13:00 0.10 0.09 0.27 1.44 0.07 ----
 -------- 14:00 0.09 0.19 0.21 1.40 0.04 ----
 26.10.12 15:00 0.07 0.22 0.20 1.40 0.03 ----
 -------- 16:00 0.10 0.16 0.24 1.43 0.05 ----
 -------- 17:00 0.07 0.18 0.20 1.41 0.03 ----
 -------- 18:00 0.07 0.18 0.23 1.41 0.03 0.04
 -------- 19:00 0.06 0.18 0.23 1.39 0.03 0.04
 26.10.12 20:00 0.08 0.15 0.28 1.40 0.03 0.04
 -------- 21:00 0.08 0.17 0.24 1.40 0.03 0.04
 -------- 22:00 0.08 0.15 0.25 1.41 0.03 0.03
