 Date Time CO OZ NO2 CHX NO PM10 PM2.5
 26.12.12 00:00 0.06 0.14 0.21 1.50 0.01 0.07 0.09
 -------- 01:00 0.05 0.13 0.26 1.48 0.03 0.06 0.08
 -------- 02:00 0.06 0.06 0.33 1.48 0.05 0.05 0.07
 -------- 03:00 0.05 0.08 0.31 1.51 0.05 0.07 0.08
 -------- 04:00 0.06 0.03 0.35 1.50 0.10 0.07 0.09
 26.12.12 05:00 0.06 0.02 0.34 1.51 0.09 0.08 0.10
 -------- 06:00 0.06 0.02 0.34 1.53 0.11 0.08 0.11
 -------- 07:00 0.07 0.02 0.34 1.56 0.09 0.09 0.12
 -------- 08:00 0.06 0.08 0.28 1.57 0.04 0.09 0.12
 -------- 09:00 0.06 0.12 0.26 1.53 0.03 0.07 0.10
 26.12.12 10:00 0.07 0.09 0.26 1.53 0.03 0.06 0.09
 -------- 11:00 0.06 0.08 0.26 1.51 0.03 0.05 0.08
 -------- 12:00 0.08 0.06 0.29 1.52 0.06 0.05 0.09
 -------- 13:00 0.09 0.05 0.30 1.53 0.07 0.06 0.08
 -------- 14:00 0.10 0.05 0.29 1.54 0.08 0.07 0.11
 26.12.12 15:00 0.10 0.03 0.31 1.58 0.10 0.09 0.12
 -------- 16:00 0.11 0.02 0.31 1.56 0.09 0.09 0.14
 -------- 17:00 0.11 0.02 0.32 1.59 0.08 0.09 0.15
 -------- 18:00 0.11 0.01 0.32 1.63 0.11 0.11 0.16
 -------- 19:00 0.11 0.01 0.32 1.61 0.10 0.10 0.14
 26.12.12 20:00 0.11 0.01 0.32 1.58 0.09 0.08 0.12
 -------- 21:00 0.09 0.01 0.29 1.57 0.06 0.06 0.09
 -------- 22:00 0.08 0.05 0.27 1.53 0.04 0.04 0.05
 -------- 23:00 0.08 0.03 0.30 1.53 0.05 0.05 0.06
 -------- 00:00 0.07 0.04 0.28 1.52 0.04 0.04 0.05
 27.12.12 01:00 0.06 0.08 0.27 1.49 0.03 0.04 0.05
 -------- 02:00 0.05 0.15 0.21 1.45 0.02 0.02 0.04
 -------- 03:00 0.06 0.11 0.24 1.46 0.03 0.03 0.04
 -------- 04:00 0.05 0.09 0.27 1.47 0.04 0.02 0.03
 -------- 05:00 0.06 0.04 0.29 1.51 0.03 0.02 0.03
 27.12.12 06:00 0.08 0.01 0.32 1.61 0.09 0.04 0.05
 -------- 07:00 0.07 0.01 0.31 1.54 0.08 0.04 0.04
 -------- 08:00 0.08 0.01 0.33 1.53 0.07 0.05 0.06
 -------- 09:00 0.08 0.01 0.33 1.54 0.07 0.08 0.11
 -------- 10:00 0.08 0.02 0.32 1.54 0.07 0.08 0.11
 27.12.12 11:00 0.09 0.01 0.32 1.57 0.10 0.09 0.12
 -------- 12:00 0.11 0.01 0.32 1.58 0.11 0.09 0.12
 -------- 13:00 0.11 0.02 0.32 1.64 0.12 0.07 0.10
 -------- 14:00 0.13 0.01 0.32 1.84 0.15 0.07 0.09
 -------- 15:00 0.14 0.01 0.33 1.74 0.18 0.08 0.11
 27.12.12 16:00 0.16 0.01 0.34 1.78 0.22 0.09 0.11
 -------- 17:00 0.24 0.01 0.36 1.89 0.34 0.10 0.15
 -------- 18:00 0.27 0.01 0.39 1.99 0.48 0.10 0.15
 -------- 19:00 0.35 0.01 0.38 2.15 0.54 0.11 0.19
 -------- 20:00 0.31 0.01 0.39 2.08 0.74 0.11 0.16
 27.12.12 21:00 0.25 0.01 0.39 1.91 0.57 0.10 0.14
 -------- 22:00 0.18 0.01 0.40 1.76 0.40 0.10 0.13
 -------- 23:00 0.13 0.01 0.32 1.67 0.22 0.08 0.11
