 Date Time CO OZ NO2 CHX NO
 30.10.12 00:00 ---- 0.12 0.17 1.48 0.12
 -------- 01:00 ---- 0.12 0.16 1.48 0.10
 -------- 02:00 ---- 0.10 0.15 1.47 0.10
 -------- 03:00 ---- 0.18 0.13 1.48 0.07
 -------- 04:00 ---- 0.16 0.14 1.48 0.07
 30.10.12 05:00 ---- 0.17 0.14 1.49 0.07
 -------- 06:00 ---- 0.11 0.15 1.53 0.11
 -------- 07:00 ---- 0.10 0.16 1.58 0.15
 -------- 08:00 ---- 0.09 0.17 1.65 0.16
 -------- 09:00 ---- 0.09 0.18 1.72 0.17
 30.10.12 10:00 ---- 0.09 0.19 1.75 0.18
 -------- 11:00 ---- 0.11 0.19 1.67 0.19
 -------- 12:00 ---- 0.13 0.17 1.60 0.16
 -------- 13:00 ---- 0.14 0.17 1.56 0.15
 -------- 14:00 ---- 0.11 0.19 1.56 0.18
 30.10.12 15:00 ---- 0.14 0.19 1.56 0.15
 -------- 16:00 ---- 0.14 0.19 1.54 0.14
 -------- 17:00 ---- 0.15 0.18 1.55 0.13
 -------- 18:00 ---- 0.13 0.18 1.53 0.11
 -------- 19:00 ---- 0.14 0.17 1.54 0.10
 30.10.12 20:00 ---- 0.19 0.16 1.51 0.09
 -------- 21:00 ---- 0.18 0.14 1.48 0.07
 -------- 22:00 ---- 0.16 0.14 1.48 0.08
 -------- 23:00 ---- 0.15 0.14 1.47 0.09
 -------- 00:00 ---- 0.14 0.13 1.48 0.09
 31.10.12 01:00 ---- 0.12 0.13 1.48 0.10
 -------- 02:00 ---- 0.12 0.13 1.48 0.09
 -------- 03:00 ---- 0.11 0.13 1.48 0.09
 -------- 04:00 ---- 0.09 0.13 1.49 0.11
 -------- 05:00 ---- 0.08 0.12 1.52 0.13
 31.10.12 06:00 ---- 0.06 0.13 1.64 0.23
 -------- 07:00 ---- 0.07 0.16 1.75 0.40
 -------- 08:00 ---- 0.07 0.17 1.92 0.45
 -------- 09:00 ---- 0.06 0.15 1.92 0.35
 -------- 10:00 ---- 0.06 0.13 1.81 0.27
 31.10.12 11:00 ---- 0.06 0.13 1.75 0.23
 -------- 12:00 ---- 0.07 0.14 1.74 0.26
 -------- 13:00 ---- 0.06 0.13 1.78 0.21
 -------- 14:00 ---- 0.07 0.12 1.77 0.15
 -------- 15:00 ---- 0.07 0.11 1.69 0.13
 31.10.12 16:00 ---- 0.08 0.10 1.60 0.09
 -------- 17:00 ---- 0.10 0.10 1.54 0.07
 -------- 18:00 ---- 0.14 0.10 1.50 0.06
 -------- 19:00 ---- 0.15 0.10 1.49 0.05
 -------- 20:00 ---- 0.18 0.09 1.48 0.05
 31.10.12 21:00 ---- 0.17 0.10 1.48 0.05
 -------- 22:00 ---- 0.18 0.10 1.47 0.05
 -------- 23:00 ---- 0.23 0.10 1.47 0.05
