 Date Time OZ NO2 CHX NO
 21.12.12 12:00 ---- 0.21 ---- 0.38
 -------- 13:00 ---- 0.21 ---- 0.38
 -------- 14:00 ---- 0.23 ---- 0.45
 -------- 15:00 ---- 0.23 ---- 0.48
 -------- 16:00 ---- 0.25 ---- 0.42
 21.12.12 17:00 ---- 0.24 ---- 0.40
 -------- 18:00 ---- 0.22 ---- 0.33
 -------- 19:00 ---- 0.20 ---- 0.27
 -------- 20:00 ---- 0.21 ---- 0.36
 -------- 21:00 ---- 0.20 ---- 0.29
 21.12.12 22:00 ---- 0.19 ---- 0.27
 -------- 23:00 ---- 0.20 ---- 0.28
 -------- 00:00 ---- 0.18 ---- 0.25
 -------- 01:00 ---- 0.18 ---- 0.22
 -------- 02:00 ---- 0.20 ---- 0.24
 22.12.12 03:00 ---- 0.19 ---- 0.21
 -------- 04:00 ---- 0.19 ---- 0.20
 -------- 05:00 ---- 0.20 ---- 0.19
 -------- 06:00 ---- 0.21 ---- 0.22
 -------- 07:00 ---- 0.24 ---- 0.31
 22.12.12 08:00 ---- 0.28 ---- 0.37
 -------- 09:00 ---- 0.23 ---- 0.27
 -------- 10:00 ---- 0.26 ---- 0.39
 -------- 11:00 ---- 0.22 ---- 0.27
 -------- 12:00 ---- 0.23 ---- 0.29
 22.12.12 13:00 ---- 0.24 ---- 0.32
 -------- 14:00 ---- 0.22 ---- 0.22
 -------- 15:00 ---- 0.24 ---- 0.24
 -------- 16:00 ---- 0.23 ---- 0.25
 -------- 17:00 ---- 0.23 ---- 0.25
 22.12.12 18:00 ---- 0.25 ---- 0.29
 -------- 19:00 ---- 0.23 ---- 0.23
 -------- 20:00 ---- 0.20 ---- 0.14
 -------- 21:00 ---- 0.20 ---- 0.15
 -------- 22:00 ---- 0.19 ---- 0.13
 22.12.12 23:00 ---- 0.19 ---- 0.13
 -------- 00:00 ---- 0.17 ---- 0.11
 -------- 01:00 ---- 0.18 ---- 0.12
 -------- 02:00 ---- 0.17 ---- 0.09
 -------- 03:00 ---- 0.17 ---- 0.10
 23.12.12 04:00 ---- 0.18 ---- 0.12
 -------- 05:00 ---- 0.19 ---- 0.14
 -------- 06:00 ---- 0.18 ---- 0.09
 -------- 07:00 ---- 0.18 ---- 0.10
 -------- 08:00 ---- 0.19 ---- 0.13
 23.12.12 09:00 ---- 0.20 ---- 0.13
 -------- 10:00 ---- 0.22 ---- 0.25
 -------- 11:00 ---- 0.20 ---- 0.28
