 Date Time CO OZ NO2 NO
 01.02.13 12:00 0.23 0.08 0.23 0.13
 -------- 13:00 0.21 0.09 0.25 0.11
 -------- 14:00 0.23 0.10 0.23 0.12
 -------- 15:00 0.23 0.09 0.24 0.12
 -------- 16:00 0.25 0.08 0.25 0.11
 01.02.13 17:00 0.25 0.06 0.25 0.11
 -------- 18:00 0.23 0.06 0.25 0.12
 -------- 19:00 0.23 0.05 0.26 0.13
 -------- 20:00 0.20 0.06 0.24 0.10
 -------- 21:00 0.19 0.07 0.24 0.09
 01.02.13 22:00 0.21 0.07 0.23 0.09
 -------- 23:00 0.21 0.06 0.23 0.11
 -------- 00:00 0.24 0.05 0.24 0.17
 -------- 01:00 0.21 0.05 0.23 0.14
 -------- 02:00 0.18 0.06 0.21 0.12
 02.02.13 03:00 0.15 0.05 0.22 0.13
 -------- 04:00 0.15 0.05 0.23 0.14
 -------- 05:00 0.16 0.04 0.22 0.19
 -------- 06:00 0.17 0.05 0.23 0.18
 -------- 07:00 0.19 0.05 0.24 0.21
 02.02.13 08:00 0.20 0.05 0.23 0.16
 -------- 09:00 0.21 0.06 0.23 0.15
 -------- 10:00 0.21 0.05 0.25 0.19
 -------- 11:00 0.22 0.06 0.25 0.18
 -------- 12:00 0.21 0.06 0.26 0.15
 02.02.13 13:00 0.21 0.08 0.25 0.15
 -------- 14:00 0.21 0.09 0.25 0.13
 -------- 15:00 0.21 0.08 0.26 0.14
 -------- 16:00 0.19 0.08 0.26 0.13
 -------- 17:00 0.27 0.05 0.28 0.21
 02.02.13 18:00 0.23 0.05 0.26 0.17
 -------- 19:00 0.23 0.05 0.26 0.15
 -------- 20:00 0.21 0.05 0.26 0.14
 -------- 21:00 0.22 0.05 0.25 0.14
 -------- 22:00 0.25 0.05 0.25 0.16
 02.02.13 23:00 0.20 0.05 0.23 0.14
 -------- 00:00 0.23 0.04 0.25 0.19
 -------- 01:00 0.20 0.05 0.23 0.12
 -------- 02:00 0.18 0.04 0.23 0.13
 -------- 03:00 0.13 0.07 0.21 0.06
 03.02.13 04:00 0.10 0.11 0.19 0.04
 -------- 05:00 0.10 0.12 0.19 0.04
 -------- 06:00 0.11 0.13 0.19 0.04
 -------- 07:00 0.10 0.13 0.20 0.06
 -------- 08:00 0.11 0.13 0.19 0.05
 03.02.13 09:00 0.13 0.14 0.20 0.06
 -------- 10:00 0.13 0.15 0.20 0.05
 -------- 11:00 0.14 0.15 0.21 0.07
