 Date Time Формальдегид
 -------- 03:00 0.06
 -------- 04:00 0.03
 30.10.12 06:00 0.03
 -------- 07:00 0.03
 -------- 08:00 0.03
 -------- 09:00 0.04
 -------- 10:00 ----
 30.10.12 11:00 0.03
 -------- 12:00 0.03
 -------- 13:00 0.04
 -------- 14:00 0.04
 -------- 15:00 ----
 30.10.12 16:00 0.06
 -------- 17:00 0.06
 -------- 18:00 0.09
 -------- 19:00 0.10
 -------- 20:00 0.08
 30.10.12 21:00 0.16
 -------- 22:00 0.14
 -------- 23:00 0.08
 -------- 00:00 0.04
 -------- 01:00 0.05
 31.10.12 02:00 0.06
 -------- 03:00 ----
 -------- 04:00 0.03
 -------- 05:00 0.03
 -------- 06:00 0.04
 31.10.12 07:00 0.03
 -------- 08:00 0.03
 -------- 09:00 0.04
 -------- 10:00 0.07
 -------- 11:00 0.07
 31.10.12 12:00 0.03
 -------- 13:00 0.06
 -------- 14:00 0.03
 -------- 15:00 0.05
 -------- 16:00 0.07
 31.10.12 17:00 0.08
 -------- 18:00 0.11
 -------- 19:00 0.03
 -------- 20:00 0.04
 -------- 21:00 0.05
 31.10.12 22:00 0.04
 -------- 23:00 0.03
