 Date Time SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 08.02.13 00:00 0.01 0.18 0.17 0.23 ---- 0.10 0.00 ----
 -------- 01:00 0.01 0.18 0.20 0.22 0.01 0.10 0.00 ----
 -------- 02:00 0.01 0.17 0.21 0.23 0.02 0.09 0.00 ----
 -------- 03:00 0.01 0.17 0.15 0.22 0.02 0.10 0.00 ----
 -------- 04:00 0.01 0.19 0.15 0.20 0.02 0.10 0.00 ----
 08.02.13 05:00 0.01 0.17 0.14 0.24 0.02 0.09 0.00 ----
 -------- 06:00 0.01 0.15 0.15 0.27 0.02 0.10 0.00 ----
 -------- 07:00 0.01 0.12 0.16 0.30 ---- 0.09 0.00 ----
 -------- 08:00 0.01 0.12 0.17 0.31 0.01 0.11 0.00 ----
 -------- 09:00 0.01 0.11 0.18 0.32 ---- 0.10 0.00 ----
 08.02.13 10:00 0.01 0.11 0.19 0.32 ---- 0.10 0.00 ----
 -------- 11:00 0.01 0.12 0.20 0.32 ---- 0.11 0.00 ----
 -------- 12:00 0.02 0.15 0.17 0.28 ---- 0.09 0.00 ----
 -------- 13:00 0.02 0.14 0.18 0.28 ---- 0.09 0.00 ----
 -------- 14:00 0.02 0.17 0.16 0.25 0.01 0.13 0.00 ----
 08.02.13 15:00 0.01 0.15 0.17 0.26 ---- 0.10 0.00 ----
 -------- 16:00 0.01 0.17 0.20 0.25 0.00 0.11 0.00 ----
 -------- 17:00 0.01 0.15 0.18 0.26 0.00 0.11 0.00 ----
 -------- 18:00 0.01 0.16 0.18 0.26 0.01 0.09 0.00 ----
 -------- 19:00 0.01 0.16 0.18 0.24 0.01 0.10 0.00 ----
 08.02.13 20:00 0.01 0.16 0.18 0.24 0.01 0.10 0.00 ----
 -------- 21:00 0.01 0.15 0.16 0.26 0.01 0.11 0.00 ----
 -------- 22:00 0.01 0.18 0.16 0.23 0.01 0.09 0.00 ----
 -------- 23:00 0.01 0.20 0.17 0.21 0.02 0.10 0.00 ----
 -------- 00:00 0.01 0.21 0.14 0.21 0.02 0.10 0.00 ----
 09.02.13 01:00 0.02 0.19 0.13 0.24 0.02 0.08 0.00 ----
 -------- 02:00 0.03 0.19 0.14 0.22 0.01 0.12 0.00 ----
 -------- 03:00 0.01 0.24 0.11 0.18 0.03 0.09 0.00 ----
 -------- 04:00 0.00 0.21 0.12 0.19 0.02 0.09 0.00 ----
 -------- 05:00 0.01 0.20 0.13 0.21 0.02 0.09 0.00 ----
 09.02.13 06:00 0.01 0.20 0.13 0.22 0.01 0.09 0.00 ----
 -------- 07:00 0.01 0.18 0.17 0.26 0.01 0.10 0.00 ----
 -------- 08:00 0.01 0.18 0.15 0.27 0.01 0.10 0.00 ----
 -------- 09:00 0.01 0.20 0.12 0.22 0.02 0.08 0.00 ----
 -------- 10:00 0.01 0.22 0.12 0.21 0.02 0.09 0.00 ----
 09.02.13 11:00 0.02 0.20 0.09 0.24 0.01 0.08 0.00 ----
 -------- 12:00 0.01 0.17 0.11 0.26 0.01 0.10 0.00 ----
 -------- 13:00 0.02 0.19 0.11 0.27 0.01 0.08 0.00 ----
 -------- 14:00 0.02 0.21 0.14 0.26 0.02 0.09 0.00 ----
 -------- 15:00 0.02 0.20 0.13 0.26 0.01 0.09 0.00 ----
 09.02.13 16:00 0.01 0.21 0.16 0.26 0.01 0.14 0.00 ----
 -------- 17:00 0.01 0.23 0.20 0.24 0.02 0.08 0.00 ----
 -------- 18:00 0.01 0.24 0.22 0.25 0.03 0.12 0.00 ----
 -------- 19:00 0.01 0.22 0.19 0.25 0.03 0.13 0.00 ----
 -------- 20:00 0.01 0.23 0.20 0.27 0.03 0.08 0.00 ----
 09.02.13 21:00 0.01 0.26 0.18 0.18 0.03 0.12 0.00 ----
 -------- 22:00 0.01 0.28 0.16 0.15 0.04 0.16 0.00 ----
 -------- 23:00 0.02 0.25 0.19 0.21 0.04 0.16 0.00 ----
