 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РЎС‚РёСЂРѕР» РњРµС‚Р°РєСЃРёР»РѕР»
 23.03.13 00:00 0.01 0.19 0.14 0.22 ---- 0.07 0.00 1.17 ----
 -------- 01:00 0.01 0.19 0.11 0.23 ---- 0.06 0.00 1.06 ----
 -------- 02:00 0.02 0.17 0.09 0.24 ---- 0.05 0.00 0.91 ----
 -------- 03:00 0.01 0.17 0.10 0.26 ---- 0.07 0.00 0.63 ----
 -------- 04:00 0.02 0.21 0.07 0.23 ---- 0.05 0.00 1.15 ----
 23.03.13 05:00 0.02 0.23 0.08 0.22 ---- 0.07 0.00 0.79 ----
 -------- 06:00 0.02 0.21 0.11 0.25 ---- 0.06 0.00 0.52 ----
 -------- 07:00 0.02 0.19 0.08 0.28 ---- 0.06 0.00 0.95 ----
 -------- 08:00 0.03 0.18 0.11 0.27 ---- 0.03 0.00 0.72 ----
 -------- 09:00 0.03 0.22 0.11 0.27 ---- 0.06 0.00 1.41 ----
 23.03.13 10:00 0.03 0.22 0.10 0.28 ---- 0.05 0.00 0.65 ----
 -------- 11:00 0.02 0.28 0.12 0.25 ---- 0.05 0.00 0.79 ----
 -------- 12:00 0.01 0.32 0.10 0.18 ---- 0.08 0.00 0.64 ----
 -------- 13:00 0.01 0.34 0.06 0.19 ---- 0.21 0.00 0.71 ----
 -------- 14:00 0.01 0.34 0.05 0.17 ---- 0.19 0.00 0.57 ----
 23.03.13 15:00 0.01 0.33 0.07 0.18 ---- 0.19 0.00 0.92 ----
 -------- 16:00 0.01 0.35 0.08 0.17 ---- 0.16 0.00 0.52 ----
 -------- 17:00 0.01 0.34 0.06 0.16 ---- 0.13 0.00 0.63 ----
 -------- 18:00 0.01 0.34 0.04 0.17 ---- 0.21 0.00 1.49 ----
 -------- 19:00 0.01 0.34 0.07 0.20 ---- 0.13 0.00 0.12 ----
 23.03.13 20:00 0.01 0.34 0.08 0.17 ---- 0.16 0.00 0.95 ----
 -------- 21:00 0.01 0.33 0.09 0.17 ---- 0.12 0.00 0.17 ----
 -------- 22:00 0.01 0.32 0.10 0.18 ---- 0.29 0.00 0.69 ----
 -------- 23:00 0.01 0.32 0.08 0.18 ---- 0.19 0.00 0.24 ----
 -------- 00:00 0.01 0.32 0.09 0.18 ---- 0.15 0.00 1.14 ----
 24.03.13 01:00 0.01 0.33 0.10 0.18 ---- 0.13 0.00 0.44 ----
 -------- 02:00 0.01 0.33 0.09 0.16 ---- 0.17 0.00 0.61 ----
 -------- 03:00 0.01 0.36 0.08 0.13 ---- 0.20 0.00 0.51 ----
 -------- 04:00 0.01 0.39 0.07 0.11 ---- 0.31 0.00 1.03 ----
 -------- 05:00 0.01 0.38 0.07 0.11 ---- 0.29 0.00 0.55 ----
 24.03.13 06:00 0.01 0.38 0.06 0.11 ---- 0.29 0.00 0.53 ----
 -------- 07:00 0.01 0.41 0.08 0.11 ---- 0.36 0.00 0.50 ----
 -------- 08:00 0.01 0.39 0.07 0.12 ---- 0.28 0.00 0.18 ----
 -------- 09:00 0.01 0.36 0.08 0.12 ---- 0.31 0.00 ---- ----
 -------- 10:00 0.01 0.36 0.05 0.15 ---- 0.24 0.00 ---- ----
 24.03.13 11:00 0.01 0.35 0.10 0.19 ---- 0.17 0.00 0.79 ----
 -------- 12:00 0.01 0.35 0.07 0.18 ---- 0.24 0.00 ---- ----
 -------- 13:00 0.01 0.35 0.11 0.18 ---- 0.24 0.00 ---- ----
 -------- 14:00 0.01 0.34 0.07 0.16 ---- 0.14 0.00 ---- ----
 -------- 15:00 0.01 0.34 0.07 0.16 ---- 0.22 0.00 ---- ----
 24.03.13 16:00 0.01 0.32 0.08 0.18 ---- 0.32 0.00 ---- ----
 -------- 17:00 0.01 0.31 0.07 0.18 ---- 0.18 0.00 0.33 ----
 -------- 18:00 0.01 0.33 0.08 0.18 ---- 0.18 0.00 0.87 ----
 -------- 19:00 0.01 0.32 0.05 0.18 ---- 0.13 0.00 0.16 ----
 -------- 20:00 0.01 0.28 0.13 0.22 ---- 0.08 0.00 0.01 ----
 24.03.13 21:00 0.01 0.27 0.10 0.22 ---- 0.13 0.00 ---- ----
 -------- 22:00 0.01 0.30 0.17 0.19 ---- 0.20 0.00 ---- ----
