 Date Time SO2 OZ Р¤РѕСЂРјР°Р»СЊРґРµРіРёРґ NO2 РџР°СЂР°РєСЃРёР»РѕР» Р¤РµРЅРѕР» РќР°С„С‚Р°Р»РёРЅ РњРµС‚Р°РєСЃРёР»РѕР»
 27.03.13 00:00 0.01 0.17 0.12 0.47 0.01 0.09 0.00 ----
 -------- 01:00 0.01 0.17 0.13 0.45 0.01 0.08 0.00 ----
 -------- 02:00 0.01 0.14 0.15 0.49 0.02 0.09 0.00 ----
 -------- 03:00 0.01 0.14 0.20 0.46 0.01 0.08 0.00 ----
 -------- 04:00 0.01 0.11 0.14 0.46 0.02 0.08 0.00 ----
 27.03.13 05:00 0.01 0.11 0.12 0.50 0.00 0.07 0.00 ----
 -------- 06:00 0.01 0.12 0.15 0.50 0.01 0.08 0.00 0.00
 -------- 07:00 0.01 0.12 0.18 0.49 ---- 0.07 0.00 ----
 -------- 08:00 0.01 0.14 0.16 0.48 0.01 0.07 0.00 ----
 -------- 09:00 0.01 0.19 0.19 0.41 ---- 0.12 0.00 ----
 27.03.13 10:00 0.01 0.24 0.20 0.38 0.02 0.07 0.00 ----
 -------- 11:00 0.01 0.28 0.11 0.31 0.01 0.13 0.00 ----
 -------- 12:00 0.01 0.33 0.05 0.22 0.04 0.29 0.00 ----
 -------- 13:00 0.01 0.33 0.14 0.20 0.04 0.36 0.00 ----
 -------- 14:00 0.01 0.35 0.46 0.17 ---- 0.13 0.00 ----
 27.03.13 15:00 0.01 0.35 0.36 0.19 0.05 0.24 0.00 ----
 -------- 16:00 0.01 0.37 0.28 0.21 0.04 0.37 0.00 ----
 -------- 17:00 0.01 0.35 0.22 0.24 0.05 0.39 0.00 ----
 -------- 18:00 0.01 0.36 0.19 0.22 0.04 0.44 0.00 ----
 -------- 19:00 0.01 0.33 0.18 0.30 0.04 0.42 0.00 ----
 27.03.13 20:00 0.01 0.28 0.18 0.33 0.04 0.22 0.00 ----
 -------- 21:00 0.01 0.20 0.21 0.41 0.01 0.08 0.00 ----
 -------- 22:00 0.01 0.16 0.28 0.51 0.00 0.08 0.00 ----
 -------- 23:00 0.01 0.13 0.21 0.52 0.01 0.08 0.00 ----
 -------- 00:00 0.01 0.16 0.20 0.48 0.01 0.06 0.00 ----
 28.03.13 01:00 0.01 0.17 0.22 0.46 0.01 0.06 0.00 ----
 -------- 02:00 0.01 0.14 0.20 0.51 0.01 0.08 0.00 0.00
 -------- 03:00 0.01 0.12 0.19 0.54 0.00 0.06 0.00 ----
 -------- 04:00 0.01 0.15 0.20 0.47 0.01 0.07 0.00 ----
 -------- 05:00 0.01 0.16 0.21 0.46 ---- 0.07 0.00 ----
 28.03.13 06:00 0.01 0.13 0.16 0.46 ---- 0.06 0.00 ----
 -------- 07:00 0.01 0.14 0.22 0.47 0.00 0.07 0.00 ----
 -------- 08:00 0.01 0.18 0.23 0.42 ---- 0.07 0.00 ----
 -------- 09:00 0.01 0.20 0.32 0.38 ---- 0.06 0.00 ----
 -------- 10:00 0.01 0.24 0.23 0.32 ---- 0.04 0.00 ----
 28.03.13 11:00 0.01 0.27 0.18 0.28 0.03 0.06 0.00 ----
 -------- 12:00 0.01 0.31 0.11 0.22 0.04 0.37 0.00 ----
 -------- 13:00 0.01 0.34 0.31 0.17 0.02 0.24 0.00 ----
 -------- 14:00 0.01 0.35 0.58 0.15 ---- 0.21 0.00 ----
 -------- 15:00 0.01 0.35 0.69 0.15 0.04 0.38 0.00 ----
 28.03.13 16:00 0.01 0.35 0.66 0.17 0.05 0.56 ---- ----
 -------- 17:00 0.01 0.37 0.69 0.16 0.05 0.48 0.00 ----
 -------- 18:00 0.01 0.36 0.64 0.19 0.04 0.46 0.00 ----
 -------- 19:00 0.00 0.30 0.64 0.25 0.04 0.22 0.00 ----
 -------- 20:00 0.01 0.19 0.61 0.41 0.02 0.06 0.00 ----
 28.03.13 21:00 0.01 0.12 0.59 0.50 0.01 0.06 0.00 ----
 -------- 22:00 0.01 0.10 0.58 0.52 0.00 0.07 0.00 ----
 -------- 23:00 0.01 0.13 0.57 0.49 0.01 0.07 0.00 ----
 -------- 00:00 0.01 0.19 0.57 0.43 0.03 0.06 0.00 ----
