 Date Time CO NO2 NO
 23.09.12 07:00 0.06 0.20 0.01
 -------- 08:00 0.07 0.21 0.03
 -------- 09:00 0.09 0.22 0.04
 -------- 10:00 0.09 0.24 0.08
 -------- 11:00 0.10 0.25 0.06
 23.09.12 12:00 0.09 0.24 0.07
 -------- 13:00 0.11 0.23 0.09
 -------- 14:00 0.11 0.22 0.08
 -------- 15:00 0.10 0.19 0.06
 -------- 16:00 0.10 0.18 0.07
 23.09.12 17:00 0.10 0.18 0.06
 -------- 18:00 0.10 0.17 0.07
 -------- 19:00 0.09 0.17 0.03
 -------- 20:00 0.08 0.18 0.06
 -------- 21:00 0.07 0.15 0.01
 23.09.12 22:00 0.06 0.14 0.01
 -------- 23:00 0.06 0.14 0.01
 -------- 00:00 0.06 0.17 0.01
 -------- 01:00 0.05 0.14 0.01
 -------- 02:00 0.04 0.09 0.01
 24.09.12 03:00 0.04 0.09 0.01
 -------- 04:00 0.04 0.09 0.01
 -------- 05:00 0.05 0.09 0.01
 -------- 06:00 0.04 0.08 0.01
 -------- 07:00 0.05 0.13 0.01
 24.09.12 08:00 0.07 0.16 0.02
 -------- 09:00 0.08 0.16 0.04
 -------- 10:00 0.07 0.12 0.02
 -------- 11:00 0.06 0.11 0.02
