 Date Time CO
 -------- 15:00 0.06
 -------- 16:00 0.06
 12.04.13 17:00 0.06
 -------- 18:00 0.04
 -------- 19:00 0.04
 -------- 20:00 0.04
 -------- 21:00 0.02
 12.04.13 22:00 0.02
 -------- 23:00 0.02
 -------- 00:00 0.02
 -------- 01:00 0.02
 -------- 02:00 0.03
 13.04.13 03:00 0.05
 -------- 04:00 0.10
 -------- 05:00 0.15
 -------- 06:00 0.19
 -------- 07:00 0.22
 13.04.13 08:00 0.24
 -------- 09:00 0.24
 -------- 10:00 0.22
 -------- 11:00 0.19
 -------- 12:00 0.16
 13.04.13 13:00 0.13
 -------- 14:00 0.11
 -------- 15:00 0.09
 -------- 16:00 0.08
 -------- 17:00 0.07
 13.04.13 18:00 0.06
 -------- 19:00 0.06
 -------- 20:00 0.05
 -------- 21:00 0.04
 -------- 22:00 0.04
 13.04.13 23:00 0.03
 -------- 00:00 0.06
 -------- 01:00 0.06
 -------- 02:00 0.04
 -------- 03:00 0.04
 14.04.13 04:00 0.04
 -------- 05:00 0.04
 -------- 06:00 0.04
 -------- 07:00 0.04
 -------- 08:00 0.04
 14.04.13 09:00 0.04
 -------- 10:00 0.04
 -------- 11:00 0.04
