 Date Time CO H2S NO2 NO
 16.09.12 14:00 0.08 0.12 0.10 0.05
 -------- 15:00 0.09 ---- 0.11 0.07
 -------- 16:00 0.11 ---- 0.13 0.08
 -------- 17:00 0.11 ---- 0.14 0.08
 -------- 18:00 0.09 ---- 0.13 0.06
 16.09.12 19:00 0.09 0.50 0.13 0.06
 -------- 20:00 0.08 0.50 0.16 0.07
 -------- 21:00 0.11 0.31 0.17 0.10
 -------- 22:00 0.15 ---- 0.18 0.15
 -------- 23:00 0.13 0.19 0.18 0.13
 17.09.12 00:00 0.17 0.17 0.18 0.18
 -------- 01:00 0.26 0.19 0.18 0.29
 -------- 02:00 0.24 0.12 0.17 0.28
 -------- 03:00 0.26 0.25 0.17 0.37
 -------- 04:00 0.25 0.33 0.17 0.40
 17.09.12 05:00 0.23 0.38 0.17 0.37
 -------- 06:00 0.47 0.62 0.21 0.75
 -------- 07:00 0.33 0.46 0.17 0.45
 -------- 08:00 0.24 0.33 0.16 0.31
 -------- 09:00 0.22 0.25 0.17 0.26
 17.09.12 10:00 0.21 0.17 0.20 0.24
 -------- 11:00 0.21 0.12 0.21 0.22
 -------- 12:00 0.15 ---- 0.20 0.15
 -------- 13:00 0.12 0.12 0.18 0.10
 -------- 14:00 0.11 0.12 0.18 0.09
 17.09.12 15:00 0.11 0.21 0.17 0.08
 -------- 16:00 0.11 0.12 0.18 0.08
 -------- 17:00 0.11 0.21 0.20 0.08
 -------- 18:00 0.16 0.21 0.21 0.09
 -------- 19:00 0.15 0.12 0.21 0.12
 17.09.12 20:00 0.47 ---- 0.25 0.41
 -------- 21:00 1.04 1.25 0.35 1.19
 -------- 22:00 1.56 1.67 0.41 1.76
 -------- 23:00 1.73 1.46 0.43 1.97
 -------- 00:00 1.87 1.42 0.42 2.15
 18.09.12 01:00 1.40 1.04 0.44 2.35
 -------- 02:00 1.51 0.67 0.39 1.97
 -------- 03:00 0.75 0.33 0.27 1.01
 -------- 04:00 0.34 0.33 0.21 0.46
 -------- 05:00 0.25 0.21 0.20 0.32
 18.09.12 06:00 0.28 0.33 0.21 0.41
 -------- 07:00 0.34 0.29 0.23 0.49
 -------- 08:00 0.35 0.29 0.23 0.49
 -------- 09:00 0.43 0.25 0.27 0.67
 -------- 10:00 0.41 0.21 0.28 0.59
 18.09.12 11:00 0.32 0.25 0.28 0.43
