 Date Time CO CHX
 -------- 1.50 13:00 0.19
 -------- 1.46 14:00 0.20
 -------- 1.47 15:00 0.17
 -------- 1.46 16:00 0.17
 22.10.12 17:00 <b>22.10.1217:00</b> 0.19
 -------- 1.47 18:00 0.15
 -------- 1.44 19:00 0.14
 -------- 1.45 20:00 0.11
 -------- 1.45 21:00 0.15
 22.10.12 22:00 <b>22.10.1222:00</b> 0.16
 -------- 1.46 23:00 0.13
 -------- 1.45 00:00 0.13
 -------- 1.45 01:00 0.09
 -------- 1.42 02:00 0.05
 23.10.12 03:00 <b>23.10.1203:00</b> 0.07
 -------- 1.42 04:00 0.07
 -------- 1.43 05:00 0.05
 -------- 1.40 06:00 0.07
 -------- 1.40 07:00 0.12
 23.10.12 08:00 <b>23.10.1208:00</b> 0.19
 -------- 1.47 09:00 0.20
 -------- 1.49 10:00 0.23
 -------- 1.55 11:00 0.19
 -------- 1.55 12:00 0.15
 23.10.12 13:00 <b>23.10.1213:00</b> 0.16
 -------- 1.53 14:00 0.13
 -------- 1.50 15:00 0.12
 -------- 1.50 16:00 0.17
 -------- 1.53 17:00 0.19
 23.10.12 18:00 <b>23.10.1218:00</b> 0.11
 -------- 1.50 19:00 0.10
 -------- 1.47 20:00 0.07
 -------- 1.42 21:00 0.11
 -------- 1.45 22:00 0.10
 23.10.12 23:00 <b>23.10.1223:00</b> 0.07
 -------- 1.40 00:00 0.06
 -------- 1.39 01:00 0.05
 -------- 1.39 02:00 0.09
 -------- 1.51 03:00 0.13
 24.10.12 04:00 <b>24.10.1204:00</b> 0.10
 -------- 1.60 05:00 0.11
 -------- 1.63 06:00 0.11
 -------- 1.65 07:00 0.14
 -------- 1.65 08:00 0.17
 24.10.12 09:00 <b>24.10.1209:00</b> 0.18
 -------- 1.65 10:00 0.17
 -------- 1.62 11:00 0.20
