 Date Time CO SO2 H2S NO2 CHX NO
 06.01.13 00:00 0.02 0.00 0.12 0.15 1.60 0.30
 -------- 01:00 0.02 0.00 0.17 0.15 1.60 0.25
 -------- 02:00 0.02 0.00 0.21 0.14 1.58 0.23
 -------- 03:00 ---- 0.00 0.21 0.14 1.56 0.23
 -------- 04:00 ---- 0.00 0.21 0.14 1.58 0.17
 06.01.13 05:00 ---- 0.00 0.12 0.12 1.51 0.14
 -------- 06:00 ---- 0.00 0.17 0.12 1.50 0.14
 -------- 07:00 ---- 0.00 0.12 0.13 1.57 0.24
 -------- 08:00 ---- 0.00 0.17 0.13 1.60 0.23
 -------- 09:00 ---- 0.00 0.12 0.12 1.58 0.16
 06.01.13 10:00 0.02 0.00 0.12 0.12 1.58 0.19
 -------- 11:00 0.02 0.00 0.12 0.12 1.58 0.23
 -------- 12:00 0.02 0.00 0.12 0.12 1.57 0.20
 -------- 13:00 0.02 0.00 0.12 0.12 1.57 0.19
 -------- 14:00 0.03 0.00 0.12 0.14 1.66 0.26
 06.01.13 15:00 0.03 0.00 0.17 0.15 1.76 0.27
 -------- 16:00 0.05 0.00 0.17 0.15 1.81 0.26
 -------- 17:00 0.03 0.00 0.25 0.14 1.69 0.21
 -------- 18:00 0.03 0.00 0.17 0.14 1.59 0.20
 -------- 19:00 0.02 0.00 0.17 0.14 1.62 0.20
 06.01.13 20:00 0.03 0.00 0.17 0.13 1.61 0.21
 -------- 21:00 0.02 0.00 0.17 0.13 1.55 0.21
 -------- 22:00 ---- 0.00 0.17 0.12 1.53 0.18
 -------- 23:00 ---- 0.00 0.17 0.13 1.50 0.19
 -------- 00:00 ---- 0.00 0.12 0.11 1.54 0.13
 07.01.13 01:00 ---- 0.00 0.25 0.11 1.47 0.14
 -------- 02:00 ---- 0.00 0.25 0.10 1.45 0.12
 -------- 03:00 ---- 0.00 0.25 0.11 1.46 0.12
 -------- 04:00 ---- 0.00 0.17 0.09 1.44 0.07
 -------- 05:00 ---- 0.00 0.12 0.10 1.44 0.08
 07.01.13 06:00 ---- 0.00 0.21 0.12 1.54 0.12
 -------- 07:00 ---- 0.00 0.25 0.11 1.49 0.11
 -------- 08:00 ---- 0.00 0.25 0.12 1.49 0.13
 -------- 09:00 ---- 0.00 0.17 0.12 1.49 0.12
 -------- 10:00 ---- 0.00 0.12 0.13 1.50 0.16
 07.01.13 11:00 0.02 0.00 0.21 0.13 1.49 0.16
 -------- 12:00 0.02 0.00 0.12 0.12 1.54 0.16
 -------- 13:00 0.02 0.00 0.17 0.14 1.62 0.22
 -------- 14:00 0.03 0.00 0.21 0.13 1.66 0.20
 -------- 15:00 0.05 0.00 0.25 0.13 1.74 0.26
 07.01.13 16:00 0.05 0.00 0.25 0.13 1.77 0.25
 -------- 17:00 0.05 0.00 0.25 0.13 1.73 0.20
 -------- 18:00 0.03 0.00 0.25 0.12 1.73 0.19
 -------- 19:00 0.05 0.00 0.21 0.12 1.71 0.22
 -------- 20:00 0.03 0.00 0.25 0.12 1.66 0.18
 07.01.13 21:00 0.04 0.00 0.25 0.12 1.61 0.19
 -------- 22:00 0.03 0.00 0.25 0.13 1.60 0.23
 -------- 23:00 0.03 0.00 0.25 0.12 1.54 0.18
