 Date Time CO NO2 CHX NO PM2.5
 06.03.13 00:00 0.19 0.14 1.67 0.18 ----
 -------- 01:00 0.11 0.13 1.59 0.10 ----
 -------- 02:00 0.08 0.13 1.54 0.10 ----
 -------- 03:00 0.05 0.13 1.51 0.10 ----
 -------- 04:00 0.06 0.13 1.54 0.08 ----
 06.03.13 05:00 0.07 0.12 1.66 0.11 ----
 -------- 06:00 0.11 0.13 1.75 0.16 ----
 -------- 07:00 0.13 0.13 1.75 0.14 ----
 -------- 08:00 0.17 0.13 1.74 0.15 ----
 -------- 09:00 0.18 0.13 1.76 0.14 ----
 06.03.13 10:00 0.20 0.13 1.82 0.16 ----
 -------- 11:00 0.17 0.13 1.76 0.15 ----
 -------- 12:00 0.17 0.14 1.72 0.14 ----
 -------- 13:00 0.17 0.13 1.70 0.13 ----
 -------- 14:00 0.07 0.10 1.53 0.06 ----
 06.03.13 15:00 0.05 0.09 1.53 0.05 ----
 -------- 16:00 0.06 0.08 1.47 0.05 ----
 -------- 17:00 0.08 0.09 1.48 0.04 ----
 -------- 18:00 0.09 0.10 1.48 0.03 ----
 -------- 19:00 0.11 0.10 1.50 0.03 ----
 06.03.13 20:00 0.12 0.09 1.51 0.03 ----
 -------- 21:00 0.13 0.09 1.50 0.03 ----
 -------- 22:00 0.11 0.10 1.44 0.03 ----
 -------- 23:00 0.10 0.09 1.44 0.03 ----
 -------- 00:00 0.10 0.07 1.43 0.03 ----
 07.03.13 01:00 0.10 0.04 1.40 0.02 ----
 -------- 02:00 0.08 0.04 1.40 0.02 ----
 -------- 03:00 0.02 0.04 1.40 0.02 ----
 -------- 04:00 0.02 0.04 1.40 0.02 ----
 -------- 05:00 0.02 0.03 1.40 0.02 ----
 07.03.13 06:00 0.03 0.05 1.41 0.02 ----
 -------- 07:00 0.06 0.07 1.43 0.03 ----
 -------- 08:00 0.08 0.08 1.45 0.03 ----
 -------- 09:00 0.09 0.10 1.48 0.05 ----
 -------- 10:00 0.10 0.09 1.47 0.06 ----
 07.03.13 11:00 0.10 0.09 1.47 0.07 ----
 -------- 12:00 0.10 0.08 1.48 0.07 ----
 -------- 13:00 0.11 0.08 1.49 0.08 ----
 -------- 14:00 0.11 0.09 1.48 0.08 ----
 -------- 15:00 0.16 0.09 1.54 0.06 ----
 07.03.13 16:00 0.14 0.08 1.57 0.06 ----
 -------- 17:00 0.13 0.07 1.52 0.05 ----
 -------- 18:00 0.06 0.06 1.44 0.03 ----
 -------- 19:00 0.09 0.06 1.50 0.05 ----
 -------- 20:00 0.13 0.09 1.52 0.06 ----
 07.03.13 21:00 0.13 0.10 1.51 0.09 ----
 -------- 22:00 0.19 0.12 1.57 0.14 ----
 -------- 23:00 0.17 0.12 1.56 0.14 ----
