 Date Time CO OZ NO2 CHX NO
 10.11.12 12:00 0.03 0.05 0.24 1.66 0.05
 -------- 13:00 0.03 0.09 0.21 1.64 0.04
 -------- 14:00 0.02 0.12 0.20 1.62 0.03
 -------- 15:00 0.02 0.15 0.18 1.59 0.02
 -------- 16:00 0.03 0.12 0.21 1.61 0.02
 10.11.12 17:00 0.04 0.06 0.26 1.64 0.02
 -------- 18:00 0.07 0.02 0.32 1.71 0.06
 -------- 19:00 0.07 0.01 0.32 1.70 0.05
 -------- 20:00 0.08 ---- 0.32 1.70 0.06
 -------- 21:00 0.09 ---- 0.33 1.76 0.09
 10.11.12 22:00 0.11 ---- 0.35 2.11 0.17
 -------- 23:00 0.09 ---- 0.34 2.04 0.14
 -------- 00:00 0.09 ---- 0.32 1.76 0.10
 -------- 01:00 0.16 ---- 0.32 1.97 0.24
 -------- 02:00 0.25 ---- 0.35 2.41 0.50
 11.11.12 03:00 0.33 ---- 0.38 2.72 0.68
 -------- 04:00 0.31 ---- 0.37 2.66 0.66
 -------- 05:00 0.24 ---- 0.33 2.48 0.47
 -------- 06:00 0.20 ---- 0.30 2.29 0.36
 -------- 07:00 0.09 ---- 0.29 1.81 0.13
 11.11.12 08:00 0.09 ---- 0.27 1.72 0.08
 -------- 09:00 0.17 ---- 0.29 1.93 0.21
 -------- 10:00 0.16 0.01 0.28 1.90 0.22
 -------- 11:00 0.11 0.02 0.25 1.76 0.14
 -------- 12:00 0.11 0.03 0.24 1.73 0.10
 11.11.12 13:00 0.09 0.05 0.21 1.69 0.08
 -------- 14:00 0.08 0.06 0.20 1.66 0.07
 -------- 15:00 0.07 0.06 0.19 1.64 0.05
 -------- 16:00 0.09 0.04 0.21 1.65 0.06
 -------- 17:00 0.09 0.02 0.23 1.66 0.06
 11.11.12 18:00 0.10 ---- 0.24 1.69 0.08
 -------- 19:00 0.07 ---- 0.23 1.67 0.06
 -------- 20:00 0.04 0.01 0.22 1.65 0.04
 -------- 21:00 0.05 0.01 0.20 1.65 0.04
 -------- 22:00 0.04 0.04 0.18 1.62 0.03
 11.11.12 23:00 0.05 0.04 0.17 1.62 0.03
 -------- 00:00 0.02 0.07 0.15 1.61 0.02
 -------- 01:00 0.02 0.08 0.14 1.59 0.01
 -------- 02:00 0.02 0.08 0.14 1.59 0.01
 -------- 03:00 ---- 0.10 0.11 1.58 0.00
 12.11.12 04:00 ---- 0.10 0.10 1.57 0.01
 -------- 05:00 ---- 0.08 0.13 1.59 0.01
 -------- 06:00 0.03 0.03 0.17 1.60 0.02
 -------- 07:00 0.06 0.01 0.19 1.60 0.04
 -------- 08:00 0.09 0.01 0.20 1.62 0.05
 12.11.12 09:00 0.10 ---- 0.20 1.62 0.07
 -------- 10:00 0.09 ---- 0.19 1.62 0.06
 -------- 11:00 0.08 0.01 0.20 1.61 0.06
