 Date Time CO H2S OZ NO2 CHX NO
 15.11.12 00:00 0.02 0.21 0.11 0.12 1.51 0.00
 -------- 01:00 0.02 0.12 0.11 0.12 1.50 0.00
 -------- 02:00 ---- 0.12 0.13 0.10 1.51 0.00
 -------- 03:00 ---- 0.12 0.14 0.09 1.51 0.00
 -------- 04:00 ---- 0.12 0.14 0.09 1.51 0.00
 15.11.12 05:00 0.02 0.12 0.12 0.10 1.51 0.00
 -------- 06:00 0.02 0.17 0.08 0.12 1.52 0.00
 -------- 07:00 0.06 0.21 0.04 0.16 1.54 0.01
 -------- 08:00 0.08 0.25 0.02 0.17 1.56 0.01
 -------- 09:00 0.08 0.25 0.01 0.17 1.56 0.01
 15.11.12 10:00 0.09 0.25 0.01 0.18 1.56 0.02
 -------- 11:00 0.08 0.25 0.01 0.17 1.56 0.02
 -------- 12:00 0.08 0.25 0.01 0.17 1.56 0.02
 -------- 13:00 0.07 0.12 0.01 0.16 1.57 0.02
 -------- 14:00 0.04 0.12 0.03 0.15 1.54 0.02
 15.11.12 15:00 0.03 0.12 0.04 0.15 1.53 0.02
 -------- 16:00 0.02 0.17 0.04 0.15 1.53 0.01
 -------- 17:00 0.03 0.25 0.04 0.18 1.54 0.01
 -------- 18:00 0.02 0.25 0.08 0.16 1.54 0.01
 -------- 19:00 0.04 0.25 0.07 0.17 1.52 0.01
 15.11.12 20:00 0.04 0.29 0.10 0.14 1.51 0.01
 -------- 21:00 0.04 0.25 0.12 0.13 1.54 0.01
 -------- 22:00 0.04 0.29 0.13 0.13 1.51 0.00
 -------- 23:00 0.04 0.29 0.15 0.12 1.50 0.00
 -------- 00:00 0.04 0.38 0.16 0.09 1.50 0.00
 16.11.12 01:00 0.04 0.33 0.18 0.07 1.50 0.00
 -------- 02:00 0.05 0.29 0.20 0.06 1.49 0.00
 -------- 03:00 0.06 0.38 0.20 0.06 1.50 0.00
 -------- 04:00 0.06 0.42 0.19 0.09 1.52 0.00
 -------- 05:00 0.06 0.25 0.22 0.11 1.48 0.00
 16.11.12 06:00 0.06 0.25 0.21 0.13 1.49 0.00
 -------- 07:00 0.03 0.29 0.19 0.16 1.50 0.01
 -------- 08:00 0.02 0.25 0.18 0.17 1.54 0.01
 -------- 09:00 0.02 0.29 0.16 0.20 1.54 0.02
 -------- 10:00 0.03 0.50 0.11 0.23 1.57 0.03
 16.11.12 11:00 0.03 0.46 0.09 0.24 1.58 0.03
 -------- 12:00 0.02 0.29 0.12 0.18 1.54 0.02
 -------- 13:00 0.02 0.25 0.14 0.19 1.53 0.03
 -------- 14:00 0.03 0.25 0.11 0.20 1.54 0.04
 -------- 15:00 0.03 0.29 0.13 0.21 1.54 0.04
 16.11.12 16:00 0.03 0.25 0.17 0.18 1.53 0.02
 -------- 17:00 0.04 0.25 0.14 0.19 1.54 0.01
 -------- 18:00 0.04 0.33 0.11 0.21 1.58 0.01
 -------- 19:00 0.05 0.33 0.11 0.20 1.57 0.01
 -------- 20:00 0.06 0.50 0.10 0.21 1.62 0.01
 16.11.12 21:00 0.06 0.50 0.07 0.23 1.62 0.01
 -------- 22:00 0.05 0.46 0.06 0.23 1.62 0.01
 -------- 23:00 0.04 0.38 0.07 0.21 1.61 0.01
