 Date Time CO H2S OZ NO2 CHX NO PM10
 29.11.12 12:00 0.04 ---- 0.11 0.17 1.71 0.04 ----
 -------- 13:00 0.04 ---- 0.12 0.17 1.71 0.05 ----
 -------- 14:00 0.04 ---- 0.14 0.16 1.65 0.04 ----
 -------- 15:00 0.04 0.25 0.11 0.17 1.66 0.03 ----
 -------- 16:00 0.04 0.44 0.09 0.19 1.69 0.03 ----
 29.11.12 17:00 0.04 0.50 0.07 0.20 1.76 0.03 ----
 -------- 18:00 0.04 0.25 0.07 0.19 1.72 0.02 ----
 -------- 19:00 0.03 0.33 0.08 0.19 1.68 0.03 ----
 -------- 20:00 0.03 0.17 0.08 0.19 1.68 0.03 ----
 -------- 21:00 0.02 0.33 0.07 0.18 1.67 0.03 ----
 29.11.12 22:00 0.02 0.54 0.07 0.18 1.66 0.04 ----
 -------- 23:00 0.02 0.46 0.07 0.17 1.65 0.03 ----
 -------- 00:00 0.03 0.46 0.07 0.18 1.64 0.04 ----
 -------- 01:00 0.02 0.54 0.09 0.15 1.64 0.02 ----
 -------- 02:00 0.02 0.54 0.07 0.17 1.65 0.03 ----
 30.11.12 03:00 0.02 0.33 0.07 0.15 1.66 0.02 ----
 -------- 04:00 0.02 0.25 0.09 0.12 1.66 0.01 ----
 -------- 05:00 0.02 0.21 0.08 0.13 1.65 0.01 ----
 -------- 06:00 0.02 0.38 0.08 0.14 1.63 0.02 ----
 -------- 07:00 0.03 0.42 0.07 0.15 1.65 0.02 ----
 30.11.12 08:00 0.05 0.42 0.06 0.15 1.65 0.03 ----
 -------- 09:00 0.06 0.44 0.05 0.15 1.67 0.03 ----
 -------- 10:00 0.06 ---- ---- ---- 1.88 ---- ----
 -------- 11:00 0.07 0.71 0.04 0.15 1.84 0.05 ----
 -------- 12:00 0.06 0.67 0.03 0.14 1.77 0.09 ----
 30.11.12 13:00 0.07 0.46 0.02 0.13 1.73 0.10 ----
 -------- 14:00 0.08 0.75 0.01 0.13 1.77 0.12 ----
 -------- 15:00 0.08 1.04 0.01 0.13 1.76 0.11 ----
 -------- 16:00 0.10 0.62 ---- 0.09 1.78 0.19 ----
 -------- 17:00 0.11 0.62 ---- 0.06 1.74 0.25 ----
 30.11.12 18:00 0.09 0.62 ---- 0.11 1.64 0.12 ----
 -------- 19:00 0.08 0.54 ---- 0.10 1.69 0.11 ----
 -------- 20:00 0.09 0.50 ---- 0.09 1.80 0.17 ----
 -------- 21:00 0.13 0.54 ---- 0.09 1.77 0.23 ----
 -------- 22:00 0.13 0.54 ---- 0.11 1.72 0.20 ----
 30.11.12 23:00 0.14 0.62 ---- 0.11 1.76 0.23 ----
 -------- 00:00 0.11 0.33 ---- 0.15 1.72 0.19 ----
 -------- 01:00 0.08 0.21 ---- 0.22 1.66 0.10 ----
 -------- 02:00 0.13 0.17 0.01 0.21 1.72 0.14 ----
 -------- 03:00 0.19 0.21 ---- 0.15 1.81 0.29 ----
 01.12.12 04:00 0.13 0.25 ---- 0.19 1.78 0.19 ----
 -------- 05:00 0.04 0.21 0.01 0.23 1.60 0.04 ----
 -------- 06:00 0.03 0.25 0.09 0.16 1.55 0.01 ----
 -------- 07:00 0.06 0.25 0.07 0.14 1.55 0.01 ----
 -------- 08:00 0.08 0.25 0.04 0.14 1.56 0.02 ----
 01.12.12 09:00 0.11 0.25 0.01 0.14 1.58 0.05 ----
 -------- 10:00 0.10 0.25 0.01 0.13 1.59 0.07 ----
 -------- 11:00 0.13 0.25 0.01 0.10 1.62 0.12 ----
