 Date Time CO OZ NO2 CHX NO PM10
 08.02.13 12:00 0.04 0.25 0.11 1.59 0.04 0.04
 -------- 13:00 0.05 0.24 0.10 1.59 0.03 0.04
 -------- 14:00 0.05 0.26 0.09 1.60 0.03 0.04
 -------- 15:00 0.06 0.22 0.12 1.60 0.04 0.04
 -------- 16:00 0.06 0.18 0.14 1.60 0.05 0.03
 08.02.13 17:00 0.06 0.16 0.16 1.61 0.05 0.03
 -------- 18:00 0.07 0.14 0.18 1.61 0.04 0.03
 -------- 19:00 0.09 0.13 0.19 1.61 0.05 0.03
 -------- 20:00 0.09 0.17 0.16 1.59 0.03 0.03
 -------- 21:00 0.08 0.26 0.11 1.58 0.03 0.02
 08.02.13 22:00 0.08 0.32 0.08 1.57 0.02 0.03
 -------- 23:00 0.08 0.33 0.09 1.58 0.03 0.03
 -------- 00:00 0.08 0.36 0.06 1.58 0.02 0.03
 -------- 01:00 0.11 0.20 0.15 1.61 0.04 0.03
 -------- 02:00 0.08 0.34 0.07 1.58 0.02 0.03
 09.02.13 03:00 0.06 0.37 0.05 1.57 0.01 0.03
 -------- 04:00 0.07 0.35 0.07 1.58 0.02 0.03
 -------- 05:00 0.07 0.38 0.06 1.58 0.02 0.03
 -------- 06:00 0.08 0.39 0.05 1.58 0.02 0.03
 -------- 07:00 0.05 0.38 0.06 1.59 0.02 0.03
 09.02.13 08:00 0.05 0.36 0.07 1.63 0.02 0.03
 -------- 09:00 0.04 0.36 0.06 1.58 0.02 0.04
 -------- 10:00 0.04 0.35 0.06 1.56 0.03 0.04
 -------- 11:00 0.05 0.36 0.07 1.57 0.02 0.04
 -------- 12:00 0.05 0.32 0.09 1.58 0.03 0.04
 09.02.13 13:00 0.06 0.31 0.10 1.59 0.03 0.03
 -------- 14:00 0.06 0.28 0.12 1.59 0.04 0.04
 -------- 15:00 0.06 0.28 0.15 1.61 0.04 0.05
 -------- 16:00 0.07 0.34 0.12 1.60 0.03 0.06
 -------- 17:00 0.06 0.36 0.12 1.58 0.03 0.06
 09.02.13 18:00 0.06 0.38 0.12 1.58 0.03 0.05
 -------- 19:00 0.06 0.33 0.13 1.59 0.04 0.05
 -------- 20:00 0.04 0.37 0.12 1.58 0.03 0.05
 -------- 21:00 0.04 0.39 0.09 1.59 0.03 0.04
 -------- 22:00 0.04 0.40 0.07 1.58 0.02 0.04
 09.02.13 23:00 0.04 0.35 0.09 1.59 0.03 0.04
 -------- 00:00 0.03 0.41 0.06 1.56 0.02 0.04
 -------- 01:00 0.02 0.45 0.03 1.55 0.02 0.05
 -------- 02:00 0.02 0.44 0.03 1.55 0.02 0.04
 -------- 03:00 0.03 0.43 0.03 1.57 0.02 0.03
 10.02.13 04:00 0.02 0.43 0.02 1.55 0.02 0.02
 -------- 05:00 0.02 0.41 0.02 1.55 0.02 0.02
 -------- 06:00 0.02 0.38 0.03 1.54 0.02 0.02
 -------- 07:00 0.03 0.35 0.05 1.55 0.02 0.01
 -------- 08:00 0.03 0.32 0.05 1.56 0.02 0.02
 10.02.13 09:00 0.03 0.31 0.06 1.57 0.04 0.02
 -------- 10:00 0.04 0.28 0.08 1.57 0.03 0.02
 -------- 11:00 0.03 0.29 0.07 1.57 0.03 0.02
