 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Стирол
 18.09.12 12:00 0.46 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 17:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.60 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.46 ---- ---- ---- ---- ---- ---- ---- ----
 18.09.12 22:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.52 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.53 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.49 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.56 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 03:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 08:00 0.45 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.40 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 13:00 0.33 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 18:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 19.09.12 23:00 0.51 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.47 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.37 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 20.09.12 04:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.15 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 20.09.12 09:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.44 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.43 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.38 ---- ---- ---- ---- ---- ---- ---- ----
