 Date Time CO SO2 OZ Формальдегид NO2 Параксилол Фенол Нафталин Метаксилол
 24.01.13 12:00 0.32 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 13:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.30 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.26 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 17:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 18:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 24.01.13 22:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 23:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.16 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 03:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 04:00 0.10 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.09 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 08:00 0.22 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 09:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.20 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 12:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 13:00 0.18 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 14:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 15:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 16:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 17:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 18:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 19:00 0.21 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 20:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 21:00 0.23 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 22:00 0.31 ---- ---- ---- ---- ---- ---- ---- ----
 25.01.13 23:00 0.35 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 00:00 0.34 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 01:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 02:00 0.24 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 03:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 04:00 0.17 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 05:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 06:00 0.13 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 07:00 0.14 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 08:00 0.19 ---- ---- ---- ---- ---- ---- ---- ----
 26.01.13 09:00 0.25 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 10:00 0.28 ---- ---- ---- ---- ---- ---- ---- ----
 -------- 11:00 0.27 ---- ---- ---- ---- ---- ---- ---- ----
