 Date Time CO OZ NO2 NO PM10 PM2.5
 28.01.13 00:00 0.02 0.13 0.29 0.00 0.02 ----
 -------- 01:00 0.02 0.10 0.32 0.01 0.03 ----
 -------- 02:00 ---- 0.14 0.29 0.02 0.03 ----
 -------- 03:00 ---- 0.15 0.26 0.01 0.03 ----
 -------- 04:00 0.02 0.22 0.20 0.00 0.02 ----
 28.01.13 05:00 ---- 0.26 0.15 0.00 0.02 ----
 -------- 06:00 0.02 0.18 0.27 0.01 0.03 ----
 -------- 07:00 0.03 0.02 0.44 0.05 0.04 ----
 -------- 08:00 0.06 0.01 0.47 0.13 0.05 ----
 -------- 09:00 0.09 0.01 0.49 0.19 0.06 ----
 28.01.13 10:00 0.09 0.02 0.47 0.16 0.06 ----
 -------- 11:00 0.08 0.03 0.46 0.15 0.05 ----
 -------- 12:00 0.06 0.04 0.46 0.15 0.06 ----
 -------- 13:00 0.04 0.13 0.32 0.05 0.05 ----
 -------- 14:00 0.04 0.10 0.35 0.06 0.05 ----
 28.01.13 15:00 0.04 0.11 0.35 0.06 0.05 ----
 -------- 16:00 0.04 0.06 0.39 0.07 0.06 ----
 -------- 17:00 0.03 0.11 0.32 0.02 0.05 ----
 -------- 18:00 0.04 0.10 0.33 0.01 0.05 ----
 -------- 19:00 0.03 0.09 0.33 0.01 0.05 ----
 28.01.13 20:00 0.02 0.08 0.34 0.01 0.05 ----
 -------- 21:00 0.02 0.07 0.35 0.01 0.05 ----
 -------- 22:00 0.02 0.08 0.33 0.01 0.05 ----
 -------- 23:00 0.02 0.08 0.32 0.01 0.06 ----
 -------- 00:00 0.03 0.09 0.32 0.01 0.06 ----
 29.01.13 01:00 0.03 0.07 0.34 0.02 0.06 ----
 -------- 02:00 0.02 0.12 0.28 0.01 0.06 ----
 -------- 03:00 0.02 0.13 0.26 0.01 0.05 ----
 -------- 04:00 0.02 0.14 0.25 0.00 0.05 ----
 -------- 05:00 0.02 0.16 0.22 0.00 0.04 ----
 29.01.13 06:00 0.02 0.11 0.30 0.02 0.04 ----
 -------- 07:00 0.02 0.04 0.36 0.02 0.04 ----
 -------- 08:00 0.05 0.01 0.42 0.07 0.05 ----
 -------- 09:00 0.08 0.01 0.44 0.16 0.06 ----
 -------- 10:00 0.06 0.01 0.43 0.14 0.07 ----
 29.01.13 11:00 0.04 0.03 0.41 0.13 0.08 ----
 -------- 12:00 0.04 0.06 0.37 0.11 0.21 ----
 -------- 13:00 0.02 0.09 0.30 0.06 0.21 ----
 -------- 14:00 ---- 0.08 0.31 0.07 0.14 ----
 -------- 15:00 0.02 0.07 0.34 0.08 0.12 ----
 29.01.13 16:00 0.02 0.07 0.33 0.07 0.12 ----
 -------- 17:00 0.03 0.04 0.39 0.09 0.11 ----
 -------- 18:00 0.04 0.02 0.41 0.08 0.11 ----
 -------- 19:00 0.02 0.03 0.36 0.03 0.05 ----
 -------- 20:00 0.02 0.06 0.33 0.02 0.07 ----
 29.01.13 21:00 0.02 0.06 0.34 0.02 0.06 ----
 -------- 22:00 0.02 0.04 0.36 0.02 0.06 ----
 -------- 23:00 0.02 0.06 0.32 0.01 0.05 ----
