 Date Time CO OZ NO2 CHX NO
 15.10.12 00:00 0.08 0.01 0.16 1.52 0.01
 -------- 01:00 0.08 0.01 0.15 1.51 0.01
 -------- 02:00 0.07 0.01 0.14 1.51 0.01
 -------- 03:00 0.07 0.02 0.13 1.53 0.00
 -------- 04:00 0.08 0.03 0.14 1.72 0.04
 15.10.12 05:00 0.08 0.01 0.15 1.74 0.03
 -------- 06:00 0.13 ---- 0.18 1.65 0.14
 -------- 07:00 0.16 ---- 0.20 1.61 0.20
 -------- 08:00 0.24 ---- 0.21 1.69 0.26
 -------- 09:00 0.28 ---- 0.22 1.73 0.23
 15.10.12 10:00 0.24 ---- 0.25 1.76 0.23
 -------- 11:00 0.14 0.02 0.23 1.59 0.12
 -------- 12:00 0.09 0.05 0.21 1.51 0.05
 -------- 13:00 0.07 0.16 0.15 1.46 0.02
 -------- 14:00 0.06 0.19 0.12 1.45 0.01
 15.10.12 15:00 0.07 0.14 0.13 1.46 0.01
 -------- 16:00 0.08 0.12 0.17 1.46 0.01
 -------- 17:00 0.08 0.11 0.20 1.46 0.01
 -------- 18:00 0.08 0.18 0.16 1.45 0.01
 -------- 19:00 0.10 0.12 0.21 1.47 0.00
 15.10.12 20:00 0.08 0.12 0.18 1.47 0.00
 -------- 21:00 0.09 0.11 0.15 1.47 0.01
 -------- 22:00 0.08 0.12 0.13 1.46 0.01
 -------- 23:00 0.06 0.10 0.12 1.44 0.00
 -------- 00:00 0.05 0.12 0.12 1.44 ----
 16.10.12 01:00 0.04 0.15 0.07 1.46 ----
 -------- 02:00 0.04 0.10 0.10 1.42 ----
 -------- 03:00 0.04 0.09 0.08 1.41 ----
 -------- 04:00 0.04 0.09 0.07 1.42 ----
 -------- 05:00 0.04 0.05 0.10 1.42 ----
 16.10.12 06:00 0.06 0.02 0.13 1.43 0.00
 -------- 07:00 0.07 0.01 0.14 1.47 0.02
 -------- 08:00 0.08 ---- 0.14 1.47 0.03
 -------- 09:00 0.08 ---- 0.15 1.47 0.04
 -------- 10:00 0.10 ---- 0.15 1.49 0.05
 16.10.12 11:00 0.10 0.01 0.16 1.50 0.06
 -------- 12:00 0.10 0.01 0.15 1.49 0.06
 -------- 13:00 0.10 0.01 0.15 1.50 0.06
 -------- 14:00 0.09 0.01 0.14 1.53 0.05
 -------- 15:00 0.10 0.01 0.14 1.52 0.05
 16.10.12 16:00 0.10 0.01 0.15 1.55 0.05
 -------- 17:00 0.09 0.01 0.15 1.50 0.04
 -------- 18:00 0.11 0.01 0.15 1.52 0.05
 -------- 19:00 0.11 ---- 0.15 1.52 0.06
 -------- 20:00 0.10 ---- 0.15 1.50 0.05
 16.10.12 21:00 0.11 ---- 0.14 1.50 0.07
 -------- 22:00 0.11 ---- 0.13 1.51 0.09
 -------- 23:00 0.12 ---- 0.12 1.54 0.10
