 Date Time CO OZ NO2 CHX NO
 29.11.12 00:00 0.08 0.01 0.12 1.60 0.05
 -------- 01:00 0.07 ---- 0.10 1.59 0.03
 -------- 02:00 0.06 ---- 0.10 1.59 0.03
 -------- 03:00 0.06 ---- 0.10 1.60 0.03
 -------- 04:00 0.06 ---- 0.10 1.63 0.03
 29.11.12 05:00 0.04 ---- 0.11 1.65 0.02
 -------- 06:00 0.06 0.01 0.10 1.58 0.03
 -------- 07:00 0.07 ---- 0.13 1.57 0.03
 -------- 08:00 0.09 ---- 0.13 1.58 0.05
 -------- 09:00 0.09 ---- 0.13 1.59 0.06
 29.11.12 10:00 0.08 0.01 0.14 1.60 0.06
 -------- 11:00 0.08 0.01 0.13 1.58 0.06
 -------- 12:00 0.07 0.03 0.12 1.56 0.06
 -------- 13:00 0.08 0.03 0.13 1.57 0.06
 -------- 14:00 0.08 0.03 0.13 1.58 0.07
 29.11.12 15:00 0.08 0.02 0.13 1.58 0.06
 -------- 16:00 0.07 0.01 0.12 1.58 0.05
 -------- 17:00 0.08 0.01 0.13 1.57 0.05
 -------- 18:00 0.07 ---- 0.14 1.58 0.05
 -------- 19:00 0.06 0.02 0.12 1.57 0.04
 29.11.12 20:00 0.06 0.02 0.12 1.57 0.04
 -------- 21:00 0.07 0.01 0.12 1.57 0.04
 -------- 22:00 0.06 0.01 0.11 1.56 0.03
 -------- 23:00 0.06 0.01 0.10 1.56 0.03
 -------- 00:00 0.06 0.01 0.11 1.55 0.03
 30.11.12 01:00 0.06 0.02 0.10 1.55 0.03
 -------- 02:00 0.06 0.01 0.09 1.55 0.02
 -------- 03:00 0.06 0.01 0.10 1.56 0.03
 -------- 04:00 0.04 0.01 0.08 1.54 0.03
 -------- 05:00 0.04 0.01 0.07 1.54 0.03
 30.11.12 06:00 0.06 0.01 0.08 1.57 0.05
 -------- 07:00 0.06 ---- 0.08 1.57 0.06
 -------- 08:00 0.08 ---- 0.08 1.59 0.06
 -------- 09:00 0.08 ---- 0.10 1.59 0.07
 -------- 10:00 0.08 ---- 0.09 1.67 0.07
 30.11.12 11:00 0.08 ---- 0.09 1.61 0.08
 -------- 12:00 0.08 0.01 0.08 1.64 0.09
 -------- 13:00 0.08 ---- 0.08 1.64 0.09
 -------- 14:00 0.09 ---- 0.08 1.63 0.09
 -------- 15:00 0.10 ---- 0.07 1.66 0.10
 30.11.12 16:00 0.10 0.01 0.08 1.64 0.10
 -------- 17:00 0.09 0.02 0.07 1.62 0.09
 -------- 18:00 0.11 ---- 0.08 1.62 0.10
 -------- 19:00 0.17 ---- 0.10 1.78 0.19
 -------- 20:00 0.18 ---- 0.10 1.78 0.20
 30.11.12 21:00 0.11 ---- 0.09 1.63 0.10
 -------- 22:00 0.11 ---- 0.09 1.59 0.08
 -------- 23:00 0.09 ---- 0.09 1.58 0.06
