 Date Time CO OZ NO2 CHX NO PM2.5
 11.12.12 00:00 0.08 0.14 ---- 1.52 ---- ----
 -------- 01:00 0.09 0.14 ---- 1.58 ---- ----
 -------- 02:00 0.07 0.17 ---- 1.48 ---- ----
 -------- 03:00 0.07 0.19 ---- 1.46 ---- ----
 -------- 04:00 0.07 0.19 ---- 1.45 ---- ----
 11.12.12 05:00 0.08 0.23 ---- 1.44 ---- ----
 -------- 06:00 0.07 0.19 ---- 1.46 ---- ----
 -------- 07:00 0.05 0.19 ---- 1.46 ---- ----
 -------- 08:00 0.04 0.19 ---- 1.46 ---- ----
 -------- 09:00 0.04 0.21 ---- 1.45 ---- ----
 11.12.12 10:00 0.04 0.20 ---- 1.46 ---- ----
 -------- 11:00 0.04 0.19 ---- 1.46 ---- ----
 -------- 12:00 0.04 0.17 ---- 1.47 ---- ----
 -------- 13:00 0.05 0.14 ---- 1.48 ---- ----
 -------- 14:00 0.06 0.13 ---- 1.49 ---- ----
 11.12.12 15:00 0.07 0.07 ---- 1.51 ---- ----
 -------- 16:00 0.07 0.09 ---- 1.51 ---- ----
 -------- 17:00 0.07 0.03 ---- 1.54 ---- ----
 -------- 18:00 0.06 0.08 ---- 1.50 ---- ----
 -------- 19:00 0.06 0.07 ---- 1.50 ---- ----
 11.12.12 20:00 0.05 0.07 ---- 1.51 ---- ----
 -------- 21:00 0.06 0.02 ---- 1.55 ---- ----
 -------- 22:00 0.06 0.01 ---- 1.57 ---- ----
 -------- 23:00 0.06 0.03 ---- 1.59 ---- ----
 -------- 00:00 0.07 0.01 ---- 1.55 ---- ----
 12.12.12 01:00 0.06 0.01 ---- 1.53 ---- ----
 -------- 02:00 0.05 0.04 ---- 1.52 ---- ----
 -------- 03:00 0.04 0.05 ---- 1.53 ---- ----
 -------- 04:00 0.04 0.05 ---- 1.53 ---- ----
 -------- 05:00 0.04 0.05 ---- 1.52 ---- ----
 12.12.12 06:00 0.04 0.05 ---- 1.53 ---- ----
 -------- 07:00 0.06 0.02 ---- 1.55 ---- ----
 -------- 08:00 0.06 0.01 ---- 1.57 ---- ----
 -------- 09:00 0.07 ---- ---- 1.59 ---- ----
 -------- 10:00 0.09 0.01 ---- 1.62 ---- ----
 12.12.12 11:00 0.12 0.05 ---- 1.73 ---- ----
 -------- 12:00 0.08 0.04 ---- 1.63 ---- ----
 -------- 13:00 0.08 0.06 ---- 1.61 ---- ----
 -------- 14:00 0.08 0.06 ---- 1.61 ---- ----
 -------- 15:00 0.09 0.05 ---- 1.63 ---- ----
 12.12.12 16:00 0.08 0.03 ---- 1.17 ---- ----
 -------- 17:00 0.08 0.01 ---- 1.63 ---- ----
 -------- 18:00 0.08 0.01 ---- 1.65 ---- ----
 -------- 19:00 0.07 0.02 ---- 1.62 ---- ----
 -------- 20:00 0.06 0.04 ---- 1.61 ---- ----
 12.12.12 21:00 0.05 0.06 ---- 1.59 ---- ----
 -------- 22:00 0.05 0.07 ---- 1.59 ---- ----
 -------- 23:00 0.04 0.09 ---- 1.58 ---- ----
