 Date Time CO OZ CHX
 20.12.12 12:00 0.11 0.03 1.91
 -------- 13:00 0.14 0.03 1.90
 -------- 14:00 0.13 0.03 1.90
 -------- 15:00 0.13 0.03 2.03
 -------- 16:00 0.17 0.01 2.13
 20.12.12 17:00 0.18 0.01 2.22
 -------- 18:00 0.14 0.01 2.24
 -------- 19:00 0.13 0.01 2.18
 -------- 20:00 0.13 0.01 2.15
 -------- 21:00 0.12 0.01 2.05
 20.12.12 22:00 0.10 0.01 1.97
 -------- 23:00 0.10 0.01 1.90
 -------- 00:00 0.09 0.01 1.85
 -------- 01:00 0.09 0.01 1.91
 -------- 02:00 0.08 0.01 1.96
 21.12.12 03:00 0.09 0.01 2.07
 -------- 04:00 0.09 ---- 2.16
 -------- 05:00 0.08 0.01 2.15
 -------- 06:00 0.09 0.01 2.13
 -------- 07:00 0.10 0.01 2.12
 21.12.12 08:00 0.13 0.01 2.15
 -------- 09:00 0.14 0.01 2.18
 -------- 10:00 0.14 0.01 2.12
 -------- 11:00 0.15 0.01 2.13
 -------- 12:00 0.14 0.02 2.10
 21.12.12 13:00 0.14 0.02 2.13
 -------- 14:00 0.15 0.02 2.22
 -------- 15:00 0.17 0.02 2.27
 -------- 16:00 0.21 0.01 2.28
 -------- 17:00 0.17 0.01 2.18
 21.12.12 18:00 0.23 0.01 2.17
 -------- 19:00 0.20 0.01 2.06
 -------- 20:00 0.17 0.01 1.99
 -------- 21:00 0.13 0.01 1.99
 -------- 22:00 0.12 0.01 2.03
 21.12.12 23:00 0.11 0.01 1.99
 -------- 00:00 0.10 0.01 1.92
 -------- 01:00 0.11 0.01 1.94
 -------- 02:00 0.11 0.01 1.92
 -------- 03:00 0.10 0.01 1.91
 22.12.12 04:00 0.08 ---- 1.88
 -------- 05:00 0.07 ---- 1.86
 -------- 06:00 0.08 ---- 1.84
 -------- 07:00 0.09 ---- 1.86
 -------- 08:00 0.09 ---- 1.84
 22.12.12 09:00 0.09 0.01 1.84
 -------- 10:00 0.09 0.01 1.83
 -------- 11:00 0.08 0.03 1.78
