 Date Time CO NO2 CHX NO PM10
 15.10.12 00:00 0.05 0.17 1.36 ---- 0.05
 -------- 01:00 0.05 0.17 1.38 0.00 0.05
 -------- 02:00 0.06 0.20 1.40 0.00 0.05
 -------- 03:00 0.06 0.19 1.42 0.00 0.05
 -------- 04:00 0.07 0.21 1.43 0.03 0.07
 15.10.12 05:00 0.10 0.23 1.58 0.12 0.09
 -------- 06:00 0.11 0.22 1.62 0.14 0.09
 -------- 07:00 0.13 0.22 1.61 0.19 0.08
 -------- 08:00 0.31 0.22 1.80 0.46 0.13
 -------- 09:00 0.32 0.27 1.82 0.40 0.16
 15.10.12 10:00 0.31 0.32 1.82 0.40 0.19
 -------- 11:00 0.25 0.32 1.74 0.30 0.19
 -------- 12:00 0.15 0.30 1.57 0.16 0.14
 -------- 13:00 0.13 0.30 1.62 0.14 0.12
 -------- 14:00 0.09 0.27 1.44 0.10 0.11
 15.10.12 15:00 0.04 0.20 1.34 0.03 0.08
 -------- 16:00 0.04 0.21 1.35 0.02 0.08
 -------- 17:00 0.05 0.24 1.35 0.02 0.10
 -------- 18:00 0.05 0.23 1.32 0.01 0.11
 -------- 19:00 0.05 0.20 1.33 0.00 0.07
 15.10.12 20:00 0.06 0.24 1.38 0.01 0.07
 -------- 21:00 0.05 0.21 1.34 0.01 0.05
 -------- 22:00 0.05 0.18 1.33 0.01 0.05
 -------- 23:00 0.06 0.17 1.33 0.01 0.05
 -------- 00:00 0.06 0.20 1.32 0.01 0.05
 16.10.12 01:00 0.05 0.16 1.31 0.01 0.06
 -------- 02:00 0.04 0.12 1.32 0.00 0.06
 -------- 03:00 0.04 0.14 1.33 0.00 0.06
 -------- 04:00 0.04 0.13 1.33 0.00 0.05
 -------- 05:00 0.06 0.14 1.34 0.00 0.05
 16.10.12 06:00 0.06 0.16 1.35 0.01 0.06
 -------- 07:00 0.07 0.19 1.35 0.02 0.07
 -------- 08:00 0.07 0.18 1.35 0.02 0.06
 -------- 09:00 0.10 0.20 1.38 0.06 0.09
 -------- 10:00 0.11 0.21 1.38 0.07 0.09
 16.10.12 11:00 0.10 0.20 1.40 0.06 0.10
 -------- 12:00 0.11 0.21 1.40 0.08 0.11
 -------- 13:00 0.10 0.20 1.40 0.09 0.12
 -------- 14:00 0.10 0.20 1.39 0.09 0.11
 -------- 15:00 0.12 0.21 1.44 0.13 0.13
 16.10.12 16:00 0.11 0.21 1.43 0.10 0.11
 -------- 17:00 0.09 0.19 1.43 0.07 0.10
 -------- 18:00 0.11 0.19 1.44 0.08 0.11
 -------- 19:00 0.11 0.19 1.42 0.07 0.11
 -------- 20:00 0.09 0.19 1.37 0.04 0.09
 16.10.12 21:00 0.10 0.18 1.38 0.06 0.09
 -------- 22:00 0.10 0.17 1.39 0.08 0.09
 -------- 23:00 0.10 0.17 1.40 0.08 0.09
