 Date Time CO NO2 CHX NO PM10
 01.02.13 00:00 0.06 0.23 1.43 0.02 0.07
 -------- 01:00 0.06 0.22 1.43 0.02 0.06
 -------- 02:00 0.06 0.22 1.49 0.01 0.07
 -------- 03:00 0.06 0.21 1.50 0.01 0.06
 -------- 04:00 0.06 0.21 1.49 0.01 0.07
 01.02.13 05:00 0.07 0.22 1.51 0.02 0.08
 -------- 06:00 0.08 0.23 1.51 0.03 0.08
 -------- 07:00 0.09 0.26 1.51 0.05 0.08
 -------- 08:00 0.10 0.26 ---- 0.06 0.08
 -------- 09:00 0.10 0.27 ---- 0.07 0.08
 01.02.13 10:00 0.10 0.27 ---- 0.09 0.10
 -------- 11:00 0.10 0.27 ---- 0.08 0.10
 -------- 12:00 0.10 0.26 ---- 0.09 0.11
 -------- 13:00 0.10 0.25 ---- 0.09 0.11
 -------- 14:00 0.10 0.25 ---- 0.08 0.12
 01.02.13 15:00 0.10 0.26 ---- 0.07 0.11
 -------- 16:00 0.10 0.27 ---- 0.08 0.12
 -------- 17:00 0.11 0.28 ---- 0.07 0.14
 -------- 18:00 0.11 0.30 ---- 0.07 0.13
 -------- 19:00 0.12 0.31 ---- 0.09 0.14
 01.02.13 20:00 0.11 0.31 ---- 0.08 0.12
 -------- 21:00 0.10 0.31 ---- 0.08 0.09
 -------- 22:00 0.10 0.31 ---- 0.08 0.09
 -------- 23:00 0.11 0.30 ---- 0.10 0.09
 -------- 00:00 0.12 0.29 ---- 0.11 0.08
 02.02.13 01:00 0.09 0.24 ---- 0.02 0.06
 -------- 02:00 0.06 0.23 ---- 0.02 0.05
 -------- 03:00 0.06 0.21 ---- 0.01 0.03
 -------- 04:00 0.06 0.24 ---- 0.02 0.03
 -------- 05:00 0.06 0.27 ---- 0.03 0.03
 02.02.13 06:00 0.06 0.26 ---- 0.03 0.03
 -------- 07:00 0.07 0.26 1.45 0.05 0.03
 -------- 08:00 0.05 0.25 1.41 0.03 0.03
 -------- 09:00 0.06 0.24 1.40 0.02 0.03
 -------- 10:00 0.06 0.22 1.36 0.02 0.04
 02.02.13 11:00 0.06 0.20 1.41 0.02 0.05
 -------- 12:00 0.06 0.20 1.40 0.03 0.06
 -------- 13:00 0.06 0.19 1.39 0.04 0.04
 -------- 14:00 0.07 0.18 1.36 0.03 0.06
 -------- 15:00 0.09 0.23 1.46 0.06 0.07
 02.02.13 16:00 0.09 0.26 1.45 0.04 0.07
 -------- 17:00 0.08 0.24 1.42 0.02 0.06
 -------- 18:00 0.09 0.32 1.48 0.05 0.06
 -------- 19:00 0.08 0.25 1.37 0.01 0.04
 -------- 20:00 0.08 0.25 1.38 0.01 0.04
 02.02.13 21:00 0.08 0.26 1.43 0.01 0.05
 -------- 22:00 0.08 0.27 1.40 0.02 0.04
 -------- 23:00 0.13 0.29 1.56 0.14 0.05
