 Date Time OZ NO2 NO
 29.09.12 00:00 0.22 0.11 0.03
 -------- 01:00 0.21 0.09 0.02
 -------- 02:00 0.22 0.08 0.02
 -------- 03:00 0.20 0.07 0.02
 -------- 04:00 0.20 0.07 0.02
 29.09.12 05:00 0.15 0.11 0.02
 -------- 06:00 0.12 0.14 0.03
 -------- 07:00 0.10 0.16 0.04
 -------- 08:00 0.08 0.18 0.07
 -------- 09:00 0.10 0.16 0.05
 29.09.12 10:00 0.13 0.16 0.06
 -------- 11:00 0.15 0.14 0.06
 -------- 12:00 0.22 0.09 0.04
 -------- 13:00 0.23 0.12 0.04
 -------- 14:00 0.23 0.14 0.05
 29.09.12 15:00 0.26 0.11 0.03
 -------- 16:00 0.25 0.12 0.04
 -------- 17:00 0.24 0.15 0.04
 -------- 18:00 0.21 0.16 0.04
 -------- 19:00 0.17 0.20 0.06
 29.09.12 20:00 0.14 0.21 0.05
 -------- 21:00 0.07 0.27 0.09
 -------- 22:00 0.01 0.32 0.10
 -------- 23:00 0.01 0.31 0.14
 -------- 00:00 0.01 0.31 0.16
 30.09.12 01:00 0.01 0.29 0.19
 -------- 02:00 0.01 0.29 0.07
 -------- 03:00 0.01 0.28 0.13
 -------- 04:00 0.01 0.26 0.21
 -------- 05:00 0.01 0.27 0.12
 30.09.12 06:00 0.01 0.26 0.09
 -------- 07:00 0.01 0.27 0.09
 -------- 08:00 0.01 0.26 0.08
 -------- 09:00 0.02 0.24 0.07
 -------- 10:00 0.05 0.23 0.08
 30.09.12 11:00 0.02 0.26 0.14
 -------- 12:00 0.03 0.27 0.14
 -------- 13:00 0.09 0.24 0.06
 -------- 14:00 0.17 0.19 0.04
 -------- 15:00 0.21 0.16 0.03
 30.09.12 16:00 0.19 0.19 0.04
 -------- 17:00 0.20 0.18 0.04
 -------- 18:00 0.12 0.21 0.03
 -------- 19:00 0.10 0.22 0.02
 -------- 20:00 0.10 0.20 0.03
 30.09.12 21:00 0.03 0.25 0.05
 -------- 22:00 0.03 0.23 0.06
 -------- 23:00 0.10 0.15 0.04
 -------- 00:00 0.17 0.10 0.02
