 Date Time CO NO2 CHX NO PM10 PM2.5
 20.11.12 00:00 0.06 0.09 1.42 0.02 0.09 ----
 -------- 01:00 0.05 0.08 1.42 0.02 0.09 ----
 -------- 02:00 0.05 0.08 1.42 0.02 0.07 ----
 -------- 03:00 0.05 0.08 1.43 0.02 0.08 ----
 -------- 04:00 0.04 0.07 1.42 0.02 0.06 ----
 20.11.12 05:00 0.06 0.07 1.42 0.02 0.05 ----
 -------- 06:00 0.06 0.08 1.43 0.03 0.06 ----
 -------- 07:00 0.15 0.08 1.46 0.05 0.07 ----
 -------- 08:00 0.11 0.09 1.45 0.08 0.10 ----
 -------- 09:00 0.11 0.10 1.46 0.12 0.12 ----
 20.11.12 10:00 0.10 0.10 1.47 0.09 0.10 ----
 -------- 11:00 0.09 0.10 1.47 0.09 0.11 ----
 -------- 12:00 0.09 0.10 1.47 0.11 0.08 ----
 -------- 13:00 0.11 0.14 1.52 0.11 0.09 ----
 -------- 14:00 0.12 0.16 1.49 0.11 0.12 ----
 20.11.12 15:00 0.09 0.17 1.48 0.06 0.13 ----
 -------- 16:00 0.08 0.17 1.44 0.03 0.09 ----
 -------- 17:00 0.06 0.17 1.44 0.03 0.08 ----
 -------- 18:00 0.08 0.18 1.45 0.04 0.13 ----
 -------- 19:00 0.08 0.16 1.45 0.03 0.10 ----
 20.11.12 20:00 0.09 0.16 1.45 0.03 0.10 ----
 -------- 21:00 0.07 0.15 1.44 0.02 0.10 ----
 -------- 22:00 0.06 0.09 1.42 0.01 0.06 ----
 -------- 23:00 0.06 0.11 1.43 0.01 0.06 ----
 -------- 00:00 0.06 0.07 1.42 0.01 0.06 ----
 21.11.12 01:00 0.06 0.07 1.42 0.01 0.05 ----
 -------- 02:00 0.06 0.05 1.41 0.01 0.03 ----
 -------- 03:00 0.06 0.04 1.42 0.00 0.03 ----
 -------- 04:00 0.04 0.02 1.41 0.01 0.03 ----
 -------- 05:00 0.04 0.02 1.41 0.00 0.02 ----
 21.11.12 06:00 0.04 0.03 1.41 0.00 0.03 ----
 -------- 07:00 0.05 0.12 1.42 0.02 0.05 ----
 -------- 08:00 0.09 0.23 1.49 0.06 0.10 ----
 -------- 09:00 0.11 0.23 1.55 0.07 0.12 ----
 -------- 10:00 0.09 0.21 1.53 0.06 0.11 ----
 21.11.12 11:00 0.08 0.20 1.51 0.07 0.12 ----
 -------- 12:00 0.08 0.20 1.48 0.10 0.12 ----
 -------- 13:00 0.10 0.19 1.46 0.09 0.12 ----
 -------- 14:00 0.10 0.18 1.49 0.08 0.14 ----
 -------- 15:00 0.10 0.19 1.51 0.09 0.14 ----
 21.11.12 16:00 0.10 0.19 1.50 0.06 0.13 ----
 -------- 17:00 0.13 0.19 1.55 0.10 0.14 ----
 -------- 18:00 0.12 0.20 1.54 0.07 0.14 ----
 -------- 19:00 0.09 0.18 1.52 0.03 0.15 ----
 -------- 20:00 0.09 0.19 1.51 0.03 0.11 ----
 21.11.12 21:00 0.06 0.18 1.51 0.02 0.10 ----
 -------- 22:00 0.07 0.19 1.51 0.03 0.10 ----
 -------- 23:00 0.06 0.19 1.51 0.04 0.09 ----
