 Date Time CO NO2 CHX NO PM10
 27.01.13 00:00 0.06 0.31 1.54 0.01 0.03
 -------- 01:00 0.07 0.35 1.54 0.03 0.03
 -------- 02:00 0.07 0.33 1.55 0.03 0.03
 -------- 03:00 0.06 0.26 1.49 0.01 0.02
 -------- 04:00 0.06 0.35 1.50 0.02 0.03
 27.01.13 05:00 0.04 0.27 1.47 0.01 0.02
 -------- 06:00 0.04 0.29 1.46 0.03 0.03
 -------- 07:00 0.04 0.23 1.45 0.00 0.02
 -------- 08:00 0.05 0.32 1.47 0.01 0.02
 -------- 09:00 0.07 0.33 1.51 0.01 0.02
 27.01.13 10:00 0.07 0.33 1.55 0.07 0.03
 -------- 11:00 0.09 0.35 1.59 0.13 0.04
 -------- 12:00 0.07 0.26 1.55 0.06 0.03
 -------- 13:00 0.07 0.25 1.55 0.06 0.03
 -------- 14:00 0.07 0.25 1.56 0.07 0.03
 27.01.13 15:00 0.08 0.25 1.57 0.06 0.04
 -------- 16:00 0.09 0.28 1.62 0.06 0.03
 -------- 17:00 0.09 0.35 1.63 0.07 0.03
 -------- 18:00 0.13 0.43 1.72 0.19 0.06
 -------- 19:00 0.11 0.40 1.67 0.08 0.06
 27.01.13 20:00 0.13 0.42 1.79 0.15 0.05
 -------- 21:00 0.15 0.42 1.81 0.17 0.06
 -------- 22:00 0.15 0.41 1.78 0.19 0.06
 -------- 23:00 0.15 0.44 1.79 0.25 0.07
 -------- 00:00 0.13 0.42 1.72 0.20 0.06
 28.01.13 01:00 0.09 0.41 1.69 0.13 0.05
 -------- 02:00 0.09 0.40 1.76 0.13 0.07
 -------- 03:00 0.08 0.38 1.73 0.11 0.08
 -------- 04:00 0.06 0.36 1.72 0.08 0.05
 -------- 05:00 0.07 0.37 1.70 0.06 0.05
 28.01.13 06:00 0.06 0.38 1.68 0.07 0.04
 -------- 07:00 0.07 0.38 1.66 0.09 0.04
 -------- 08:00 0.15 0.41 1.71 0.27 0.06
 -------- 09:00 0.13 0.58 1.65 0.38 0.06
 -------- 10:00 0.11 0.43 1.62 0.16 0.06
 28.01.13 11:00 0.12 0.38 1.70 0.14 0.05
 -------- 12:00 0.12 0.37 1.72 0.15 0.07
 -------- 13:00 0.13 0.36 1.71 0.17 0.06
 -------- 14:00 0.14 0.36 1.67 0.16 0.09
 -------- 15:00 0.13 0.36 1.70 0.16 0.08
 28.01.13 16:00 0.13 0.37 1.75 0.17 0.09
 -------- 17:00 0.11 0.34 1.70 0.13 0.08
 -------- 18:00 0.10 0.28 1.30 0.03 ----
 -------- 19:00 0.08 0.28 1.60 0.03 ----
 -------- 20:00 0.10 0.33 1.65 0.05 ----
 28.01.13 21:00 0.11 0.33 1.67 0.04 ----
 -------- 22:00 0.10 0.30 1.68 0.03 ----
 -------- 23:00 0.10 0.30 1.67 0.03 ----
