 Date Time CO NO2 NO PM10
 17.09.12 12:00 0.07 0.19 0.08 0.03
 -------- 13:00 0.07 0.16 0.06 0.03
 -------- 14:00 0.07 0.17 0.05 0.03
 -------- 15:00 0.05 0.16 0.04 0.03
 -------- 16:00 0.05 0.17 0.03 0.03
 17.09.12 17:00 0.06 0.17 0.03 0.03
 -------- 18:00 0.07 0.21 0.06 0.04
 -------- 19:00 0.09 0.24 0.06 0.06
 -------- 20:00 0.13 0.27 0.11 0.09
 -------- 21:00 0.15 0.27 0.19 0.09
 17.09.12 22:00 0.20 0.25 0.30 0.10
 -------- 23:00 0.31 0.28 0.47 0.13
 -------- 00:00 0.39 0.27 0.59 0.15
 -------- 01:00 0.49 0.29 0.75 0.19
 -------- 02:00 0.52 0.35 0.87 0.21
 18.09.12 03:00 0.37 0.33 0.68 0.15
 -------- 04:00 0.24 0.31 0.47 0.11
 -------- 05:00 0.15 0.28 0.31 0.10
 -------- 06:00 0.11 0.26 0.24 0.08
 -------- 07:00 0.11 0.25 0.26 0.10
 18.09.12 08:00 0.11 0.25 0.26 0.09
 -------- 09:00 0.16 0.28 0.31 0.13
 -------- 10:00 0.19 0.31 0.30 0.12
 -------- 11:00 0.19 0.34 0.29 0.14
 -------- 12:00 0.13 0.31 0.20 0.09
 18.09.12 13:00 0.10 0.26 0.14 0.05
 -------- 14:00 0.08 0.21 0.09 0.03
 -------- 15:00 0.06 0.23 0.07 0.05
 -------- 16:00 0.06 0.22 0.06 0.05
 -------- 17:00 0.06 0.23 0.05 0.05
 18.09.12 18:00 0.07 0.25 0.05 0.06
 -------- 19:00 0.08 0.25 0.05 0.06
 -------- 20:00 0.10 0.31 0.07 0.08
 -------- 21:00 0.11 0.32 0.10 0.08
 -------- 22:00 0.13 0.33 0.12 0.09
 18.09.12 23:00 0.12 0.32 0.12 0.08
 -------- 00:00 0.10 0.30 0.11 0.07
 -------- 01:00 0.10 0.29 0.12 0.06
 -------- 02:00 0.11 0.29 0.14 0.06
 -------- 03:00 0.13 0.30 0.21 0.08
 19.09.12 04:00 0.13 0.29 0.26 0.07
 -------- 05:00 0.10 0.28 0.25 0.07
 -------- 06:00 0.12 0.29 0.29 0.15
 -------- 07:00 0.13 0.29 0.28 0.16
 -------- 08:00 0.16 0.30 0.28 0.14
 19.09.12 09:00 0.22 0.31 0.30 0.17
 -------- 10:00 0.19 0.32 0.27 0.17
 -------- 11:00 0.15 0.32 0.20 0.14
