 Date Time CO OZ NO2 NO PM10 PM2.5
 18.12.12 00:00 0.08 ---- 0.30 0.10 0.08 ----
 -------- 01:00 0.07 ---- 0.29 0.06 0.07 ----
 -------- 02:00 0.06 ---- 0.28 0.04 0.07 ----
 -------- 03:00 0.08 ---- 0.29 0.08 0.08 ----
 -------- 04:00 0.07 ---- 0.29 0.08 0.07 ----
 18.12.12 05:00 0.08 ---- 0.29 0.10 0.07 ----
 -------- 06:00 0.08 ---- 0.29 0.09 0.07 ----
 -------- 07:00 0.08 ---- 0.30 0.10 0.08 ----
 -------- 08:00 0.08 ---- 0.31 0.13 0.07 ----
 -------- 09:00 0.11 ---- 0.32 0.14 0.08 ----
 18.12.12 10:00 0.12 ---- 0.32 0.18 0.09 ----
 -------- 11:00 0.12 ---- 0.31 0.19 0.10 ----
 -------- 12:00 0.13 0.01 0.30 0.19 0.09 ----
 -------- 13:00 0.15 0.01 0.30 0.21 0.09 ----
 -------- 14:00 0.12 0.01 0.30 0.17 0.09 ----
 18.12.12 15:00 0.13 0.01 0.33 0.18 0.09 ----
 -------- 16:00 0.10 ---- 0.31 0.17 0.08 ----
 -------- 17:00 0.09 0.01 0.30 0.08 0.08 ----
 -------- 18:00 0.11 0.01 0.30 0.09 0.08 ----
 -------- 19:00 0.09 0.01 0.28 0.06 0.06 ----
 18.12.12 20:00 0.08 ---- 0.28 0.05 0.05 ----
 -------- 21:00 0.08 ---- 0.28 0.06 0.05 ----
 -------- 22:00 0.07 0.02 0.26 0.05 0.05 ----
 -------- 23:00 0.06 0.02 0.24 0.03 0.04 ----
 -------- 00:00 0.06 0.01 0.26 0.04 0.04 ----
 19.12.12 01:00 0.06 ---- 0.27 0.04 0.03 ----
 -------- 02:00 0.05 ---- 0.26 0.03 0.03 ----
 -------- 03:00 0.05 0.01 0.26 0.04 0.03 ----
 -------- 04:00 0.04 0.01 0.24 0.03 0.04 ----
 -------- 05:00 0.04 ---- 0.25 0.03 0.05 ----
 19.12.12 06:00 0.06 ---- 0.27 0.06 0.05 ----
 -------- 07:00 0.06 ---- 0.27 0.07 0.05 ----
 -------- 08:00 0.09 ---- 0.29 0.12 0.06 ----
 -------- 09:00 0.10 ---- 0.30 0.14 0.06 ----
 -------- 10:00 0.09 ---- 0.28 0.12 0.07 ----
 19.12.12 11:00 0.09 0.02 0.24 0.08 0.07 ----
 -------- 12:00 0.08 0.04 0.23 0.07 0.06 ----
 -------- 13:00 0.09 0.04 0.23 0.07 0.06 ----
 -------- 14:00 0.09 0.03 0.26 0.12 0.07 ----
 -------- 15:00 0.15 0.01 0.33 0.19 0.09 ----
 19.12.12 16:00 0.10 ---- 0.33 0.17 0.08 ----
 -------- 17:00 0.08 ---- 0.33 0.10 0.07 ----
 -------- 18:00 0.09 ---- 0.34 0.12 0.09 ----
 -------- 19:00 0.10 ---- 0.37 0.19 0.09 ----
 -------- 20:00 0.10 ---- 0.37 0.18 0.08 ----
 19.12.12 21:00 0.10 ---- 0.37 0.15 0.08 ----
 -------- 22:00 0.10 ---- 0.36 0.15 0.07 ----
 -------- 23:00 0.10 ---- 0.35 0.12 0.06 ----
