 Date Time CO OZ NO2 NO PM10
 11.01.13 12:00 0.07 0.07 0.25 0.05 0.06
 -------- 13:00 0.10 0.02 0.33 0.15 0.08
 -------- 14:00 0.11 0.02 0.35 0.17 0.08
 -------- 15:00 0.10 0.01 0.34 0.17 0.09
 -------- 16:00 0.11 0.01 0.34 0.15 0.10
 11.01.13 17:00 0.09 0.01 0.32 0.07 0.08
 -------- 18:00 0.09 ---- 0.31 0.04 0.07
 -------- 19:00 0.09 0.01 0.30 0.05 0.07
 -------- 20:00 0.07 0.01 0.26 0.02 0.07
 -------- 21:00 0.08 0.01 0.26 0.03 0.06
 11.01.13 22:00 0.08 0.01 0.25 0.02 0.06
 -------- 23:00 0.08 0.01 0.25 0.02 0.06
 -------- 00:00 0.08 ---- 0.27 0.04 0.06
 -------- 01:00 0.07 0.03 0.23 0.02 0.06
 -------- 02:00 0.06 0.02 0.22 0.01 0.06
 12.01.13 03:00 0.06 0.01 0.24 0.01 0.06
 -------- 04:00 0.06 0.02 0.24 0.01 0.06
 -------- 05:00 0.06 0.01 0.24 0.01 0.06
 -------- 06:00 0.06 0.01 0.24 0.01 0.06
 -------- 07:00 0.06 ---- 0.25 0.02 0.05
 12.01.13 08:00 0.07 ---- 0.26 0.04 0.07
 -------- 09:00 0.08 ---- 0.27 0.05 0.07
 -------- 10:00 0.08 0.01 0.25 0.04 0.07
 -------- 11:00 0.09 0.02 0.26 0.07 0.07
 -------- 12:00 0.10 0.01 0.26 0.10 0.08
 12.01.13 13:00 0.11 0.01 0.28 0.14 0.09
 -------- 14:00 0.16 0.01 0.30 0.18 0.12
 -------- 15:00 0.16 ---- 0.31 0.20 0.12
 -------- 16:00 0.14 ---- 0.30 0.17 0.12
 -------- 17:00 0.15 ---- 0.30 0.15 0.10
 12.01.13 18:00 0.18 ---- 0.32 0.20 0.13
 -------- 19:00 0.17 ---- 0.33 0.19 0.12
 -------- 20:00 0.17 ---- 0.33 0.21 0.12
 -------- 21:00 0.19 ---- 0.34 0.26 0.12
 -------- 22:00 0.25 ---- 0.35 0.36 0.14
 12.01.13 23:00 0.25 ---- 0.34 0.34 0.13
 -------- 00:00 0.21 ---- 0.35 0.34 0.12
 -------- 01:00 0.20 ---- 0.38 0.38 0.12
 -------- 02:00 0.14 ---- 0.31 0.22 0.08
 -------- 03:00 0.11 ---- 0.30 0.19 0.07
 13.01.13 04:00 0.09 ---- 0.27 0.15 0.06
 -------- 05:00 0.07 ---- 0.24 0.05 0.04
 -------- 06:00 0.06 ---- 0.23 0.05 0.04
 -------- 07:00 0.06 ---- 0.22 0.02 0.04
 -------- 08:00 0.06 ---- 0.22 0.02 0.05
 13.01.13 09:00 0.06 0.02 0.21 0.02 0.06
 -------- 10:00 0.06 0.02 0.20 0.02 0.06
 -------- 11:00 0.06 0.04 0.18 0.03 0.06
