 Date Time CO SO2 H2S NO2 CHX NO
 24.03.13 00:00 0.06 0.00 0.12 0.11 1.46 0.00
 -------- 01:00 0.06 0.00 0.12 0.08 1.44 0.00
 -------- 02:00 0.06 0.00 0.12 0.07 1.43 ----
 -------- 03:00 0.05 0.00 0.12 0.08 1.43 ----
 -------- 04:00 0.04 0.00 0.12 0.08 1.43 ----
 24.03.13 05:00 0.04 0.00 0.12 0.05 1.43 ----
 -------- 06:00 0.04 0.00 0.12 0.04 1.42 ----
 -------- 07:00 0.06 0.00 0.12 0.06 1.42 ----
 -------- 08:00 0.06 0.00 0.12 0.10 1.42 0.00
 -------- 09:00 0.06 0.00 0.12 0.10 1.42 0.00
 24.03.13 10:00 0.06 0.00 0.12 0.10 1.43 0.01
 -------- 11:00 0.06 0.00 0.12 0.12 1.45 0.01
 -------- 12:00 0.07 0.00 ---- 0.10 1.50 0.01
 -------- 13:00 0.06 0.00 ---- 0.09 1.46 0.02
 -------- 14:00 0.06 0.00 ---- 0.09 1.43 0.01
 24.03.13 15:00 0.06 0.00 ---- 0.11 1.44 0.01
 -------- 16:00 0.06 0.00 ---- 0.11 1.44 0.01
 -------- 17:00 0.06 0.00 ---- 0.11 1.44 0.01
 -------- 18:00 0.07 0.00 ---- 0.13 1.47 0.02
 -------- 19:00 0.06 0.00 ---- 0.10 1.44 0.01
 24.03.13 20:00 0.06 ---- ---- 0.10 1.44 0.00
 -------- 21:00 0.06 0.00 ---- 0.10 1.44 0.01
 -------- 22:00 0.06 0.00 0.12 0.09 1.44 0.01
 -------- 23:00 0.06 0.00 0.12 0.08 1.43 0.01
 -------- 00:00 0.06 0.00 ---- 0.07 1.43 0.00
 25.03.13 01:00 0.06 0.00 ---- 0.07 1.43 0.00
 -------- 02:00 0.06 0.00 ---- 0.06 1.42 0.02
 -------- 03:00 0.06 0.00 ---- 0.05 1.42 0.00
 -------- 04:00 0.06 0.00 0.12 0.06 1.43 0.03
 -------- 05:00 0.06 0.00 ---- 0.07 1.43 0.01
 25.03.13 06:00 0.06 0.00 ---- 0.08 1.43 0.00
 -------- 07:00 0.06 0.00 ---- 0.11 1.44 0.01
 -------- 08:00 0.07 0.00 ---- 0.11 1.46 0.01
 -------- 09:00 0.07 0.00 ---- 0.11 1.44 0.01
 -------- 10:00 0.06 0.00 ---- 0.10 1.44 0.01
 25.03.13 11:00 0.06 0.00 ---- 0.09 1.46 0.01
 -------- 12:00 0.06 0.00 ---- 0.09 1.44 0.01
 -------- 13:00 0.06 0.01 ---- 0.09 1.43 0.01
 -------- 14:00 0.06 0.01 ---- 0.10 1.44 0.01
 -------- 15:00 0.06 0.01 ---- 0.10 1.45 0.01
 25.03.13 16:00 0.08 0.01 ---- 0.11 1.46 0.02
 -------- 17:00 0.08 0.01 ---- 0.12 1.46 0.01
 -------- 18:00 0.08 0.00 ---- 0.14 1.47 0.01
 -------- 19:00 0.08 0.00 ---- 0.14 1.48 0.01
 -------- 20:00 0.09 0.00 ---- 0.15 1.47 0.01
 25.03.13 21:00 0.09 0.00 ---- 0.23 1.54 0.01
 -------- 22:00 0.08 0.00 ---- 0.13 1.56 0.01
 -------- 23:00 0.07 0.00 ---- 0.13 1.45 0.00
