 Date Time NO2 CHX NO
 28.03.13 12:00 0.20 1.54 0.05
 -------- 13:00 0.12 1.50 0.02
 -------- 14:00 0.14 1.48 0.03
 -------- 15:00 0.12 1.46 0.02
 -------- 16:00 0.11 1.45 0.01
 28.03.13 17:00 0.12 1.44 0.01
 -------- 18:00 0.14 1.46 0.01
 -------- 19:00 0.21 1.49 0.01
 -------- 20:00 0.35 1.54 0.01
 -------- 21:00 0.53 1.73 0.09
 28.03.13 22:00 0.54 1.72 0.11
 -------- 23:00 0.53 1.63 0.09
 -------- 00:00 0.49 1.59 0.04
 -------- 01:00 0.48 1.63 0.03
 -------- 02:00 0.52 1.65 0.06
 29.03.13 03:00 0.55 1.89 0.29
 -------- 04:00 0.53 3.75 0.35
 -------- 05:00 0.52 2.47 0.30
 -------- 06:00 ---- ---- ----
 -------- 07:00 0.52 2.21 0.50
 29.03.13 08:00 0.64 2.04 0.44
 -------- 09:00 0.57 1.84 0.28
 -------- 10:00 0.50 1.69 0.16
 -------- 11:00 0.52 1.72 0.20
 -------- 12:00 0.32 1.54 0.07
 29.03.13 13:00 0.18 1.46 0.02
 -------- 14:00 0.19 1.47 0.02
 -------- 15:00 0.18 1.47 0.02
 -------- 16:00 0.18 1.45 0.02
 -------- 17:00 0.18 1.47 0.01
 29.03.13 18:00 0.21 1.48 0.01
 -------- 19:00 0.22 1.46 0.01
 -------- 20:00 0.45 1.64 0.04
 -------- 21:00 0.60 1.91 0.27
 -------- 22:00 0.81 3.73 1.07
 29.03.13 23:00 0.81 2.83 1.24
 -------- 00:00 0.75 2.82 1.37
 -------- 01:00 0.72 2.51 0.95
 -------- 02:00 0.67 2.22 0.69
 -------- 03:00 0.67 2.39 0.75
 30.03.13 04:00 0.67 2.30 0.69
 -------- 05:00 0.66 2.29 0.45
 -------- 06:00 0.61 2.29 0.29
 -------- 07:00 0.69 2.46 0.66
 -------- 08:00 0.67 2.24 0.45
 30.03.13 09:00 0.60 2.00 0.20
 -------- 10:00 0.48 1.86 0.07
 -------- 11:00 0.55 1.72 0.17
