 Date Time CHX NO
 -------- 0.29 01:00 1.70
 -------- 0.34 02:00 1.73
 -------- 0.30 03:00 1.75
 -------- 0.33 04:00 1.76
 17.04.13 05:00 <b>17.04.1305:00</b> 1.87
 -------- 0.31 06:00 2.21
 -------- 0.49 07:00 2.50
 -------- 0.81 08:00 2.18
 -------- 0.62 09:00 2.00
 17.04.13 10:00 <b>17.04.1310:00</b> 2.15
 -------- 0.34 11:00 1.58
 -------- 0.25 12:00 1.50
 -------- 0.18 13:00 1.48
 -------- 0.15 14:00 1.45
 17.04.13 15:00 <b>17.04.1315:00</b> 1.47
 -------- 0.12 16:00 1.48
 -------- 0.12 17:00 1.50
 -------- ---- 18:00 1.46
 -------- ---- 19:00 1.47
 17.04.13 20:00 <b>17.04.1320:00</b> 1.51
 -------- ---- 21:00 1.59
 -------- ---- 22:00 1.94
 -------- ---- 23:00 1.85
 -------- ---- 00:00 1.68
 18.04.13 01:00 <b>18.04.1301:00</b> 1.66
 -------- ---- 02:00 1.67
 -------- ---- 03:00 1.94
 -------- ---- 04:00 2.02
 -------- ---- 05:00 1.91
 18.04.13 06:00 <b>18.04.1306:00</b> 1.79
 -------- ---- 07:00 1.75
 -------- ---- 08:00 1.69
 -------- ---- 09:00 1.61
 -------- ---- 10:00 1.57
 18.04.13 11:00 <b>18.04.1311:00</b> 1.58
 -------- ---- 12:00 1.64
 -------- ---- 13:00 1.57
 -------- ---- 14:00 1.50
 -------- ---- 15:00 1.48
 18.04.13 16:00 <b>18.04.1316:00</b> 3.26
 -------- ---- 17:00 3.79
 -------- ---- 18:00 1.70
 -------- 0.01 19:00 1.57
 -------- 0.02 20:00 1.60
 18.04.13 21:00 <b>18.04.1321:00</b> 1.75
 -------- 0.09 22:00 2.19
 -------- 0.26 23:00 2.68
