 Date Time CO OZ NO2 CHX NO PM10
 23.09.12 12:00 0.11 ---- 0.33 1.60 0.09 0.20
 -------- 13:00 0.11 ---- 0.30 1.55 0.07 0.15
 -------- 14:00 0.09 ---- 0.22 1.50 0.03 0.23
 -------- 15:00 0.08 ---- 0.16 1.46 0.03 0.08
 -------- 16:00 0.08 ---- 0.16 1.46 0.03 0.08
 23.09.12 17:00 0.08 ---- 0.17 1.47 0.03 0.14
 -------- 18:00 0.08 ---- 0.17 1.47 0.03 0.13
 -------- 19:00 0.08 ---- 0.15 1.46 0.02 0.09
 -------- 20:00 0.08 ---- 0.17 1.47 0.02 0.07
 -------- 21:00 0.07 ---- 0.13 1.46 0.02 0.09
 23.09.12 22:00 0.05 ---- 0.10 1.43 0.02 0.08
 -------- 23:00 0.04 ---- 0.08 1.43 0.02 0.06
 -------- 00:00 0.04 ---- 0.07 1.46 0.02 0.22
 -------- 01:00 0.04 ---- 0.07 1.49 0.02 0.07
 -------- 02:00 0.02 ---- 0.07 1.44 0.02 0.13
 24.09.12 03:00 0.02 ---- 0.07 1.42 0.02 0.15
 -------- 04:00 0.02 ---- 0.06 1.43 0.02 0.16
 -------- 05:00 0.02 ---- 0.05 1.42 0.02 0.16
 -------- 06:00 0.02 ---- 0.04 1.42 0.01 0.02
 -------- 07:00 0.02 ---- 0.03 1.41 0.01 0.03
 24.09.12 08:00 0.05 ---- 0.12 1.43 0.02 0.18
 -------- 09:00 0.05 ---- 0.14 1.44 0.03 0.11
 -------- 10:00 0.07 ---- 0.12 1.47 0.03 0.15
 -------- 11:00 0.06 ---- 0.09 1.42 0.02 0.04
 -------- 12:00 0.06 ---- 0.08 1.42 0.02 0.08
 24.09.12 13:00 0.06 ---- 0.08 1.42 0.02 0.02
 -------- 14:00 0.06 ---- 0.06 1.41 0.02 0.17
 -------- 15:00 0.06 ---- 0.06 1.41 0.02 0.04
 -------- 16:00 0.06 ---- 0.06 1.41 0.02 ----
 -------- 17:00 0.06 ---- 0.09 1.42 0.02 0.15
 24.09.12 18:00 0.06 ---- 0.08 1.42 0.02 0.09
 -------- 19:00 0.06 ---- 0.08 1.40 0.02 0.07
 -------- 20:00 0.06 ---- 0.08 1.41 0.02 0.05
 -------- 21:00 0.06 ---- 0.07 1.41 0.02 0.04
 -------- 22:00 0.06 ---- 0.08 1.43 0.02 0.04
 24.09.12 23:00 0.04 ---- 0.07 1.41 0.02 0.03
 -------- 00:00 0.04 ---- 0.03 1.41 0.02 0.02
 -------- 01:00 0.04 ---- 0.02 1.40 0.01 0.02
 -------- 02:00 0.04 ---- 0.01 1.39 0.02 0.02
 -------- 03:00 0.04 ---- 0.01 1.39 0.02 0.02
 25.09.12 04:00 0.04 ---- 0.01 1.39 0.01 0.02
 -------- 05:00 0.04 ---- 0.01 1.39 0.02 0.02
 -------- 06:00 0.05 ---- 0.01 1.40 0.02 0.02
 -------- 07:00 0.04 ---- 0.01 1.40 0.02 0.02
 -------- 08:00 0.05 ---- 0.03 1.40 0.02 0.02
 25.09.12 09:00 0.05 ---- 0.04 1.41 0.02 0.04
 -------- 10:00 0.05 ---- 0.02 1.42 0.02 0.04
 -------- 11:00 0.05 ---- 0.03 1.41 0.02 0.04
