 Date Time CO NO2 CHX NO
 05.10.12 22:00 0.12 0.17 1.37 0.01
 -------- 23:00 0.11 0.16 1.38 0.02
 -------- 00:00 0.09 0.14 1.47 0.01
 -------- 01:00 0.08 0.13 1.36 0.01
 -------- 02:00 0.06 0.09 1.32 ----
 06.10.12 03:00 0.06 0.10 1.30 0.00
 -------- 04:00 0.06 0.08 1.31 ----
 -------- 05:00 0.06 0.08 1.31 ----
 -------- 06:00 0.06 0.07 1.30 ----
 -------- 07:00 0.05 0.09 1.32 ----
 06.10.12 08:00 0.07 0.10 1.34 0.01
 -------- 09:00 0.08 0.12 1.40 0.02
 -------- 10:00 0.09 0.13 1.39 0.04
 -------- 11:00 0.08 0.13 1.37 0.02
 -------- 12:00 0.08 0.13 1.26 0.01
 06.10.12 13:00 0.06 0.07 1.36 0.00
 -------- 14:00 0.08 0.08 1.37 0.01
 -------- 15:00 0.08 0.09 1.34 0.01
 -------- 16:00 0.07 0.09 1.34 0.00
 -------- 17:00 0.07 0.07 1.34 0.00
 06.10.12 18:00 0.06 0.05 1.08 ----
 -------- 19:00 0.05 0.04 1.30 ----
 -------- 20:00 0.06 0.04 1.30 ----
 -------- 21:00 0.05 0.05 1.30 0.00
 -------- 22:00 0.06 0.05 1.32 0.00
 06.10.12 23:00 0.06 0.06 1.30 0.00
 -------- 00:00 0.06 0.07 1.31 ----
 -------- 01:00 0.06 0.07 1.27 ----
 -------- 02:00 0.06 0.09 1.34 ----
 -------- 03:00 0.06 0.09 1.32 ----
 07.10.12 04:00 0.06 0.12 1.43 0.01
 -------- 05:00 0.06 0.11 1.45 ----
 -------- 06:00 0.05 0.08 1.33 ----
 -------- 07:00 0.06 0.11 1.36 0.01
 -------- 08:00 0.05 0.11 1.36 0.00
 07.10.12 09:00 0.06 0.10 1.35 0.01
 -------- 10:00 0.07 0.10 1.35 0.01
 -------- 11:00 0.04 0.06 1.27 0.00
 -------- 12:00 0.04 0.05 1.26 0.00
 -------- 13:00 0.04 0.04 1.28 0.00
 07.10.12 14:00 0.04 0.02 1.26 ----
 -------- 15:00 0.04 0.02 1.28 ----
 -------- 16:00 0.05 0.03 1.29 ----
 -------- 17:00 0.05 0.04 1.28 ----
 -------- 18:00 0.06 0.06 2.21 ----
 07.10.12 19:00 0.07 0.09 1.37 ----
 -------- 20:00 0.08 0.12 1.32 0.00
 -------- 21:00 0.09 0.15 1.36 0.01
 -------- 22:00 0.12 0.17 1.39 0.02
