 Date Time CO NO2 CHX NO PM10
 08.10.12 13:00 0.06 0.27 1.47 0.03 0.04
 -------- 14:00 0.05 0.19 1.43 0.03 0.02
 -------- 15:00 0.04 0.13 1.40 0.02 0.01
 -------- 16:00 0.04 0.13 1.42 0.02 0.02
 -------- 17:00 0.03 0.13 1.40 0.02 0.02
 08.10.12 18:00 0.02 0.09 1.48 0.02 0.02
 -------- 19:00 0.02 0.08 1.42 0.02 0.01
 -------- 20:00 0.03 0.10 1.45 0.02 0.02
 -------- 21:00 0.05 0.11 1.48 0.02 0.01
 -------- 22:00 0.03 0.08 1.42 0.02 0.01
 08.10.12 23:00 0.03 0.07 1.41 0.02 0.01
 -------- 00:00 0.03 0.10 1.46 0.02 0.01
 -------- 01:00 0.04 0.13 1.58 0.02 0.01
 -------- 02:00 0.04 0.11 1.95 0.02 0.01
 -------- 03:00 0.04 0.12 1.52 0.02 0.01
 09.10.12 04:00 0.04 0.07 1.41 0.01 0.01
 -------- 05:00 0.04 0.13 1.42 0.02 0.01
 -------- 06:00 0.04 0.12 1.45 0.01 0.01
 -------- 07:00 0.04 0.09 1.51 0.02 0.01
 -------- 08:00 0.06 0.10 1.53 0.02 0.01
 09.10.12 09:00 0.07 0.11 1.47 0.02 0.02
 -------- 10:00 0.05 0.13 1.42 0.02 0.03
 -------- 11:00 0.06 0.11 1.44 0.02 0.04
