 Date Time SO2 OZ NO2 CHX NO
 18.11.12 00:00 0.00 0.12 0.12 1.48 0.06
 -------- 01:00 0.01 0.12 0.11 1.49 0.06
 -------- 02:00 0.00 0.21 0.07 1.41 0.02
 -------- 03:00 0.00 0.19 0.09 1.43 0.03
 -------- 04:00 0.00 0.23 0.06 1.39 0.01
 18.11.12 05:00 0.00 0.20 0.08 1.40 0.02
 -------- 06:00 0.00 0.22 0.06 1.41 0.02
 -------- 07:00 0.00 0.20 0.07 1.45 0.02
 -------- 08:00 0.00 0.23 0.07 1.48 0.01
 -------- 09:00 0.00 0.25 0.08 1.42 0.02
 18.11.12 10:00 0.00 0.21 0.11 1.39 0.03
 -------- 11:00 0.00 0.23 0.12 1.43 0.04
 -------- 12:00 0.00 0.26 0.11 1.43 0.03
 -------- 13:00 0.00 0.27 0.10 1.48 0.02
 -------- 14:00 0.00 0.30 0.10 1.45 0.03
 18.11.12 15:00 0.00 0.25 0.12 1.46 0.04
 -------- 16:00 0.00 0.26 0.10 1.51 0.03
 -------- 17:00 0.01 0.19 0.12 1.41 0.04
 -------- 18:00 0.00 0.23 0.11 ---- 0.03
 -------- 19:00 0.00 0.22 0.10 ---- 0.02
 18.11.12 20:00 0.00 0.25 0.09 ---- 0.02
 -------- 21:00 0.00 0.25 0.09 ---- 0.02
 -------- 22:00 0.00 0.28 0.08 ---- 0.02
 -------- 23:00 0.00 0.30 0.07 ---- 0.02
 -------- 00:00 0.00 0.33 0.05 ---- 0.01
 19.11.12 01:00 0.00 0.33 0.04 ---- 0.01
 -------- 02:00 0.00 0.31 0.04 ---- 0.01
 -------- 03:00 0.00 0.32 0.04 ---- 0.01
 -------- 04:00 0.00 0.31 0.04 ---- 0.01
 -------- 05:00 0.00 0.30 0.04 ---- 0.01
 19.11.12 06:00 0.00 0.28 0.05 ---- 0.01
 -------- 07:00 0.00 0.23 0.08 ---- 0.03
 -------- 08:00 0.01 0.21 0.10 ---- 0.05
 -------- 09:00 0.01 0.22 0.09 ---- 0.04
 -------- 10:00 0.00 0.24 0.09 ---- 0.03
 19.11.12 11:00 0.00 0.23 0.08 ---- 0.03
 -------- 12:00 0.00 0.20 0.09 ---- 0.03
 -------- 13:00 0.00 0.19 0.07 0.23 0.02
 -------- 14:00 0.00 0.16 0.09 1.43 0.03
 -------- 15:00 0.00 0.17 0.08 1.46 0.03
 19.11.12 16:00 0.00 0.16 0.09 1.46 0.03
 -------- 17:00 0.00 0.14 0.10 1.47 0.04
 -------- 18:00 0.00 0.13 0.10 1.46 0.05
 -------- 19:00 0.01 0.12 0.10 1.49 0.06
 -------- 20:00 0.01 0.11 0.10 1.44 0.06
 19.11.12 21:00 0.01 0.07 0.12 1.46 0.10
 -------- 22:00 0.01 0.06 0.11 1.45 0.09
 -------- 23:00 0.01 0.07 0.09 1.43 0.06
