 Date Time CO SO2 OZ NO2 CHX NO
 22.03.13 12:00 0.10 ---- 0.17 ---- 1.56 ----
 -------- 13:00 0.07 ---- 0.17 ---- 1.62 ----
 -------- 14:00 0.06 ---- 0.17 ---- 1.57 ----
 -------- 15:00 0.06 ---- 0.17 ---- 1.50 ----
 -------- 16:00 0.07 ---- 0.17 ---- 1.52 ----
 22.03.13 17:00 0.08 ---- 0.17 ---- 1.47 ----
 -------- 18:00 0.09 ---- 0.11 ---- 1.50 ----
 -------- 19:00 0.14 ---- 0.08 ---- 1.54 ----
 -------- 20:00 0.13 ---- 0.05 ---- 1.59 ----
 -------- 21:00 0.15 ---- 0.03 ---- 1.64 ----
 22.03.13 22:00 0.18 ---- 0.02 ---- 1.86 ----
 -------- 23:00 0.16 ---- 0.02 ---- 2.06 ----
 -------- 00:00 0.10 ---- 0.08 ---- 1.69 ----
 -------- 01:00 0.06 ---- 0.08 ---- 1.47 ----
 -------- 02:00 0.04 ---- 0.09 ---- 1.44 ----
 23.03.13 03:00 0.04 ---- 0.10 ---- 1.43 ----
 -------- 04:00 0.04 ---- 0.14 ---- 1.49 ----
 -------- 05:00 0.04 ---- 0.15 ---- 1.67 ----
 -------- 06:00 0.04 ---- 0.15 ---- 1.64 ----
 -------- 07:00 0.04 ---- 0.16 ---- 1.69 ----
 23.03.13 08:00 0.05 ---- 0.14 ---- 1.81 ----
 -------- 09:00 0.06 ---- 0.14 ---- 1.72 ----
 -------- 10:00 0.07 ---- 0.17 ---- 1.58 ----
 -------- 11:00 0.06 ---- 0.19 ---- 1.48 ----
 -------- 12:00 0.05 ---- 0.22 ---- 1.46 ----
 23.03.13 13:00 0.05 ---- 0.21 ---- 1.45 ----
 -------- 14:00 0.06 ---- 0.24 ---- 1.43 ----
 -------- 15:00 0.05 ---- 0.24 ---- 1.43 ----
 -------- 16:00 0.06 ---- 0.22 ---- 1.51 ----
 -------- 17:00 0.06 ---- 0.22 ---- 1.51 ----
 23.03.13 18:00 0.06 ---- 0.23 ---- 1.53 ----
 -------- 19:00 0.07 ---- 0.21 ---- 1.59 ----
 -------- 20:00 0.07 ---- 0.23 ---- 1.55 ----
 -------- 21:00 0.06 ---- 0.27 ---- 1.42 ----
 -------- 22:00 0.06 ---- 0.27 ---- 1.43 ----
 23.03.13 23:00 0.04 ---- 0.27 ---- 1.43 ----
 -------- 00:00 0.04 ---- 0.25 ---- 1.43 ----
 -------- 01:00 0.04 ---- 0.27 ---- 1.42 ----
 -------- 02:00 0.04 ---- 0.28 ---- 1.42 ----
 -------- 03:00 0.05 ---- 0.29 ---- 1.41 ----
 24.03.13 04:00 0.02 ---- 0.30 ---- 1.41 ----
 -------- 05:00 0.02 ---- 0.31 ---- 1.41 ----
 -------- 06:00 0.02 ---- 0.31 ---- 1.41 ----
 -------- 07:00 0.02 ---- 0.31 ---- 1.41 ----
 -------- 08:00 0.02 ---- 0.30 ---- 1.41 ----
 24.03.13 09:00 0.03 ---- 0.30 ---- 1.41 ----
 -------- 10:00 0.04 ---- 0.30 ---- 1.42 ----
 -------- 11:00 0.04 ---- 0.29 ---- 1.43 ----
