 Date Time CO OZ NO2 CHX NO
 07.04.13 00:00 0.08 0.19 0.09 1.59 0.01
 -------- 01:00 0.09 0.23 0.09 1.43 0.02
 -------- 02:00 0.09 0.24 0.09 1.44 0.02
 -------- 03:00 0.11 0.21 0.09 1.76 0.01
 -------- 04:00 0.06 0.24 0.09 1.81 0.01
 07.04.13 05:00 0.05 0.24 0.10 1.74 0.01
 -------- 06:00 0.05 0.25 0.09 1.45 0.01
 -------- 07:00 0.08 0.25 0.10 1.43 0.02
 -------- 08:00 0.04 0.28 0.08 1.36 0.01
 -------- 09:00 0.07 0.23 0.13 1.43 0.03
 07.04.13 10:00 0.07 0.27 0.10 1.39 0.02
 -------- 11:00 0.05 0.33 0.08 1.40 0.02
 -------- 12:00 0.09 0.34 0.09 1.40 0.02
 -------- 13:00 0.09 0.31 0.10 1.39 0.04
 -------- 14:00 0.05 0.36 0.06 1.39 0.02
 07.04.13 15:00 0.09 0.34 0.10 1.41 0.04
 -------- 16:00 0.07 0.37 0.07 1.39 0.02
 -------- 17:00 0.09 0.32 0.13 1.40 0.05
 -------- 18:00 0.04 0.40 0.05 1.34 0.01
 -------- 19:00 0.04 0.39 0.06 1.35 0.01
 07.04.13 20:00 0.07 0.36 0.11 1.39 0.02
 -------- 21:00 0.16 0.12 0.28 1.48 0.09
 -------- 22:00 0.19 0.15 0.23 1.68 0.11
 -------- 23:00 0.31 0.05 0.31 2.35 0.30
 -------- 00:00 0.29 0.02 0.28 2.14 0.28
 08.04.13 01:00 0.25 0.01 0.25 2.46 0.20
 -------- 02:00 0.18 0.01 0.23 1.99 0.16
 -------- 03:00 0.13 0.01 0.19 1.94 0.08
 -------- 04:00 0.14 0.02 0.18 1.90 0.08
 -------- 05:00 0.15 0.02 0.20 2.05 0.15
 08.04.13 06:00 0.34 0.01 0.19 2.73 0.30
 -------- 07:00 0.54 0.01 0.21 3.32 0.51
 -------- 08:00 0.87 0.02 0.30 2.99 0.78
 -------- 09:00 0.59 0.02 0.32 2.26 0.58
 -------- 10:00 0.16 0.07 0.27 1.60 0.11
 08.04.13 11:00 0.11 0.16 0.24 1.49 0.11
 -------- 12:00 0.04 0.34 0.09 1.41 0.02
 -------- 13:00 0.05 0.34 0.09 1.39 0.02
 -------- 14:00 0.02 0.39 0.08 1.38 0.03
 -------- 15:00 0.03 0.40 0.12 1.39 0.04
 08.04.13 16:00 0.05 0.35 0.19 1.41 0.06
 -------- 17:00 0.04 0.40 0.14 1.41 0.04
 -------- 18:00 0.03 0.38 0.16 1.39 0.04
 -------- 19:00 0.07 0.37 0.18 1.42 0.05
 -------- 20:00 0.15 0.24 0.31 1.44 0.11
 08.04.13 21:00 0.39 0.04 0.48 1.85 0.42
 -------- 22:00 0.35 0.02 0.43 1.71 0.38
 -------- 23:00 0.43 0.02 0.37 2.22 0.34
