 Date Time CO NO2 NO
 20.03.13 00:00 0.02 0.10 0.01
 -------- 01:00 0.02 0.10 0.01
 -------- 02:00 0.03 0.07 0.01
 -------- 03:00 0.03 0.06 0.00
 -------- 04:00 0.04 0.08 0.01
 20.03.13 05:00 0.04 0.10 0.01
 -------- 06:00 0.06 0.06 0.01
 -------- 07:00 0.05 0.05 0.01
 -------- 08:00 0.05 0.07 0.01
 -------- 09:00 0.05 0.06 0.01
 20.03.13 10:00 0.04 0.06 0.01
 -------- 11:00 0.05 0.06 0.01
 -------- 12:00 0.05 0.03 0.01
 -------- 13:00 0.03 0.03 0.01
 -------- 14:00 0.02 0.02 0.00
 20.03.13 15:00 0.02 0.02 0.00
 -------- 16:00 0.02 0.02 0.00
 -------- 17:00 0.02 0.03 0.00
 -------- 18:00 0.02 0.04 0.00
 -------- 19:00 0.03 0.05 0.01
 20.03.13 20:00 0.02 0.04 0.00
 -------- 21:00 0.02 0.03 0.00
 -------- 22:00 0.03 0.03 0.00
 -------- 23:00 0.04 0.03 0.00
 -------- 00:00 0.04 0.03 0.00
 21.03.13 01:00 0.04 0.02 0.00
 -------- 02:00 0.04 0.02 ----
 -------- 03:00 0.04 0.02 0.00
 -------- 04:00 0.04 0.02 0.00
 -------- 05:00 0.04 0.02 0.00
 21.03.13 06:00 0.04 0.02 0.00
 -------- 07:00 0.04 0.03 0.00
 -------- 08:00 0.04 0.04 0.00
 -------- 09:00 0.05 0.06 0.02
 -------- 10:00 0.04 0.02 0.01
 21.03.13 11:00 0.07 0.03 0.02
 -------- 12:00 0.04 0.04 0.01
 -------- 13:00 0.04 0.06 0.02
 -------- 14:00 0.04 0.04 0.01
 -------- 15:00 0.05 0.06 0.02
 21.03.13 16:00 0.04 0.06 0.01
 -------- 17:00 0.03 0.04 0.01
 -------- 18:00 0.04 0.04 0.01
 -------- 19:00 0.05 0.03 0.00
 -------- 20:00 0.04 0.05 0.00
 21.03.13 21:00 0.04 0.06 0.01
 -------- 22:00 0.04 0.08 0.01
 -------- 23:00 0.04 0.10 0.01
